66.218.0.0,66.218.31.255,business,US,AS22727 
66.218.32.0,66.218.63.255,isp,US,AS30041 
66.218.64.0,66.218.95.255,isp,US,AS26101 
66.218.96.0,66.218.127.255,business,US,AS33680 
66.218.128.0,66.218.131.255,hosting,US,AS17192 
66.218.132.0,66.218.133.255,business,US,AS18872 
66.218.134.0,66.218.143.255,hosting,US,AS17192 
66.218.144.0,66.218.159.255,education,US,AS36695 
66.218.160.0,66.218.175.255,hosting,US,AS16744 
66.218.176.0,66.218.176.255,business,US,AS33227 
66.218.177.0,66.218.178.255,hosting,US,AS33227 
66.218.179.0,66.218.179.255,business,US,AS33227 
66.218.180.0,66.218.180.255,hosting,US,AS33227 
66.218.181.0,66.218.181.255,business,US,AS33227 
66.218.182.0,66.218.182.255,hosting,US,AS33227 
66.218.183.0,66.218.185.255,business,US,AS33227 
66.218.186.0,66.218.186.255,hosting,US,AS33227 
66.218.187.0,66.218.190.255,business,US,AS33227 
66.218.191.0,66.218.191.255,hosting,US,AS33227 
66.218.192.0,66.218.194.7,isp,US,AS23175 
66.218.194.8,66.218.194.15,business,US,AS23175 
66.218.194.16,66.218.194.23,isp,US,AS23175 
66.218.194.24,66.218.194.31,business,US,AS23175 
66.218.194.32,66.218.196.255,isp,US,AS23175 
66.218.197.0,66.218.197.7,business,US,AS23175 
66.218.197.8,66.218.198.15,isp,US,AS23175 
66.218.198.16,66.218.198.23,business,US,AS23175 
66.218.198.24,66.218.198.127,isp,US,AS23175 
66.218.198.128,66.218.198.135,business,US,AS23175 
66.218.198.136,66.218.207.255,isp,US,AS23175 
66.218.208.0,66.218.210.55,isp,US,AS32592 
66.218.210.56,66.218.210.63,business,US,AS32592 
66.218.210.64,66.218.210.103,isp,US,AS32592 
66.218.210.104,66.218.210.111,business,US,AS32592 
66.218.210.112,66.218.223.255,isp,US,AS32592 
66.218.224.0,66.218.231.255,isp,US,AS11976 
66.218.232.0,66.218.233.255,business,US,AS11976 
66.218.234.0,66.218.235.255,isp,US,AS11976 
66.218.236.0,66.218.236.255,business,US,AS11976 
66.218.237.0,66.218.237.255,isp,US,AS11976 
66.218.238.0,66.218.247.255,business,US,AS11976 
66.218.248.0,66.218.255.255,isp,US,AS11976 
