50.255.6.4,50.255.6.7,business,US,AS7922 
50.255.6.8,50.255.106.127,isp,US,AS7922 
50.255.106.128,50.255.106.131,business,US,AS7922 
50.255.106.132,50.255.107.175,isp,US,AS7922 
50.255.107.176,50.255.107.179,business,US,AS7922 
50.255.107.180,50.255.108.11,isp,US,AS7922 
50.255.108.12,50.255.108.15,business,US,AS7922 
50.255.108.16,50.255.109.83,isp,US,AS7922 
50.255.109.84,50.255.109.87,business,US,AS7922 
50.255.109.88,50.255.129.167,isp,US,AS7922 
50.255.129.168,50.255.129.171,business,US,AS7922 
50.255.129.172,50.255.158.79,isp,US,AS7922 
50.255.158.80,50.255.158.83,business,US,AS7922 
50.255.158.84,50.255.208.87,isp,US,AS7922 
50.255.208.88,50.255.208.91,business,US,AS7922 
50.255.208.92,50.255.255.255,isp,US,AS7922 
