50.245.51.124,50.245.51.127,education,US 
50.245.51.128,50.245.54.247,isp,US 
50.245.54.248,50.245.54.251,business,US 
50.245.54.252,50.245.65.139,isp,US 
50.245.65.140,50.245.65.143,business,US 
50.245.65.144,50.245.70.107,isp,US 
50.245.70.108,50.245.70.111,business,US 
50.245.70.112,50.245.142.19,isp,US 
50.245.142.20,50.245.142.23,business,US 
50.245.142.24,50.245.145.195,isp,US 
50.245.145.196,50.245.145.199,business,US 
50.245.145.200,50.245.197.23,isp,US 
50.245.197.24,50.245.197.27,business,US 
50.245.197.28,50.245.214.207,isp,US 
50.245.214.208,50.245.214.211,business,US 
50.245.214.212,50.245.217.83,isp,US 
50.245.217.84,50.245.217.87,business,US 
50.245.217.88,50.245.222.95,isp,US 
50.245.222.96,50.245.222.127,business,US 
50.245.222.128,50.245.226.227,isp,US 
50.245.226.228,50.245.226.231,business,US 
50.245.226.232,50.245.254.27,isp,US 
50.245.254.28,50.245.254.31,business,US 
50.245.254.32,50.246.40.191,isp,US 
