99.198.64.0,99.198.71.255,isp,MX,AS7155 
99.198.72.0,99.198.79.255,isp,BR,AS7155 
99.198.80.0,99.198.95.255,isp,BR,AS273754 
99.198.96.0,99.198.96.215,hosting,US,AS32475 
99.198.96.216,99.198.96.223,hosting,IE,AS32475 
99.198.96.224,99.198.97.55,hosting,US,AS32475 
99.198.97.56,99.198.97.59,hosting,CA,AS32475 
99.198.97.60,99.198.97.83,hosting,US,AS32475 
99.198.97.84,99.198.97.87,hosting,CA,AS32475 
99.198.97.88,99.198.97.95,hosting,US,AS32475 
99.198.97.96,99.198.97.99,hosting,,AS32475 
99.198.97.100,99.198.98.95,hosting,US,AS32475 
99.198.98.96,99.198.98.127,hosting,RO,AS32475 
99.198.98.128,99.198.99.23,hosting,US,AS32475 
99.198.99.24,99.198.99.31,hosting,KZ,AS32475 
99.198.99.32,99.198.99.87,hosting,US,AS32475 
99.198.99.88,99.198.99.95,hosting,IN,AS32475 
99.198.99.96,99.198.99.183,hosting,US,AS32475 
99.198.99.184,99.198.99.191,hosting,PA,AS32475 
99.198.99.192,99.198.99.231,hosting,US,AS32475 
99.198.99.232,99.198.99.239,hosting,PA,AS32475 
99.198.99.240,99.198.101.119,hosting,US,AS32475 
99.198.101.120,99.198.101.127,hosting,PA,AS32475 
99.198.101.128,99.198.101.143,hosting,US,AS32475 
99.198.101.144,99.198.101.151,hosting,IN,AS32475 
99.198.101.152,99.198.101.167,hosting,US,AS32475 
99.198.101.168,99.198.101.175,hosting,IN,AS32475 
99.198.101.176,99.198.101.183,hosting,CA,AS32475 
99.198.101.184,99.198.101.199,hosting,US,AS32475 
99.198.101.200,99.198.101.207,hosting,PA,AS32475 
99.198.101.208,99.198.102.63,hosting,US,AS32475 
99.198.102.64,99.198.102.95,hosting,AE,AS32475 
99.198.102.96,99.198.103.95,hosting,US,AS32475 
99.198.103.96,99.198.103.127,hosting,AE,AS32475 
99.198.103.128,99.198.104.159,hosting,US,AS32475 
99.198.104.160,99.198.104.191,hosting,RO,AS32475 
99.198.104.192,99.198.106.15,hosting,US,AS32475 
99.198.106.16,99.198.106.23,hosting,CA,AS32475 
99.198.106.24,99.198.106.135,hosting,US,AS32475 
99.198.106.136,99.198.106.143,hosting,HN,AS32475 
99.198.106.144,99.198.106.223,hosting,US,AS32475 
99.198.106.224,99.198.106.231,hosting,UY,AS32475 
99.198.106.232,99.198.107.119,hosting,US,AS32475 
99.198.107.120,99.198.107.127,hosting,TW,AS32475 
99.198.107.128,99.198.107.215,hosting,US,AS32475 
99.198.107.216,99.198.107.223,hosting,PH,AS32475 
99.198.107.224,99.198.107.255,hosting,US,AS32475 
99.198.108.0,99.198.108.7,hosting,DK,AS32475 
99.198.108.8,99.198.108.151,hosting,US,AS32475 
99.198.108.152,99.198.108.159,hosting,AU,AS32475 
99.198.108.160,99.198.109.31,hosting,US,AS32475 
99.198.109.32,99.198.109.39,hosting,PA,AS32475 
99.198.109.40,99.198.109.111,hosting,US,AS32475 
99.198.109.112,99.198.109.119,hosting,KZ,AS32475 
99.198.109.120,99.198.109.207,hosting,US,AS32475 
99.198.109.208,99.198.109.215,hosting,PA,AS32475 
99.198.109.216,99.198.110.71,hosting,US,AS32475 
99.198.110.72,99.198.110.79,hosting,CA,AS32475 
99.198.110.80,99.198.110.159,hosting,US,AS32475 
99.198.110.160,99.198.110.167,hosting,PE,AS32475 
99.198.110.168,99.198.110.231,hosting,US,AS32475 
99.198.110.232,99.198.110.239,hosting,PA,AS32475 
99.198.110.240,99.198.111.23,hosting,US,AS32475 
99.198.111.24,99.198.111.31,hosting,PE,AS32475 
99.198.111.32,99.198.111.63,hosting,US,AS32475 
99.198.111.64,99.198.111.71,education,US,AS32475 
99.198.111.72,99.198.112.247,hosting,US,AS32475 
99.198.112.248,99.198.112.255,hosting,PA,AS32475 
99.198.113.0,99.198.113.63,hosting,US,AS32475 
99.198.113.64,99.198.113.71,hosting,CA,AS32475 
99.198.113.72,99.198.113.215,hosting,US,AS32475 
99.198.113.216,99.198.113.223,hosting,KZ,AS32475 
99.198.113.224,99.198.113.231,hosting,PA,AS32475 
99.198.113.232,99.198.114.31,hosting,US,AS32475 
99.198.114.32,99.198.114.39,education,IN,AS32475 
99.198.114.40,99.198.114.79,hosting,US,AS32475 
99.198.114.80,99.198.114.87,isp,US,AS32475 
99.198.114.88,99.198.114.127,hosting,US,AS32475 
99.198.114.128,99.198.114.135,hosting,EG,AS32475 
99.198.114.136,99.198.114.183,hosting,US,AS32475 
99.198.114.184,99.198.114.191,hosting,,AS32475 
99.198.114.192,99.198.114.199,hosting,PA,AS32475 
99.198.114.200,99.198.114.207,hosting,IN,AS32475 
99.198.114.208,99.198.116.7,hosting,US,AS32475 
99.198.116.8,99.198.116.15,business,US,AS32475 
99.198.116.16,99.198.116.31,hosting,US,AS32475 
99.198.116.32,99.198.116.39,hosting,EC,AS32475 
99.198.116.40,99.198.116.87,hosting,US,AS32475 
99.198.116.88,99.198.116.95,business,US,AS32475 
99.198.116.96,99.198.116.111,hosting,US,AS32475 
99.198.116.112,99.198.116.119,business,US,AS32475 
99.198.116.120,99.198.116.167,hosting,US,AS32475 
99.198.116.168,99.198.116.175,business,US,AS32475 
99.198.116.176,99.198.116.247,hosting,US,AS32475 
99.198.116.248,99.198.116.255,business,US,AS32475 
99.198.117.0,99.198.118.151,hosting,US,AS32475 
99.198.118.152,99.198.118.159,hosting,PA,AS32475 
99.198.118.160,99.198.118.231,hosting,US,AS32475 
99.198.118.232,99.198.118.239,hosting,PA,AS32475 
99.198.118.240,99.198.119.7,hosting,US,AS32475 
99.198.119.8,99.198.119.15,hosting,IN,AS32475 
99.198.119.16,99.198.119.135,hosting,US,AS32475 
99.198.119.136,99.198.119.143,hosting,PA,AS32475 
99.198.119.144,99.198.119.255,hosting,US,AS32475 
99.198.120.0,99.198.120.31,hosting,AE,AS32475 
99.198.120.32,99.198.121.43,hosting,US,AS32475 
99.198.121.44,99.198.121.55,hosting,CA,AS32475 
99.198.121.56,99.198.121.59,hosting,US,AS32475 
99.198.121.60,99.198.121.63,hosting,CA,AS32475 
99.198.121.64,99.198.121.127,hosting,US,AS32475 
99.198.121.128,99.198.121.131,hosting,CA,AS32475 
99.198.121.132,99.198.122.75,hosting,US,AS32475 
99.198.122.76,99.198.122.79,hosting,CA,AS32475 
99.198.122.80,99.198.122.207,hosting,US,AS32475 
99.198.122.208,99.198.122.211,hosting,CA,AS32475 
99.198.122.212,99.198.122.215,hosting,US,AS32475 
99.198.122.216,99.198.122.219,hosting,CA,AS32475 
99.198.122.220,99.198.125.7,hosting,US,AS32475 
99.198.125.8,99.198.125.15,hosting,PA,AS32475 
99.198.125.16,99.198.125.63,hosting,US,AS32475 
99.198.125.64,99.198.125.71,hosting,IN,AS32475 
99.198.125.72,99.198.125.143,hosting,US,AS32475 
99.198.125.144,99.198.125.151,hosting,UA,AS32475 
99.198.125.152,99.198.125.159,hosting,US,AS32475 
99.198.125.160,99.198.125.167,hosting,PA,AS32475 
99.198.125.168,99.198.125.175,hosting,CA,AS32475 
99.198.125.176,99.198.127.71,hosting,US,AS32475 
99.198.127.72,99.198.127.79,education,US,AS32475 
99.198.127.80,99.198.127.127,hosting,US,AS32475 
99.198.127.128,99.198.127.135,hosting,BR,AS32475 
99.198.127.136,99.198.127.255,hosting,US,AS32475 
99.198.128.0,99.198.255.255,isp,US,AS16591 
