145.222.0.0,145.222.46.111,business,NL 
145.222.46.112,145.222.46.119,hosting,NL 
145.222.46.120,145.222.229.31,business,NL 
145.222.229.32,145.222.229.39,isp,NL 
145.222.229.40,145.222.229.63,hosting,NL 
145.222.229.64,145.222.229.79,business,NL 
145.222.229.80,145.222.229.95,hosting,NL 
145.222.229.96,145.222.229.175,business,NL 
145.222.229.176,145.222.229.183,hosting,NL 
145.222.229.184,145.222.229.191,business,NL 
145.222.229.192,145.222.229.223,hosting,NL 
145.222.229.224,145.222.255.255,business,NL 
