145.255.0.0,145.255.47.255,isp,RU 
145.255.48.0,145.255.55.255,business,DE 
145.255.56.0,145.255.63.255,isp,DK 
145.255.64.0,145.255.127.255,isp,OM 
145.255.128.0,145.255.129.255,hosting,NL 
145.255.130.0,145.255.135.255,business,NL 
145.255.136.0,145.255.143.255,isp,RU 
145.255.144.0,145.255.159.255,isp,SK 
145.255.160.0,145.255.191.255,isp,KZ 
145.255.192.0,145.255.223.255,isp,BG 
145.255.224.0,145.255.231.255,business,AE 
145.255.232.0,145.255.232.51,isp,RU 
145.255.232.52,145.255.232.55,business,RU 
145.255.232.56,145.255.232.87,isp,RU 
145.255.232.88,145.255.232.91,business,RU 
145.255.232.92,145.255.232.95,isp,RU 
145.255.232.96,145.255.232.99,business,RU 
145.255.232.100,145.255.232.147,isp,RU 
145.255.232.148,145.255.232.151,business,RU 
145.255.232.152,145.255.232.187,isp,RU 
145.255.232.188,145.255.232.191,business,RU 
145.255.232.192,145.255.232.231,isp,RU 
145.255.232.232,145.255.232.239,business,RU 
145.255.232.240,145.255.234.199,isp,RU 
145.255.234.200,145.255.234.203,business,RU 
145.255.234.204,145.255.234.219,isp,RU 
145.255.234.220,145.255.234.223,business,RU 
145.255.234.224,145.255.234.239,isp,RU 
145.255.234.240,145.255.234.243,business,RU 
145.255.234.244,145.255.235.99,isp,RU 
145.255.235.100,145.255.235.103,business,RU 
145.255.235.104,145.255.235.191,isp,RU 
145.255.235.192,145.255.235.255,business,RU 
145.255.236.0,145.255.236.51,isp,RU 
145.255.236.52,145.255.236.55,business,RU 
145.255.236.56,145.255.236.95,isp,RU 
145.255.236.96,145.255.236.99,business,RU 
145.255.236.100,145.255.236.199,isp,RU 
145.255.236.200,145.255.236.203,business,RU 
145.255.236.204,145.255.236.247,isp,RU 
145.255.236.248,145.255.236.251,business,RU 
145.255.236.252,145.255.237.119,isp,RU 
145.255.237.120,145.255.237.123,business,RU 
145.255.237.124,145.255.237.147,isp,RU 
145.255.237.148,145.255.237.151,business,RU 
145.255.237.152,145.255.237.167,isp,RU 
145.255.237.168,145.255.237.171,business,RU 
145.255.237.172,145.255.237.211,isp,RU 
145.255.237.212,145.255.237.215,business,RU 
145.255.237.216,145.255.238.63,isp,RU 
145.255.238.64,145.255.238.67,business,RU 
145.255.238.68,145.255.238.91,isp,RU 
145.255.238.92,145.255.238.99,business,RU 
145.255.238.100,145.255.238.171,isp,RU 
145.255.238.172,145.255.238.175,business,RU 
145.255.238.176,145.255.239.47,isp,RU 
145.255.239.48,145.255.239.51,business,RU 
145.255.239.52,145.255.239.107,isp,RU 
145.255.239.108,145.255.239.111,business,RU 
145.255.239.112,145.255.239.123,isp,RU 
145.255.239.124,145.255.239.127,business,RU 
145.255.239.128,145.255.239.255,isp,RU 
145.255.240.0,145.255.247.255,isp,GB 
145.255.248.0,145.255.255.255,isp,RU 
