145.249.0.0,145.249.95.255,isp,SY,AS29256 
145.249.96.0,145.249.103.255,isp,DE,AS211095 
145.249.104.0,145.249.107.255,hosting,NL,AS202425 
145.249.108.0,145.249.108.255,business,LV, 
145.249.109.0,145.249.109.255,business,RO,AS8708 
145.249.110.0,145.249.110.255,business,FR, 
145.249.111.0,145.249.111.255,business,FR,AS203770 
145.249.112.0,145.249.114.255,business,FR, 
145.249.115.0,145.249.115.255,business,RU, 
145.249.116.0,145.249.119.255,business,GB, 
145.249.120.0,145.249.255.255,isp,KZ,AS21299 
