188.172.0.0,188.172.95.255,isp,MT 
188.172.96.0,188.172.111.255,isp,AL 
188.172.112.0,188.172.113.95,hosting,DE 
188.172.113.96,188.172.113.191,business,DE 
188.172.113.192,188.172.113.199,hosting,DE 
188.172.113.200,188.172.113.203,business,DE 
188.172.113.204,188.172.114.63,hosting,DE 
188.172.114.64,188.172.114.79,business,DE 
188.172.114.80,188.172.115.255,hosting,DE 
188.172.116.0,188.172.116.255,business,DE 
188.172.117.0,188.172.122.51,hosting,DE 
188.172.122.52,188.172.122.55,hosting,FR 
188.172.122.56,188.172.127.255,hosting,DE 
188.172.128.0,188.172.136.255,business,IE 
188.172.137.0,188.172.138.255,hosting,IE 
188.172.139.0,188.172.143.255,business,IE 
188.172.144.0,188.172.191.255,isp,GB 
188.172.192.0,188.172.192.15,hosting,DK 
188.172.192.16,188.172.192.23,hosting,AT 
188.172.192.24,188.172.192.27,hosting,DK 
188.172.192.28,188.172.192.39,hosting,AT 
188.172.192.40,188.172.192.43,hosting,DK 
188.172.192.44,188.172.192.47,hosting,AT 
188.172.192.48,188.172.192.71,hosting,DK 
188.172.192.72,188.172.192.95,hosting,AT 
188.172.192.96,188.172.192.127,hosting,DK 
188.172.192.128,188.172.192.159,hosting,AT 
188.172.192.160,188.172.192.191,hosting,DK 
188.172.192.192,188.172.192.239,hosting,AT 
188.172.192.240,188.172.192.255,hosting,DK 
188.172.193.0,188.172.193.31,hosting,AT 
188.172.193.32,188.172.193.47,business,AT 
188.172.193.48,188.172.193.63,hosting,AT 
188.172.193.64,188.172.193.127,business,AT 
188.172.193.128,188.172.197.255,hosting,AT 
188.172.198.0,188.172.198.7,hosting,GB 
188.172.198.8,188.172.198.31,hosting,AT 
188.172.198.32,188.172.198.35,hosting,GB 
188.172.198.36,188.172.198.39,hosting,AT 
188.172.198.40,188.172.198.47,hosting,GB 
188.172.198.48,188.172.198.127,hosting,AT 
188.172.198.128,188.172.198.159,hosting,GB 
188.172.198.160,188.172.199.255,hosting,AT 
188.172.200.0,188.172.200.127,hosting,MX 
188.172.200.128,188.172.200.255,hosting,AT 
188.172.201.0,188.172.201.211,hosting,HK 
188.172.201.212,188.172.201.255,hosting,AT 
188.172.202.0,188.172.202.127,hosting,JP 
188.172.202.128,188.172.202.255,hosting,AT 
188.172.203.0,188.172.203.7,hosting,SG 
188.172.203.8,188.172.203.11,hosting,AT 
188.172.203.12,188.172.203.15,hosting,SG 
188.172.203.16,188.172.203.23,hosting,AT 
188.172.203.24,188.172.203.111,hosting,SG 
188.172.203.112,188.172.206.15,hosting,AT 
188.172.206.16,188.172.206.39,business,AT 
188.172.206.40,188.172.206.47,hosting,AT 
188.172.206.48,188.172.206.63,business,AT 
188.172.206.64,188.172.206.95,hosting,AT 
188.172.206.96,188.172.206.111,business,AT 
188.172.206.112,188.172.206.115,hosting,AT 
188.172.206.116,188.172.206.116,business,AT 
188.172.206.117,188.172.206.119,hosting,AT 
188.172.206.120,188.172.206.199,business,AT 
188.172.206.200,188.172.206.207,hosting,AT 
188.172.206.208,188.172.207.95,business,AT 
188.172.207.96,188.172.207.103,hosting,AT 
188.172.207.104,188.172.207.127,business,AT 
188.172.207.128,188.172.207.135,hosting,AT 
188.172.207.136,188.172.207.136,business,AT 
188.172.207.137,188.172.207.159,hosting,AT 
188.172.207.160,188.172.207.167,business,AT 
188.172.207.168,188.172.207.175,hosting,AT 
188.172.207.176,188.172.207.223,business,AT 
188.172.207.224,188.172.207.227,hosting,AT 
188.172.207.228,188.172.207.247,business,AT 
188.172.207.248,188.172.207.255,hosting,AT 
188.172.208.0,188.172.208.163,hosting,TW 
188.172.208.164,188.172.209.31,hosting,AT 
188.172.209.32,188.172.209.63,hosting,AU 
188.172.209.64,188.172.210.255,hosting,AT 
188.172.211.0,188.172.211.15,hosting,HK 
188.172.211.16,188.172.211.31,hosting,AT 
188.172.211.32,188.172.211.63,hosting,HK 
188.172.211.64,188.172.211.255,hosting,AT 
188.172.212.0,188.172.212.15,hosting,CA 
188.172.212.16,188.172.212.31,hosting,AT 
188.172.212.32,188.172.212.55,hosting,CA 
188.172.212.56,188.172.212.71,hosting,AT 
188.172.212.72,188.172.212.87,hosting,CA 
188.172.212.88,188.172.212.99,hosting,AT 
188.172.212.100,188.172.212.107,hosting,CA 
188.172.212.108,188.172.212.109,hosting,AT 
188.172.212.110,188.172.212.127,hosting,CA 
188.172.212.128,188.172.212.255,hosting,AT 
188.172.213.0,188.172.213.15,hosting,CA 
188.172.213.16,188.172.213.31,hosting,AT 
188.172.213.32,188.172.213.59,hosting,CA 
188.172.213.60,188.172.213.63,hosting,AT 
188.172.213.64,188.172.213.95,hosting,CA 
188.172.213.96,188.172.213.143,hosting,AT 
188.172.213.144,188.172.213.145,hosting,CA 
188.172.213.146,188.172.213.147,hosting,AT 
188.172.213.148,188.172.213.151,hosting,CA 
188.172.213.152,188.172.213.223,hosting,AT 
188.172.213.224,188.172.213.255,hosting,CA 
188.172.214.0,188.172.214.15,hosting,AT 
188.172.214.16,188.172.214.167,hosting,US 
188.172.214.168,188.172.214.175,hosting,AT 
188.172.214.176,188.172.214.183,hosting,US 
188.172.214.184,188.172.214.191,hosting,AT 
188.172.214.192,188.172.214.223,hosting,US 
188.172.214.224,188.172.214.255,hosting,AT 
188.172.215.0,188.172.215.127,hosting,US 
188.172.215.128,188.172.216.31,hosting,AT 
188.172.216.32,188.172.216.35,hosting,BR 
188.172.216.36,188.172.216.39,hosting,AT 
188.172.216.40,188.172.216.47,hosting,BR 
188.172.216.48,188.172.216.63,hosting,AT 
188.172.216.64,188.172.216.95,hosting,BR 
188.172.216.96,188.172.217.15,hosting,AT 
188.172.217.16,188.172.217.23,hosting,ZA 
188.172.217.24,188.172.217.25,hosting,AT 
188.172.217.26,188.172.217.131,hosting,ZA 
188.172.217.132,188.172.217.143,hosting,AT 
188.172.217.144,188.172.217.167,hosting,ZA 
188.172.217.168,188.172.217.175,hosting,AT 
188.172.217.176,188.172.217.231,hosting,ZA 
188.172.217.232,188.172.217.239,hosting,AT 
188.172.217.240,188.172.217.255,hosting,ZA 
188.172.218.0,188.172.218.7,hosting,AT 
188.172.218.8,188.172.218.15,hosting,IT 
188.172.218.16,188.172.218.19,hosting,AT 
188.172.218.20,188.172.218.23,hosting,IT 
188.172.218.24,188.172.218.47,hosting,AT 
188.172.218.48,188.172.218.51,hosting,IT 
188.172.218.52,188.172.218.255,hosting,AT 
188.172.219.0,188.172.219.39,hosting,NL 
188.172.219.40,188.172.219.47,hosting,AT 
188.172.219.48,188.172.219.51,hosting,NL 
188.172.219.52,188.172.219.63,hosting,AT 
188.172.219.64,188.172.219.65,hosting,NL 
188.172.219.66,188.172.219.67,hosting,AT 
188.172.219.68,188.172.219.79,hosting,NL 
188.172.219.80,188.172.219.103,hosting,AT 
188.172.219.104,188.172.219.111,hosting,NL 
188.172.219.112,188.172.219.127,hosting,AT 
188.172.219.128,188.172.219.159,hosting,NL 
188.172.219.160,188.172.219.165,hosting,AT 
188.172.219.166,188.172.219.167,hosting,NL 
188.172.219.168,188.172.219.175,hosting,AT 
188.172.219.176,188.172.219.191,hosting,NL 
188.172.219.192,188.172.219.207,hosting,AT 
188.172.219.208,188.172.219.255,hosting,NL 
188.172.220.0,188.172.221.0,hosting,AT 
188.172.221.1,188.172.221.2,hosting,CA 
188.172.221.3,188.172.221.3,hosting,AT 
188.172.221.4,188.172.221.11,hosting,CA 
188.172.221.12,188.172.221.15,hosting,AT 
188.172.221.16,188.172.221.127,hosting,CA 
188.172.221.128,188.172.221.255,hosting,AT 
188.172.222.0,188.172.222.31,hosting,NL 
188.172.222.32,188.172.223.1,hosting,AT 
188.172.223.2,188.172.223.5,hosting,NO 
188.172.223.6,188.172.223.7,hosting,AT 
188.172.223.8,188.172.223.47,hosting,NO 
188.172.223.48,188.172.223.51,hosting,AT 
188.172.223.52,188.172.223.63,hosting,NO 
188.172.223.64,188.172.223.95,hosting,AT 
188.172.223.96,188.172.223.131,hosting,NO 
188.172.223.132,188.172.223.143,hosting,AT 
188.172.223.144,188.172.223.191,hosting,NO 
188.172.223.192,188.172.223.239,hosting,AT 
188.172.223.240,188.172.223.255,hosting,NO 
188.172.224.0,188.172.227.255,business,DE 
188.172.228.0,188.172.232.255,hosting,AT 
188.172.233.0,188.172.233.7,hosting,DE 
188.172.233.8,188.172.233.15,hosting,AT 
188.172.233.16,188.172.233.31,hosting,DE 
188.172.233.32,188.172.233.39,hosting,AT 
188.172.233.40,188.172.233.95,hosting,DE 
188.172.233.96,188.172.233.127,hosting,AT 
188.172.233.128,188.172.233.135,hosting,DE 
188.172.233.136,188.172.233.139,hosting,AT 
188.172.233.140,188.172.233.191,hosting,DE 
188.172.233.192,188.172.235.47,hosting,AT 
188.172.235.48,188.172.235.55,hosting,CH 
188.172.235.56,188.172.235.63,hosting,AT 
188.172.235.64,188.172.235.159,hosting,CH 
188.172.235.160,188.172.238.255,hosting,AT 
188.172.239.0,188.172.239.39,business,AT 
188.172.239.40,188.172.239.47,hosting,AT 
