188.121.0.0,188.121.31.255,isp,PL,AS49242 
188.121.32.0,188.121.51.255,business,NL,AS20773 
188.121.52.0,188.121.55.255,business,NL,AS21499 
188.121.56.0,188.121.63.255,business,NL,AS20773 
188.121.64.0,188.121.95.255,business,SE,AS49272 
188.121.96.0,188.121.127.255,hosting,IR,AS202468 
188.121.128.0,188.121.159.255,isp,IR,AS206065 
188.121.160.0,188.121.188.215,isp,SK,AS43451 
188.121.188.216,188.121.188.219,business,US,AS43451 
188.121.188.220,188.121.191.255,isp,SK,AS43451 
188.121.192.0,188.121.223.255,isp,GE,AS16010 
188.121.224.0,188.121.227.255,hosting,FR,AS29075 
188.121.228.0,188.121.247.255,business,FR,AS29075 
188.121.248.0,188.121.251.255,hosting,FR,AS29075 
188.121.252.0,188.121.252.255,business,FR,AS29075 
188.121.253.0,188.121.253.255,hosting,FR,AS29075 
188.121.254.0,188.121.255.255,business,NL,AS29075 
