188.73.0.0,188.73.63.255,hosting,FR,AS49594 
188.73.64.0,188.73.124.255,business,DE,AS6833 
188.73.125.0,188.73.125.63,isp,DE,AS6833 
188.73.125.64,188.73.125.255,business,DE,AS6833 
188.73.126.0,188.73.126.7,isp,DE,AS6833 
188.73.126.8,188.73.126.15,business,DE,AS6833 
188.73.126.16,188.73.126.135,isp,DE,AS6833 
188.73.126.136,188.73.126.223,business,DE,AS6833 
188.73.126.224,188.73.126.239,isp,DE,AS6833 
188.73.126.240,188.73.127.19,business,DE,AS6833 
188.73.127.20,188.73.127.31,isp,DE,AS6833 
188.73.127.32,188.73.127.63,business,DE,AS6833 
188.73.127.64,188.73.127.79,isp,DE,AS6833 
188.73.127.80,188.73.127.255,business,DE,AS6833 
188.73.128.0,188.73.130.255,isp,RU,AS35154 
188.73.131.0,188.73.131.255,business,RU,AS35154 
188.73.132.0,188.73.132.255,isp,RU,AS12389 
188.73.133.0,188.73.133.255,isp,RU,AS35154 
188.73.134.0,188.73.134.255,isp,RU,AS12389 
188.73.135.0,188.73.135.255,isp,RU,AS35154 
188.73.136.0,188.73.136.255,isp,RU,AS12389 
188.73.137.0,188.73.137.255,business,RU,AS12668 
188.73.138.0,188.73.138.255,isp,RU,AS35154 
188.73.139.0,188.73.139.255,business,RU,AS12668 
188.73.140.0,188.73.140.255,isp,RU,AS35154 
188.73.141.0,188.73.142.255,business,RU,AS12668 
188.73.143.0,188.73.143.255,isp,RU,AS12389 
188.73.144.0,188.73.145.255,business,RU,AS12668 
188.73.146.0,188.73.146.255,isp,RU,AS12389 
188.73.147.0,188.73.147.255,business,RU,AS12668 
188.73.148.0,188.73.150.255,isp,RU,AS12389 
188.73.151.0,188.73.151.255,business,RU,AS12668 
188.73.152.0,188.73.153.255,isp,RU,AS35154 
188.73.154.0,188.73.154.255,business,RU,AS12668 
188.73.155.0,188.73.155.255,isp,RU,AS35154 
188.73.156.0,188.73.156.255,business,RU,AS12668 
188.73.157.0,188.73.157.255,isp,RU,AS35154 
188.73.158.0,188.73.158.255,business,RU,AS12668 
188.73.159.0,188.73.160.255,isp,RU,AS12389 
188.73.161.0,188.73.161.255,isp,RU,AS35154 
188.73.162.0,188.73.163.255,isp,RU,AS12389 
188.73.164.0,188.73.167.255,isp,RU,AS35154 
188.73.168.0,188.73.168.255,business,RU,AS12668 
188.73.169.0,188.73.169.255,isp,RU,AS35154 
188.73.170.0,188.73.171.255,business,RU,AS12668 
188.73.172.0,188.73.172.255,isp,RU,AS35154 
188.73.173.0,188.73.173.255,isp,RU,AS12389 
188.73.174.0,188.73.175.255,business,RU,AS35154 
188.73.176.0,188.73.180.255,isp,RU,AS35154 
188.73.181.0,188.73.182.255,isp,RU,AS12389 
188.73.183.0,188.73.183.255,business,RU,AS12668 
188.73.184.0,188.73.184.255,isp,RU,AS35154 
188.73.185.0,188.73.185.255,business,RU,AS12668 
188.73.186.0,188.73.191.255,isp,RU,AS35154 
188.73.192.0,188.73.255.255,isp,GR,AS15617 
