188.234.0.0,188.234.63.255,isp,RU,AS41668 
188.234.64.0,188.234.71.255,isp,RU,AS51035 
188.234.72.0,188.234.79.255,isp,RU,AS9049 
188.234.80.0,188.234.111.255,isp,RU,AS51604 
188.234.112.0,188.234.115.255,isp,RU,AS41843 
188.234.116.0,188.234.117.255,isp,RU,AS39435 
188.234.118.0,188.234.119.255,isp,RU,AS50544 
188.234.120.0,188.234.127.255,isp,RU,AS39435 
188.234.128.0,188.234.131.255,isp,RU,AS9049 
188.234.132.0,188.234.133.255,isp,RU,AS41682 
188.234.134.0,188.234.134.255,isp,RU,AS9049 
188.234.135.0,188.234.135.255,isp,RU,AS39435 
188.234.136.0,188.234.145.191,isp,RU,AS9049 
188.234.145.192,188.234.145.215,isp,RU,AS39435 
188.234.145.216,188.234.145.239,business,RU,AS9049 
188.234.145.240,188.234.145.255,isp,RU,AS39435 
188.234.146.0,188.234.147.255,isp,RU,AS9049 
188.234.148.0,188.234.151.255,isp,RU,AS51035 
188.234.152.0,188.234.159.255,isp,RU,AS9049 
188.234.160.0,188.234.167.255,isp,RU,AS56981 
188.234.168.0,188.234.175.255,isp,RU,AS59713 
188.234.176.0,188.234.183.255,isp,RU,AS31363 
188.234.184.0,188.234.191.255,isp,RU,AS34590 
188.234.192.0,188.234.255.255,isp,RU,AS51604 
