188.93.101.0,188.93.101.255,hosting,BE,AS34762 
188.93.102.0,188.93.103.255,business,BE,AS34762 
188.93.104.0,188.93.105.255,education,RU,AS8409 
188.93.106.0,188.93.106.255,education,RU,AS206337 
188.93.107.0,188.93.107.71,education,RU,AS3267 
188.93.107.72,188.93.107.79,business,RU,AS3267 
188.93.107.80,188.93.107.95,education,RU,AS3267 
188.93.107.96,188.93.107.127,business,RU,AS3267 
188.93.107.128,188.93.108.127,education,RU,AS57011 
188.93.108.128,188.93.109.127,business,RU,AS57011 
188.93.109.128,188.93.109.159,education,RU,AS57011 
188.93.109.160,188.93.109.191,business,RU,AS57011 
188.93.109.192,188.93.109.223,education,RU,AS57011 
188.93.109.224,188.93.109.255,business,RU,AS57011 
188.93.110.0,188.93.111.159,education,RU,AS57011 
188.93.111.160,188.93.111.191,business,RU,AS57011 
188.93.111.192,188.93.111.255,education,RU,AS57011 
188.93.112.0,188.93.112.255,isp,AL,AS210693 
188.93.113.0,188.93.113.255,business,CZ, 
188.93.114.0,188.93.114.255,business,FR,AS210745 
188.93.115.0,188.93.115.255,isp,UA,AS199995 
188.93.116.0,188.93.116.255,isp,NL,AS215553 
188.93.117.0,188.93.117.255,hosting,ES,AS213005 
188.93.118.0,188.93.118.255,hosting,UA,AS56485 
188.93.119.0,188.93.119.255,business,UA, 
188.93.120.0,188.93.123.255,hosting,RS,AS51859 
188.93.124.0,188.93.127.255,hosting,RS,AS35779 
188.93.128.0,188.93.130.15,isp,RU,AS20485 
188.93.130.16,188.93.130.31,business,RU,AS20485 
188.93.130.32,188.93.130.55,isp,RU,AS20485 
188.93.130.56,188.93.130.87,business,RU,AS20485 
188.93.130.88,188.93.130.95,education,RU,AS20485 
188.93.130.96,188.93.130.143,isp,RU,AS20485 
188.93.130.144,188.93.130.159,business,RU,AS20485 
188.93.130.160,188.93.130.255,isp,RU,AS20485 
188.93.131.0,188.93.131.255,business,RU,AS20485 
