188.207.47.0,188.207.47.255,isp,GB 
188.207.48.0,188.207.62.223,isp,NL 
188.207.62.224,188.207.62.239,isp,GB 
188.207.62.240,188.207.128.15,isp,NL 
188.207.128.16,188.207.128.23,business,NL 
188.207.128.24,188.207.128.31,isp,NL 
188.207.128.32,188.207.128.47,business,NL 
188.207.128.48,188.207.128.63,isp,NL 
188.207.128.64,188.207.128.71,business,NL 
188.207.128.72,188.207.128.79,isp,NL 
188.207.128.80,188.207.128.83,business,NL 
188.207.128.84,188.207.128.95,isp,NL 
188.207.128.96,188.207.128.111,business,NL 
188.207.128.112,188.207.128.127,isp,NL 
188.207.128.128,188.207.128.143,business,NL 
188.207.128.144,188.207.128.151,isp,NL 
188.207.128.152,188.207.128.155,business,NL 
188.207.128.156,188.207.128.159,isp,NL 
188.207.128.160,188.207.128.167,business,NL 
188.207.128.168,188.207.128.183,isp,NL 
188.207.128.184,188.207.128.187,business,NL 
188.207.128.188,188.207.128.191,isp,NL 
188.207.128.192,188.207.128.195,business,NL 
188.207.128.196,188.207.128.251,isp,NL 
188.207.128.252,188.207.129.11,business,NL 
188.207.129.12,188.207.129.19,isp,NL 
188.207.129.20,188.207.129.31,business,NL 
188.207.129.32,188.207.129.43,isp,NL 
188.207.129.44,188.207.129.47,business,NL 
188.207.129.48,188.207.129.79,isp,NL 
188.207.129.80,188.207.129.83,business,NL 
188.207.129.84,188.207.129.87,isp,NL 
188.207.129.88,188.207.129.95,business,NL 
188.207.129.96,188.207.129.131,isp,NL 
188.207.129.132,188.207.129.135,business,NL 
188.207.129.136,188.207.129.143,isp,NL 
188.207.129.144,188.207.129.147,business,NL 
188.207.129.148,188.207.129.155,isp,NL 
188.207.129.156,188.207.129.167,business,NL 
188.207.129.168,188.207.129.187,isp,NL 
188.207.129.188,188.207.129.195,business,NL 
188.207.129.196,188.207.129.199,isp,NL 
188.207.129.200,188.207.129.215,business,NL 
188.207.129.216,188.207.129.255,isp,NL 
188.207.130.0,188.207.130.15,business,NL 
188.207.130.16,188.207.130.31,isp,NL 
188.207.130.32,188.207.130.39,business,NL 
188.207.130.40,188.207.130.43,isp,NL 
188.207.130.44,188.207.130.55,business,NL 
188.207.130.56,188.207.130.63,isp,NL 
188.207.130.64,188.207.130.71,business,NL 
188.207.130.72,188.207.130.79,isp,NL 
188.207.130.80,188.207.130.95,business,NL 
188.207.130.96,188.207.130.107,isp,NL 
188.207.130.108,188.207.130.111,business,NL 
188.207.130.112,188.207.130.123,isp,NL 
188.207.130.124,188.207.130.127,business,NL 
188.207.130.128,188.207.130.143,isp,NL 
188.207.130.144,188.207.130.183,business,NL 
188.207.130.184,188.207.130.195,isp,NL 
188.207.130.196,188.207.130.199,business,NL 
188.207.130.200,188.207.130.203,isp,NL 
188.207.130.204,188.207.130.207,business,NL 
188.207.130.208,188.207.130.239,isp,NL 
188.207.130.240,188.207.130.247,business,NL 
