124.248.0.0,124.248.31.255,hosting,CN,AS56011 
124.248.32.0,124.248.63.255,business,CN, 
124.248.64.0,124.248.127.255,business,CN,AS58461 
124.248.128.0,124.248.143.255,isp,NZ,AS45267 
124.248.144.0,124.248.159.255,hosting,JP,AS24282 
124.248.160.0,124.248.191.255,isp,KH,AS23673 
124.248.192.0,124.248.192.255,hosting,HK,AS38478 
124.248.193.0,124.248.193.255,business,HK, 
124.248.194.0,124.248.194.255,hosting,HK,AS38478 
124.248.195.0,124.248.195.255,business,HK, 
124.248.196.0,124.248.196.255,hosting,HK,AS4646 
124.248.197.0,124.248.201.255,business,HK, 
124.248.202.0,124.248.202.255,hosting,HK,AS38478 
124.248.203.0,124.248.206.255,business,HK, 
124.248.207.0,124.248.207.255,hosting,HK,AS4646 
124.248.208.0,124.248.210.255,business,HK, 
124.248.211.0,124.248.212.255,hosting,HK,AS38478 
124.248.213.0,124.248.213.255,business,HK, 
124.248.214.0,124.248.217.255,hosting,HK,AS38478 
124.248.218.0,124.248.218.255,business,HK, 
124.248.219.0,124.248.219.255,hosting,HK,AS38478 
124.248.220.0,124.248.220.255,business,HK, 
124.248.221.0,124.248.221.255,hosting,HK,AS38478 
124.248.222.0,124.248.222.255,business,HK, 
124.248.223.0,124.248.230.255,hosting,HK,AS38478 
124.248.231.0,124.248.231.255,business,HK, 
124.248.232.0,124.248.232.255,hosting,HK,AS38478 
124.248.233.0,124.248.235.255,business,HK, 
124.248.236.0,124.248.243.255,hosting,HK,AS38478 
124.248.244.0,124.248.244.255,business,HK, 
124.248.245.0,124.248.245.255,hosting,HK,AS38478 
124.248.246.0,124.248.246.255,business,HK, 
124.248.247.0,124.248.248.255,hosting,HK,AS38478 
124.248.249.0,124.248.249.255,business,HK, 
124.248.250.0,124.248.250.255,hosting,HK,AS38478 
124.248.251.0,124.248.251.255,business,HK, 
124.248.252.0,124.248.254.255,hosting,HK,AS38478 
124.248.255.0,124.248.255.255,business,HK, 
