124.118.12.116,124.118.12.123,business,CN,AS4134 
124.118.12.124,124.118.16.253,isp,CN,AS4134 
124.118.16.254,124.118.16.254,business,CN,AS4134 
124.118.16.255,124.118.25.128,isp,CN,AS4134 
124.118.25.129,124.118.25.129,business,CN,AS4134 
124.118.25.130,124.118.25.137,isp,CN,AS4134 
124.118.25.138,124.118.25.143,business,CN,AS4134 
124.118.25.144,124.118.25.144,isp,CN,AS4134 
124.118.25.145,124.118.25.145,business,CN,AS4134 
124.118.25.146,124.118.136.8,isp,CN,AS4134 
124.118.136.9,124.118.136.11,business,CN,AS4134 
124.118.136.12,124.118.136.12,isp,CN,AS4134 
124.118.136.13,124.118.136.15,business,CN,AS4134 
124.118.136.16,124.118.136.16,isp,CN,AS4134 
124.118.136.17,124.118.136.19,business,CN,AS4134 
124.118.136.20,124.118.136.20,isp,CN,AS4134 
124.118.136.21,124.118.136.23,business,CN,AS4134 
124.118.136.24,124.118.136.24,isp,CN,AS4134 
124.118.136.25,124.118.136.27,business,CN,AS4134 
124.118.136.28,124.118.136.28,isp,CN,AS4134 
124.118.136.29,124.118.136.31,business,CN,AS4134 
124.118.136.32,124.118.136.32,isp,CN,AS4134 
124.118.136.33,124.118.136.35,business,CN,AS4134 
124.118.136.36,124.118.136.36,isp,CN,AS4134 
124.118.136.37,124.118.136.39,business,CN,AS4134 
124.118.136.40,124.118.136.40,isp,CN,AS4134 
124.118.136.41,124.118.136.43,business,CN,AS4134 
124.118.136.44,124.118.136.44,isp,CN,AS4134 
124.118.136.45,124.118.136.47,business,CN,AS4134 
124.118.136.48,124.118.136.48,isp,CN,AS4134 
124.118.136.49,124.118.136.51,business,CN,AS4134 
124.118.136.52,124.118.136.52,isp,CN,AS4134 
124.118.136.53,124.118.136.55,business,CN,AS4134 
124.118.136.56,124.118.136.56,isp,CN,AS4134 
124.118.136.57,124.118.136.59,business,CN,AS4134 
124.118.136.60,124.118.136.60,isp,CN,AS4134 
124.118.136.61,124.118.136.63,business,CN,AS4134 
124.118.136.64,124.118.136.64,isp,CN,AS4134 
124.118.136.65,124.118.136.67,business,CN,AS4134 
124.118.136.68,124.118.136.68,isp,CN,AS4134 
124.118.136.69,124.118.136.71,business,CN,AS4134 
124.118.136.72,124.118.136.72,isp,CN,AS4134 
124.118.136.73,124.118.136.75,business,CN,AS4134 
124.118.136.76,124.118.136.76,isp,CN,AS4134 
124.118.136.77,124.118.136.79,business,CN,AS4134 
124.118.136.80,124.118.136.80,isp,CN,AS4134 
124.118.136.81,124.118.136.83,business,CN,AS4134 
124.118.136.84,124.118.136.84,isp,CN,AS4134 
124.118.136.85,124.118.136.87,business,CN,AS4134 
124.118.136.88,124.118.136.88,isp,CN,AS4134 
124.118.136.89,124.118.136.91,business,CN,AS4134 
124.118.136.92,124.118.136.92,isp,CN,AS4134 
124.118.136.93,124.118.136.95,business,CN,AS4134 
124.118.136.96,124.118.136.96,isp,CN,AS4134 
124.118.136.97,124.118.136.99,business,CN,AS4134 
124.118.136.100,124.118.136.100,isp,CN,AS4134 
124.118.136.101,124.118.136.103,business,CN,AS4134 
124.118.136.104,124.118.136.104,isp,CN,AS4134 
124.118.136.105,124.118.136.107,business,CN,AS4134 
124.118.136.108,124.118.136.108,isp,CN,AS4134 
124.118.136.109,124.118.136.111,business,CN,AS4134 
124.118.136.112,124.118.136.112,isp,CN,AS4134 
124.118.136.113,124.118.136.115,business,CN,AS4134 
124.118.136.116,124.118.136.116,isp,CN,AS4134 
124.118.136.117,124.118.136.119,business,CN,AS4134 
124.118.136.120,124.118.136.120,isp,CN,AS4134 
124.118.136.121,124.118.136.123,business,CN,AS4134 
124.118.136.124,124.118.137.8,isp,CN,AS4134 
124.118.137.9,124.118.137.11,business,CN,AS4134 
124.118.137.12,124.118.137.16,isp,CN,AS4134 
124.118.137.17,124.118.137.23,business,CN,AS4134 
124.118.137.24,124.118.137.32,isp,CN,AS4134 
124.118.137.33,124.118.137.35,business,CN,AS4134 
124.118.137.36,124.118.137.36,isp,CN,AS4134 
124.118.137.37,124.118.137.39,business,CN,AS4134 
124.118.137.40,124.118.137.40,isp,CN,AS4134 
124.118.137.41,124.118.137.43,business,CN,AS4134 
124.118.137.44,124.118.137.44,isp,CN,AS4134 
124.118.137.45,124.118.137.47,business,CN,AS4134 
124.118.137.48,124.118.137.52,isp,CN,AS4134 
124.118.137.53,124.118.137.55,business,CN,AS4134 
124.118.137.56,124.118.137.56,isp,CN,AS4134 
124.118.137.57,124.118.137.59,business,CN,AS4134 
124.118.137.60,124.118.137.64,isp,CN,AS4134 
124.118.137.65,124.118.137.67,business,CN,AS4134 
124.118.137.68,124.118.137.80,isp,CN,AS4134 
124.118.137.81,124.118.137.87,business,CN,AS4134 
124.118.137.88,124.118.254.2,isp,CN,AS4134 
124.118.254.3,124.118.254.10,business,CN,AS4134 
124.118.254.11,124.118.254.12,isp,CN,AS4134 
124.118.254.13,124.118.254.14,business,CN,AS4134 
124.118.254.15,124.119.2.1,isp,CN,AS4134 
