124.148.0.0,124.148.15.255,isp,AU,AS4739 
124.148.16.0,124.148.16.255,business,AU,AS4739 
124.148.17.0,124.148.159.255,isp,AU,AS4739 
124.148.160.0,124.148.161.27,isp,AU,AS7545 
124.148.161.28,124.148.161.31,isp,AU,AS4739 
124.148.161.32,124.148.161.83,isp,AU,AS7545 
124.148.161.84,124.148.161.87,isp,AU,AS4739 
124.148.161.88,124.148.161.143,isp,AU,AS7545 
124.148.161.144,124.148.161.147,isp,AU,AS4739 
124.148.161.148,124.148.161.211,isp,AU,AS7545 
124.148.161.212,124.148.161.219,isp,AU,AS4739 
124.148.161.220,124.148.162.51,isp,AU,AS7545 
124.148.162.52,124.148.162.55,isp,AU,AS4739 
124.148.162.56,124.148.162.171,isp,AU,AS7545 
124.148.162.172,124.148.162.175,isp,AU,AS4739 
124.148.162.176,124.148.162.203,isp,AU,AS7545 
124.148.162.204,124.148.162.207,isp,AU,AS4739 
124.148.162.208,124.148.162.255,isp,AU,AS7545 
124.148.163.0,124.148.164.255,isp,AU,AS4739 
124.148.165.0,124.148.165.255,isp,AU,AS7545 
124.148.166.0,124.148.166.255,isp,AU,AS4739 
124.148.167.0,124.148.167.143,isp,AU,AS7545 
124.148.167.144,124.148.167.147,isp,AU,AS4739 
124.148.167.148,124.148.167.255,isp,AU,AS7545 
124.148.168.0,124.148.239.255,isp,AU,AS4739 
124.148.240.0,124.148.240.75,isp,AU,AS7545 
124.148.240.76,124.148.240.79,isp,AU,AS4739 
124.148.240.80,124.148.241.243,isp,AU,AS7545 
124.148.241.244,124.148.241.247,isp,AU,AS4739 
124.148.241.248,124.148.244.19,isp,AU,AS7545 
124.148.244.20,124.148.244.23,isp,AU,AS4739 
124.148.244.24,124.148.244.95,isp,AU,AS7545 
124.148.244.96,124.148.244.99,isp,AU,AS4739 
124.148.244.100,124.148.245.67,isp,AU,AS7545 
124.148.245.68,124.148.245.71,isp,AU,AS4739 
124.148.245.72,124.148.245.231,isp,AU,AS7545 
124.148.245.232,124.148.245.235,isp,AU,AS4739 
124.148.245.236,124.148.246.67,isp,AU,AS7545 
124.148.246.68,124.148.246.71,isp,AU,AS4739 
124.148.246.72,124.148.246.255,isp,AU,AS7545 
124.148.247.0,124.148.247.255,isp,AU,AS4739 
124.148.248.0,124.148.250.87,isp,AU,AS7545 
124.148.250.88,124.148.250.91,isp,AU,AS4739 
124.148.250.92,124.148.250.115,isp,AU,AS7545 
124.148.250.116,124.148.250.119,isp,AU,AS4739 
124.148.250.120,124.148.252.35,isp,AU,AS7545 
124.148.252.36,124.148.252.39,isp,AU,AS4739 
124.148.252.40,124.148.252.203,isp,AU,AS7545 
124.148.252.204,124.148.252.207,isp,AU,AS4739 
124.148.252.208,124.148.253.11,isp,AU,AS7545 
124.148.253.12,124.148.253.15,isp,AU,AS4739 
124.148.253.16,124.148.254.255,isp,AU,AS7545 
124.148.255.0,124.150.127.255,isp,AU,AS4739 
