147.236.0.0,147.236.97.255,isp,IL,AS25125 
147.236.98.0,147.236.99.255,isp,IL,AS210625 
147.236.100.0,147.236.101.255,isp,IL,AS25125 
147.236.102.0,147.236.103.255,isp,IL, 
147.236.104.0,147.236.111.255,isp,IL,AS202940 
147.236.112.0,147.236.115.255,isp,IL,AS25125 
147.236.116.0,147.236.117.255,isp,IL,AS202940 
147.236.118.0,147.236.119.255,business,IL,AS202447 
147.236.120.0,147.236.127.255,isp,IL,AS202940 
147.236.128.0,147.236.143.255,isp,IL,AS25125 
147.236.144.0,147.236.159.255,isp,IL,AS202940 
147.236.160.0,147.236.161.255,business,IL,AS215309 
147.236.162.0,147.236.162.255,isp,IL, 
147.236.163.0,147.236.163.255,business,IL, 
147.236.164.0,147.236.165.255,business,IL,AS208666 
147.236.166.0,147.236.166.255,business,IL, 
147.236.167.0,147.236.175.255,isp,IL,AS25125 
147.236.176.0,147.236.191.255,isp,IL,AS202940 
147.236.192.0,147.236.195.255,business,IL,AS211329 
147.236.196.0,147.236.207.255,isp,IL,AS25125 
147.236.208.0,147.236.208.255,business,IL,AS211518 
147.236.209.0,147.236.211.255,isp,IL,AS25125 
147.236.212.0,147.236.215.255,isp,IL,AS42925 
147.236.216.0,147.236.223.255,isp,IL,AS25125 
147.236.224.0,147.236.227.255,isp,IL,AS42925 
147.236.228.0,147.236.231.255,isp,IL,AS210625 
147.236.232.0,147.236.255.255,isp,IL,AS25125 
