147.124.0.0,147.124.11.255,education,US 
147.124.12.0,147.124.15.255,business,SG 
147.124.16.0,147.124.63.255,isp,US 
147.124.64.0,147.124.79.255,isp,CA 
147.124.80.0,147.124.95.255,isp,US 
147.124.96.0,147.124.191.255,business,US 
147.124.192.0,147.124.192.255,hosting,US 
147.124.193.0,147.124.193.255,hosting,TR 
147.124.194.0,147.124.194.255,hosting,US 
147.124.195.0,147.124.195.255,hosting,TR 
147.124.196.0,147.124.199.255,hosting,US 
147.124.200.0,147.124.200.255,hosting,IN 
147.124.201.0,147.124.202.255,hosting,US 
147.124.203.0,147.124.203.255,business,TR 
147.124.204.0,147.124.206.255,hosting,US 
147.124.207.0,147.124.207.255,business,US 
147.124.208.0,147.124.223.255,hosting,US 
147.124.224.0,147.124.229.255,isp,US 
147.124.230.0,147.124.231.255,business,US 
147.124.232.0,147.124.255.255,isp,US 
