213.143.0.0,213.143.2.255,isp,GB,AS41230 
213.143.3.0,213.143.3.255,business,GB,AS41230 
213.143.4.0,213.143.19.255,isp,GB,AS41230 
213.143.20.0,213.143.21.255,business,GB,AS41230 
213.143.22.0,213.143.25.91,isp,GB,AS41230 
213.143.25.92,213.143.25.95,business,GB,AS41230 
213.143.25.96,213.143.30.207,isp,GB,AS41230 
213.143.30.208,213.143.30.215,education,GB,AS41230 
213.143.30.216,213.143.31.255,isp,GB,AS41230 
213.143.32.0,213.143.63.255,isp,ES,AS12479 
213.143.64.0,213.143.95.255,isp,SI,AS3212 
213.143.96.0,213.143.101.255,hosting,AT,AS29287 
213.143.102.0,213.143.103.255,business,AT,AS29287 
213.143.104.0,213.143.115.255,hosting,AT,AS29287 
213.143.116.0,213.143.119.255,business,AT,AS29287 
213.143.120.0,213.143.122.159,hosting,AT,AS29287 
213.143.122.160,213.143.122.191,education,AT,AS29287 
213.143.122.192,213.143.123.255,hosting,AT,AS29287 
213.143.124.0,213.143.124.255,business,AT,AS29287 
213.143.125.0,213.143.126.255,hosting,AT,AS29287 
213.143.127.0,213.143.127.255,isp,AT,AS29287 
213.143.128.0,213.143.128.255,isp,GB,AS15654 
213.143.129.0,213.143.129.31,business,GB,AS15654 
213.143.129.32,213.143.131.255,isp,GB,AS15654 
213.143.132.0,213.143.132.7,business,GB,AS15654 
213.143.132.8,213.143.132.23,isp,GB,AS15654 
213.143.132.24,213.143.132.39,business,GB,AS15654 
213.143.132.40,213.143.132.63,isp,GB,AS15654 
213.143.132.64,213.143.132.79,business,GB,AS15654 
213.143.132.80,213.143.132.87,isp,GB,AS15654 
213.143.132.88,213.143.132.95,business,GB,AS15654 
213.143.132.96,213.143.132.103,isp,GB,AS15654 
213.143.132.104,213.143.132.159,business,GB,AS15654 
213.143.132.160,213.143.132.167,isp,GB,AS15654 
213.143.132.168,213.143.132.191,business,GB,AS15654 
213.143.132.192,213.143.132.223,isp,GB,AS15654 
213.143.132.224,213.143.132.231,business,GB,AS15654 
213.143.132.232,213.143.132.247,isp,GB,AS15654 
213.143.132.248,213.143.133.7,business,GB,AS15654 
213.143.133.8,213.143.133.15,isp,GB,AS15654 
213.143.133.16,213.143.133.23,business,GB,AS15654 
213.143.133.24,213.143.133.31,isp,GB,AS15654 
213.143.133.32,213.143.133.55,business,GB,AS15654 
213.143.133.56,213.143.133.71,isp,GB,AS15654 
213.143.133.72,213.143.133.127,business,GB,AS15654 
213.143.133.128,213.143.133.135,isp,GB,AS15654 
213.143.133.136,213.143.133.159,business,GB,AS15654 
213.143.133.160,213.143.133.167,isp,GB,AS15654 
213.143.133.168,213.143.133.191,business,GB,AS15654 
213.143.133.192,213.143.133.199,isp,GB,AS15654 
213.143.133.200,213.143.133.207,business,GB,AS15654 
213.143.133.208,213.143.133.223,isp,GB,AS15654 
213.143.133.224,213.143.133.255,business,GB,AS15654 
213.143.134.0,213.143.134.7,isp,GB,AS15654 
213.143.134.8,213.143.134.31,business,GB,AS15654 
213.143.134.32,213.143.134.47,education,GB,AS15654 
213.143.134.48,213.143.134.63,business,GB,AS15654 
213.143.134.64,213.143.134.87,isp,GB,AS15654 
213.143.134.88,213.143.134.111,business,GB,AS15654 
213.143.134.112,213.143.134.119,isp,GB,AS15654 
213.143.134.120,213.143.134.143,business,GB,AS15654 
213.143.134.144,213.143.134.151,isp,GB,AS15654 
213.143.134.152,213.143.134.175,business,GB,AS15654 
213.143.134.176,213.143.134.177,isp,GB,AS15654 
213.143.134.178,213.143.134.191,business,GB,AS15654 
213.143.134.192,213.143.134.207,isp,GB,AS15654 
213.143.134.208,213.143.134.215,education,GB,AS15654 
213.143.134.216,213.143.134.247,isp,GB,AS15654 
213.143.134.248,213.143.134.255,business,GB,AS15654 
213.143.135.0,213.143.137.175,isp,GB,AS15654 
213.143.137.176,213.143.137.183,business,GB,AS15654 
213.143.137.184,213.143.137.191,isp,GB,AS15654 
213.143.137.192,213.143.137.223,business,GB,AS15654 
213.143.137.224,213.143.140.159,isp,GB,AS15654 
213.143.140.160,213.143.140.167,business,GB,AS15654 
213.143.140.168,213.143.142.135,isp,GB,AS15654 
