213.142.0.0,213.142.31.255,isp,SE,AS29518 
213.142.32.0,213.142.33.255,isp,RU,AS35154 
213.142.34.0,213.142.35.255,business,RU,AS12668 
213.142.36.0,213.142.36.255,isp,RU,AS35154 
213.142.37.0,213.142.37.255,business,RU,AS12668 
213.142.38.0,213.142.39.255,isp,RU,AS35154 
213.142.40.0,213.142.41.255,business,RU,AS12668 
213.142.42.0,213.142.42.255,isp,RU,AS35154 
213.142.43.0,213.142.43.255,isp,RU,AS12389 
213.142.44.0,213.142.47.255,isp,RU,AS35154 
213.142.48.0,213.142.48.255,isp,RU,AS12389 
213.142.49.0,213.142.49.255,isp,RU,AS35154 
213.142.50.0,213.142.50.255,isp,RU,AS12389 
213.142.51.0,213.142.51.255,isp,RU,AS35154 
213.142.52.0,213.142.53.255,isp,RU,AS12389 
213.142.54.0,213.142.56.255,isp,RU,AS35154 
213.142.57.0,213.142.57.255,business,RU,AS12668 
213.142.58.0,213.142.58.255,isp,RU,AS35154 
213.142.59.0,213.142.60.255,isp,RU,AS12389 
213.142.61.0,213.142.62.255,isp,RU,AS35154 
213.142.63.0,213.142.63.255,isp,RU,AS12389 
213.142.64.0,213.142.95.255,isp,NO,AS2119 
213.142.96.0,213.142.127.255,isp,AT,AS8412 
213.142.128.0,213.142.131.255,hosting,TR,AS397563 
213.142.132.0,213.142.134.255,hosting,TR,AS207459 
213.142.135.0,213.142.135.255,hosting,DE,AS60707 
213.142.136.0,213.142.137.255,hosting,TR,AS397563 
213.142.138.0,213.142.139.255,business,RU, 
213.142.140.0,213.142.141.255,business,DK,AS47527 
213.142.142.0,213.142.142.255,hosting,TR,AS397563 
213.142.143.0,213.142.143.255,hosting,TR,AS60707 
213.142.144.0,213.142.145.255,business,TR, 
213.142.146.0,213.142.147.255,hosting,NL,AS58061 
213.142.148.0,213.142.148.255,hosting,TR,AS212219 
213.142.149.0,213.142.150.255,hosting,TR,AS207459 
213.142.151.0,213.142.151.255,hosting,TR,AS212219 
213.142.152.0,213.142.153.255,hosting,TR,AS397563 
213.142.154.0,213.142.155.255,hosting,DE,AS205094 
213.142.156.0,213.142.156.255,hosting,TR,AS207459 
213.142.157.0,213.142.157.255,hosting,TR,AS210574 
213.142.158.0,213.142.158.255,isp,AZ,AS211995 
213.142.159.0,213.142.159.255,hosting,TR,AS212219 
213.142.160.0,213.142.191.255,isp,CH,AS42155 
213.142.192.0,213.142.194.255,isp,RU,AS13257 
213.142.195.0,213.142.199.0,business,RU,AS13257 
213.142.199.1,213.142.208.255,isp,RU,AS13257 
213.142.209.0,213.142.209.255,business,RU,AS13257 
213.142.210.0,213.142.210.255,isp,RU,AS13257 
213.142.211.0,213.142.220.255,business,RU,AS13257 
213.142.221.0,213.142.223.255,isp,RU,AS13257 
213.142.224.0,213.142.247.255,hosting,SI,AS44993 
213.142.248.0,213.142.251.255,hosting,ZA,AS44993 
213.142.252.0,213.142.255.255,hosting,LU,AS44993 
