213.237.0.0,213.237.63.63,isp,DK 
213.237.63.64,213.237.63.79,business,DK 
213.237.63.80,213.237.137.255,isp,DK 
213.237.138.0,213.237.138.31,business,DK 
213.237.138.32,213.237.138.63,isp,DK 
213.237.138.64,213.237.138.127,business,DK 
213.237.138.128,213.237.138.223,isp,DK 
213.237.138.224,213.237.138.231,business,DK 
213.237.138.232,213.237.140.127,isp,DK 
213.237.140.128,213.237.141.79,business,DK 
213.237.141.80,213.237.141.95,isp,DK 
213.237.141.96,213.237.141.155,business,DK 
213.237.141.156,213.237.141.159,isp,DK 
213.237.141.160,213.237.141.171,business,DK 
213.237.141.172,213.237.141.183,isp,DK 
213.237.141.184,213.237.141.191,business,DK 
213.237.141.192,213.237.142.255,isp,DK 
213.237.143.0,213.237.143.7,business,DK 
213.237.143.8,213.237.143.15,isp,DK 
213.237.143.16,213.237.143.39,business,DK 
213.237.143.40,213.237.143.43,isp,DK 
213.237.143.44,213.237.143.47,business,DK 
213.237.143.48,213.237.143.127,isp,DK 
213.237.143.128,213.237.143.143,business,DK 
213.237.143.144,213.237.143.147,isp,DK 
213.237.143.148,213.237.143.167,business,DK 
213.237.143.168,213.237.143.183,isp,DK 
213.237.143.184,213.237.143.191,business,DK 
213.237.143.192,213.237.143.207,isp,DK 
213.237.143.208,213.237.143.255,business,DK 
213.237.144.0,213.237.144.71,isp,DK 
213.237.144.72,213.237.144.75,business,DK 
213.237.144.76,213.237.144.83,isp,DK 
213.237.144.84,213.237.144.95,business,DK 
213.237.144.96,213.237.144.103,isp,DK 
213.237.144.104,213.237.144.111,business,DK 
213.237.144.112,213.237.144.175,isp,DK 
213.237.144.176,213.237.144.207,business,DK 
213.237.144.208,213.237.146.79,isp,DK 
213.237.146.80,213.237.146.87,business,DK 
213.237.146.88,213.237.146.135,isp,DK 
213.237.146.136,213.237.146.139,business,DK 
213.237.146.140,213.237.146.147,isp,DK 
213.237.146.148,213.237.146.155,business,DK 
213.237.146.156,213.237.147.255,isp,DK 
213.237.148.0,213.237.149.255,business,DK 
213.237.150.0,213.237.150.79,isp,DK 
213.237.150.80,213.237.150.87,business,DK 
213.237.150.88,213.237.151.255,isp,DK 
213.237.152.0,213.237.159.255,education,DK 
213.237.160.0,213.237.160.31,business,DK 
213.237.160.32,213.237.160.79,isp,DK 
213.237.160.80,213.237.160.95,business,DK 
213.237.160.96,213.237.160.159,isp,DK 
213.237.160.160,213.237.160.191,business,DK 
213.237.160.192,213.237.160.239,isp,DK 
213.237.160.240,213.237.160.243,business,DK 
213.237.160.244,213.237.160.247,isp,DK 
213.237.160.248,213.237.160.255,business,DK 
213.237.161.0,213.237.161.255,isp,DK 
213.237.162.0,213.237.162.79,business,DK 
213.237.162.80,213.237.162.95,isp,DK 
213.237.162.96,213.237.162.103,business,DK 
213.237.162.104,213.237.162.127,isp,DK 
213.237.162.128,213.237.162.191,business,DK 
213.237.162.192,213.237.162.215,isp,DK 
213.237.162.216,213.237.162.219,business,DK 
213.237.162.220,213.237.162.223,isp,DK 
213.237.162.224,213.237.162.231,business,DK 
213.237.162.232,213.237.162.255,isp,DK 
213.237.163.0,213.237.164.255,business,DK 
213.237.165.0,213.237.165.63,isp,DK 
213.237.165.64,213.237.165.95,business,DK 
213.237.165.96,213.237.166.11,isp,DK 
213.237.166.12,213.237.166.23,business,DK 
213.237.166.24,213.237.166.31,isp,DK 
213.237.166.32,213.237.166.95,business,DK 
213.237.166.96,213.237.166.127,isp,DK 
213.237.166.128,213.237.166.159,business,DK 
213.237.166.160,213.237.166.255,isp,DK 
213.237.167.0,213.237.167.255,business,DK 
213.237.168.0,213.237.172.187,isp,DK 
213.237.172.188,213.237.172.191,business,DK 
213.237.172.192,213.237.172.255,isp,DK 
213.237.173.0,213.237.173.255,business,DK 
213.237.174.0,213.237.176.127,isp,DK 
213.237.176.128,213.237.176.139,business,DK 
213.237.176.140,213.237.176.143,isp,DK 
213.237.176.144,213.237.176.191,business,DK 
213.237.176.192,213.237.176.255,isp,DK 
213.237.177.0,213.237.178.255,business,DK 
213.237.179.0,213.237.179.143,isp,DK 
213.237.179.144,213.237.179.147,business,DK 
213.237.179.148,213.237.179.151,isp,DK 
213.237.179.152,213.237.179.191,business,DK 
213.237.179.192,213.237.180.111,isp,DK 
213.237.180.112,213.237.180.127,business,DK 
213.237.180.128,213.237.182.159,isp,DK 
213.237.182.160,213.237.182.175,business,DK 
213.237.182.176,213.237.183.255,isp,DK 
213.237.184.0,213.237.184.63,business,DK 
213.237.184.64,213.237.184.159,isp,DK 
213.237.184.160,213.237.184.191,business,DK 
213.237.184.192,213.237.184.239,isp,DK 
213.237.184.240,213.237.184.247,business,DK 
213.237.184.248,213.237.185.223,isp,DK 
213.237.185.224,213.237.185.239,business,DK 
213.237.185.240,213.237.185.255,isp,DK 
213.237.186.0,213.237.186.119,business,DK 
213.237.186.120,213.237.186.127,isp,DK 
213.237.186.128,213.237.186.183,business,DK 
213.237.186.184,213.237.186.191,business,DE 
213.237.186.192,213.237.186.199,business,DK 
213.237.186.200,213.237.186.207,isp,DK 
213.237.186.208,213.237.186.211,business,DK 
213.237.186.212,213.237.186.223,isp,DK 
213.237.186.224,213.237.186.243,business,DK 
213.237.186.244,213.237.186.247,isp,DK 
213.237.186.248,213.237.187.255,business,DK 
213.237.188.0,213.237.190.255,isp,DK 
213.237.191.0,213.237.191.255,business,DK 
213.237.192.0,213.237.255.255,business,GB 
