213.209.0.0,213.209.63.255,business,IT,AS8660 
213.209.64.0,213.209.102.255,isp,DE,AS15943 
213.209.103.0,213.209.103.31,isp,AF,AS15943 
213.209.103.32,213.209.104.255,isp,DE,AS15943 
213.209.105.0,213.209.105.15,business,DE,AS15943 
213.209.105.16,213.209.105.51,isp,DE,AS15943 
213.209.105.52,213.209.105.87,business,DE,AS15943 
213.209.105.88,213.209.105.91,isp,DE,AS15943 
213.209.105.92,213.209.105.95,business,DE,AS15943 
213.209.105.96,213.209.105.119,isp,DE,AS15943 
213.209.105.120,213.209.105.127,business,DE,AS15943 
213.209.105.128,213.209.107.63,isp,DE,AS15943 
213.209.107.64,213.209.107.67,business,DE,AS15943 
213.209.107.68,213.209.107.71,isp,DE,AS15943 
213.209.107.72,213.209.107.111,business,DE,AS15943 
213.209.107.112,213.209.107.139,isp,DE,AS15943 
213.209.107.140,213.209.107.143,business,DE,AS15943 
213.209.107.144,213.209.107.239,isp,DE,AS15943 
213.209.107.240,213.209.107.255,business,DE,AS15943 
213.209.108.0,213.209.108.7,isp,DE,AS15943 
213.209.108.8,213.209.108.15,business,DE,AS15943 
213.209.108.16,213.209.108.47,isp,DE,AS15943 
213.209.108.48,213.209.108.55,business,DE,AS15943 
213.209.108.56,213.209.108.63,isp,DE,AS15943 
213.209.108.64,213.209.108.87,business,DE,AS15943 
213.209.108.88,213.209.108.103,isp,DE,AS15943 
213.209.108.104,213.209.108.111,business,DE,AS15943 
213.209.108.112,213.209.108.127,isp,DE,AS15943 
213.209.108.128,213.209.108.135,business,DE,AS15943 
213.209.108.136,213.209.108.143,isp,DE,AS15943 
213.209.108.144,213.209.108.151,business,DE,AS15943 
213.209.108.152,213.209.108.175,isp,DE,AS15943 
213.209.108.176,213.209.108.183,business,DE,AS15943 
213.209.108.184,213.209.108.199,isp,DE,AS15943 
213.209.108.200,213.209.108.207,business,DE,AS15943 
213.209.108.208,213.209.108.215,isp,DE,AS15943 
213.209.108.216,213.209.109.15,business,DE,AS15943 
213.209.109.16,213.209.109.31,isp,DE,AS15943 
213.209.109.32,213.209.109.103,business,DE,AS15943 
213.209.109.104,213.209.109.135,isp,DE,AS15943 
213.209.109.136,213.209.109.143,business,DE,AS15943 
213.209.109.144,213.209.109.191,isp,DE,AS15943 
213.209.109.192,213.209.109.223,business,DE,AS15943 
213.209.109.224,213.209.110.31,isp,DE,AS15943 
213.209.110.32,213.209.110.63,business,DE,AS15943 
213.209.110.64,213.209.110.127,isp,DE,AS15943 
213.209.110.128,213.209.110.159,business,DE,AS15943 
213.209.110.160,213.209.110.223,isp,DE,AS15943 
213.209.110.224,213.209.110.255,business,DE,AS15943 
213.209.111.0,213.209.115.63,isp,DE,AS15943 
213.209.115.64,213.209.115.71,business,DE,AS15943 
213.209.115.72,213.209.115.79,isp,DE,AS15943 
213.209.115.80,213.209.115.111,business,DE,AS15943 
213.209.115.112,213.209.115.135,isp,DE,AS15943 
213.209.115.136,213.209.115.151,business,DE,AS15943 
213.209.115.152,213.209.115.167,isp,DE,AS15943 
213.209.115.168,213.209.115.175,business,DE,AS15943 
213.209.115.176,213.209.115.183,isp,DE,AS15943 
213.209.115.184,213.209.115.191,business,DE,AS15943 
213.209.115.192,213.209.115.199,isp,DE,AS15943 
213.209.115.200,213.209.115.207,business,DE,AS15943 
213.209.115.208,213.209.115.223,isp,DE,AS15943 
213.209.115.224,213.209.115.239,business,DE,AS15943 
213.209.115.240,213.209.117.15,isp,DE,AS15943 
213.209.117.16,213.209.117.31,business,DE,AS15943 
213.209.117.32,213.209.117.39,isp,DE,AS15943 
213.209.117.40,213.209.117.95,business,DE,AS15943 
213.209.117.96,213.209.117.111,isp,DE,AS15943 
213.209.117.112,213.209.117.151,business,DE,AS15943 
213.209.117.152,213.209.117.167,isp,DE,AS15943 
213.209.117.168,213.209.117.175,business,DE,AS15943 
213.209.117.176,213.209.117.183,isp,DE,AS15943 
213.209.117.184,213.209.117.223,business,DE,AS15943 
213.209.117.224,213.209.118.255,isp,DE,AS15943 
213.209.119.0,213.209.119.15,business,DE,AS15943 
213.209.119.16,213.209.119.31,isp,DE,AS15943 
213.209.119.32,213.209.119.47,business,DE,AS15943 
213.209.119.48,213.209.119.95,isp,DE,AS15943 
213.209.119.96,213.209.119.135,business,DE,AS15943 
213.209.119.136,213.209.119.159,isp,DE,AS15943 
213.209.119.160,213.209.119.191,education,DE,AS15943 
213.209.119.192,213.209.119.199,business,DE,AS15943 
213.209.119.200,213.209.119.223,isp,DE,AS15943 
213.209.119.224,213.209.119.255,business,DE,AS15943 
213.209.120.0,213.209.120.255,education,DE,AS15943 
213.209.121.0,213.209.122.255,business,DE,AS15943 
213.209.123.0,213.209.127.255,isp,DE,AS15943 
213.209.128.0,213.209.128.255,hosting,DE,AS12886 
213.209.129.0,213.209.129.255,hosting,TR,AS208485 
213.209.130.0,213.209.130.255,hosting,DE,AS212238 
213.209.131.0,213.209.131.255,hosting,CH,AS62240 
213.209.132.0,213.209.132.255,hosting,FI,AS51765 
213.209.133.0,213.209.134.255,hosting,NL,AS62240 
213.209.135.0,213.209.135.255,hosting,DE,AS59729 
213.209.136.0,213.209.136.255,business,DE,AS3320 
213.209.137.0,213.209.137.255,hosting,US,AS62240 
213.209.138.0,213.209.138.255,hosting,DE,AS42821 
213.209.139.0,213.209.139.255,hosting,JP,AS62240 
213.209.140.0,213.209.140.255,isp,DE,AS209372 
213.209.141.0,213.209.141.255,hosting,GB,AS62240 
213.209.142.0,213.209.142.255,hosting,DE,AS12886 
213.209.143.0,213.209.144.255,hosting,DE,AS62240 
213.209.145.0,213.209.145.255,hosting,US,AS64267 
213.209.146.0,213.209.146.255,hosting,DE,AS64267 
213.209.147.0,213.209.147.255,business,GB,AS62240 
213.209.148.0,213.209.148.255,hosting,FI,AS51765 
213.209.149.0,213.209.149.255,business,DE,AS3320 
213.209.150.0,213.209.150.255,business,DE,AS174 
213.209.151.0,213.209.151.255,hosting,SG,AS136744 
213.209.152.0,213.209.152.255,business,SE,AS62240 
213.209.153.0,213.209.155.255,business,US,AS62240 
213.209.156.0,213.209.156.255,business,DE,AS3320 
213.209.157.0,213.209.157.255,hosting,US,AS64267 
213.209.158.0,213.209.158.255,business,US,AS62240 
213.209.159.0,213.209.159.255,business,US,AS43260 
213.209.160.0,213.209.160.143,isp,IT,AS29286 
213.209.160.144,213.209.160.167,isp,HK,AS29286 
213.209.160.168,213.209.162.255,isp,IT,AS29286 
213.209.163.0,213.209.163.255,isp,SS,AS29286 
213.209.164.0,213.209.164.255,isp,IT,AS29286 
213.209.165.0,213.209.165.255,isp,ZM,AS29286 
213.209.166.0,213.209.168.3,isp,IT,AS29286 
213.209.168.4,213.209.168.7,business,LY,AS29286 
213.209.168.8,213.209.168.15,isp,IT,AS29286 
213.209.168.16,213.209.168.19,business,LY,AS29286 
213.209.168.20,213.209.168.255,isp,IT,AS29286 
213.209.169.0,213.209.170.255,isp,IE,AS29286 
213.209.171.0,213.209.171.7,isp,IS,AS29286 
213.209.171.8,213.209.171.15,isp,GB,AS29286 
213.209.171.16,213.209.171.27,isp,FR,AS29286 
213.209.171.28,213.209.171.39,isp,GB,AS29286 
213.209.171.40,213.209.171.43,isp,SE,AS29286 
213.209.171.44,213.209.171.71,isp,IQ,AS29286 
213.209.171.72,213.209.171.79,isp,FR,AS29286 
213.209.171.80,213.209.171.127,business,IT,AS29286 
213.209.171.128,213.209.171.135,isp,FR,AS29286 
213.209.171.136,213.209.171.139,isp,DE,AS29286 
213.209.171.140,213.209.171.143,business,IT,AS29286 
213.209.171.144,213.209.171.147,isp,IT,AS29286 
213.209.171.148,213.209.171.151,business,IT,AS29286 
213.209.171.152,213.209.171.155,isp,FR,AS29286 
213.209.171.156,213.209.171.159,isp,GB,AS29286 
213.209.171.160,213.209.171.175,isp,DE,AS29286 
213.209.171.176,213.209.171.255,business,IT,AS29286 
213.209.172.0,213.209.175.255,isp,FR,AS29286 
213.209.176.0,213.209.176.191,isp,IL,AS7155 
213.209.176.192,213.209.176.223,isp,US,AS7155 
213.209.176.224,213.209.176.255,isp,ES,AS7155 
213.209.177.0,213.209.177.255,isp,FI,AS7155 
213.209.178.0,213.209.178.127,isp,IS,AS7155 
213.209.178.128,213.209.178.255,isp,IT,AS29286 
213.209.179.0,213.209.180.15,isp,SE,AS7155 
213.209.180.16,213.209.180.31,isp,NO,AS7155 
213.209.180.32,213.209.180.63,isp,DK,AS7155 
213.209.180.64,213.209.180.111,isp,IT,AS7155 
213.209.180.112,213.209.180.127,isp,FR,AS7155 
213.209.180.128,213.209.181.63,isp,NL,AS7155 
213.209.181.64,213.209.181.191,isp,US,AS7155 
213.209.181.192,213.209.181.255,isp,ES,AS7155 
213.209.182.0,213.209.182.255,isp,AE,AS7155 
213.209.183.0,213.209.183.127,isp,US,AS7155 
213.209.183.128,213.209.183.135,isp,IT,AS7155 
213.209.183.136,213.209.183.143,isp,IT,AS29286 
213.209.183.144,213.209.183.175,business,GB,AS7155 
213.209.183.176,213.209.183.191,isp,IT,AS29286 
213.209.183.192,213.209.183.223,isp,DE,AS7155 
213.209.183.224,213.209.183.255,isp,GB,AS7155 
213.209.184.0,213.209.191.255,isp,IT,AS7155 
213.209.192.0,213.209.192.159,hosting,IT,AS21309 
213.209.192.160,213.209.192.175,business,IT,AS21309 
213.209.192.176,213.209.192.191,hosting,IT,AS21309 
213.209.192.192,213.209.192.203,business,IT,AS21309 
213.209.192.204,213.209.192.255,hosting,IT,AS21309 
213.209.193.0,213.209.194.35,business,IT,AS21309 
213.209.194.36,213.209.194.127,hosting,IT,AS21309 
213.209.194.128,213.209.196.3,business,IT,AS21309 
213.209.196.4,213.209.196.19,hosting,IT,AS21309 
213.209.196.20,213.209.196.23,business,IT,AS21309 
213.209.196.24,213.209.196.27,hosting,IT,AS21309 
213.209.196.28,213.209.196.47,business,IT,AS21309 
213.209.196.48,213.209.196.71,hosting,IT,AS21309 
213.209.196.72,213.209.196.79,business,IT,AS21309 
213.209.196.80,213.209.196.95,hosting,IT,AS21309 
