213.233.0.0,213.233.8.231,isp,IT,AS5394 
213.233.8.232,213.233.8.239,business,IT,AS5394 
213.233.8.240,213.233.39.151,isp,IT,AS5394 
213.233.39.152,213.233.39.155,business,IT,AS5394 
213.233.39.156,213.233.41.151,isp,IT,AS5394 
213.233.41.152,213.233.41.160,business,IT,AS5394 
213.233.41.161,213.233.63.255,isp,IT,AS5394 
213.233.64.0,213.233.117.47,isp,RO,AS12302 
213.233.117.48,213.233.117.63,business,RO,AS12302 
213.233.117.64,213.233.117.79,isp,RO,AS12302 
213.233.117.80,213.233.117.127,business,RO,AS12302 
213.233.117.128,213.233.117.175,isp,RO,AS12302 
213.233.117.176,213.233.117.207,business,RO,AS12302 
213.233.117.208,213.233.118.79,isp,RO,AS12302 
213.233.118.80,213.233.118.95,business,RO,AS12302 
213.233.118.96,213.233.118.127,isp,RO,AS12302 
213.233.118.128,213.233.118.160,business,RO,AS12302 
213.233.118.161,213.233.118.175,isp,RO,AS12302 
213.233.118.176,213.233.119.31,business,RO,AS12302 
213.233.119.32,213.233.119.143,isp,RO,AS12302 
213.233.119.144,213.233.119.159,education,RO,AS12302 
213.233.119.160,213.233.119.167,isp,RO,AS12302 
213.233.119.168,213.233.119.175,business,RO,AS12302 
213.233.119.176,213.233.119.191,isp,RO,AS12302 
213.233.119.192,213.233.119.207,business,RO,AS12302 
213.233.119.208,213.233.119.223,isp,RO,AS12302 
213.233.119.224,213.233.120.31,business,RO,AS12302 
213.233.120.32,213.233.120.63,isp,RO,AS12302 
213.233.120.64,213.233.120.111,business,RO,AS12302 
213.233.120.112,213.233.120.143,isp,RO,AS12302 
213.233.120.144,213.233.120.191,business,RO,AS12302 
213.233.120.192,213.233.120.223,isp,RO,AS12302 
213.233.120.224,213.233.120.255,business,RO,AS12302 
213.233.121.0,213.233.122.15,isp,RO,AS12302 
213.233.122.16,213.233.122.47,business,RO,AS12302 
213.233.122.48,213.233.122.63,isp,RO,AS12302 
213.233.122.64,213.233.122.143,business,RO,AS12302 
213.233.122.144,213.233.122.151,isp,RO,AS12302 
213.233.122.152,213.233.122.207,business,RO,AS12302 
213.233.122.208,213.233.122.215,isp,RO,AS12302 
213.233.122.216,213.233.122.255,business,RO,AS12302 
213.233.123.0,213.233.123.7,isp,RO,AS12302 
213.233.123.8,213.233.123.47,business,RO,AS12302 
213.233.123.48,213.233.123.79,isp,RO,AS12302 
213.233.123.80,213.233.123.111,business,RO,AS12302 
213.233.123.112,213.233.123.159,isp,RO,AS12302 
213.233.123.160,213.233.123.175,business,RO,AS12302 
213.233.123.176,213.233.123.223,isp,RO,AS12302 
213.233.123.224,213.233.123.239,business,RO,AS12302 
213.233.123.240,213.233.124.127,isp,RO,AS12302 
213.233.124.128,213.233.124.135,business,FR,AS12302 
213.233.124.136,213.233.124.175,isp,RO,AS12302 
213.233.124.176,213.233.124.223,business,RO,AS12302 
213.233.124.224,213.233.125.15,isp,RO,AS12302 
213.233.125.16,213.233.125.23,business,RO,AS12302 
213.233.125.24,213.233.125.63,isp,RO,AS12302 
213.233.125.64,213.233.125.143,business,RO,AS12302 
213.233.125.144,213.233.125.159,isp,RO,AS12302 
213.233.125.160,213.233.125.191,business,RO,AS12302 
213.233.125.192,213.233.125.223,isp,RO,AS12302 
213.233.125.224,213.233.126.31,business,RO,AS12302 
213.233.126.32,213.233.126.127,isp,RO,AS12302 
213.233.126.128,213.233.126.191,business,RO,AS12302 
213.233.126.192,213.233.126.223,isp,RO,AS12302 
213.233.126.224,213.233.127.15,business,RO,AS12302 
213.233.127.16,213.233.127.31,isp,RO,AS12302 
213.233.127.32,213.233.127.87,business,RO,AS12302 
213.233.127.88,213.233.127.95,isp,RO,AS12302 
213.233.127.96,213.233.127.103,business,RO,AS12302 
213.233.127.104,213.233.127.135,isp,RO,AS12302 
213.233.127.136,213.233.127.199,business,RO,AS12302 
213.233.127.200,213.233.127.207,isp,RO,AS12302 
213.233.127.208,213.233.127.223,business,RO,AS12302 
213.233.127.224,213.233.127.239,isp,RO,AS12302 
213.233.127.240,213.233.127.255,business,RO,AS12302 
213.233.128.0,213.233.159.255,isp,IE,AS15502 
213.233.160.0,213.233.191.255,education,IR,AS12660 
213.233.192.0,213.233.255.255,isp,NL,AS12414 
