213.231.0.0,213.231.63.255,isp,UA,AS34661 
213.231.64.0,213.231.78.103,isp,ES,AS6739 
213.231.78.104,213.231.78.107,business,ES,AS6739 
213.231.78.108,213.231.78.119,isp,ES,AS6739 
213.231.78.120,213.231.78.127,business,ES,AS6739 
213.231.78.128,213.231.78.135,isp,ES,AS6739 
213.231.78.136,213.231.78.139,business,ES,AS6739 
213.231.78.140,213.231.78.171,isp,ES,AS6739 
213.231.78.172,213.231.78.175,business,ES,AS6739 
213.231.78.176,213.231.78.191,isp,ES,AS6739 
213.231.78.192,213.231.78.199,business,ES,AS6739 
213.231.78.200,213.231.78.203,isp,ES,AS6739 
213.231.78.204,213.231.78.251,business,ES,AS6739 
213.231.78.252,213.231.127.255,isp,ES,AS6739 
213.231.128.0,213.231.191.255,isp,BG,AS38932 
213.231.192.0,213.231.196.255,hosting,PL,AS15851 
213.231.197.0,213.231.197.255,business,PL,AS210262 
213.231.198.0,213.231.199.255,business,PL,AS15851 
213.231.200.0,213.231.201.255,hosting,PL,AS15851 
213.231.202.0,213.231.203.255,business,PL,AS15851 
213.231.204.0,213.231.255.255,hosting,PL,AS15851 
