213.239.0.0,213.239.3.255,business,NL,AS8918 
213.239.4.0,213.239.43.31,business,IE,AS8918 
213.239.43.32,213.239.43.40,hosting,NL,AS8918 
213.239.43.41,213.239.63.255,business,IE,AS8918 
213.239.64.0,213.239.93.31,isp,NO,AS2116 
213.239.93.32,213.239.93.63,business,NO,AS2116 
213.239.93.64,213.239.127.255,isp,NO,AS2116 
213.239.128.0,213.239.139.255,hosting,NL,AS15703 
213.239.140.0,213.239.140.255,business,NL,AS15703 
213.239.141.0,213.239.146.255,hosting,NL,AS15703 
213.239.147.0,213.239.148.255,business,NL,AS15703 
213.239.149.0,213.239.149.255,hosting,NL,AS15703 
213.239.150.0,213.239.150.127,hosting,GB,AS15703 
213.239.150.128,213.239.150.255,business,GB,AS15703 
213.239.151.0,213.239.151.255,hosting,NL,AS15703 
213.239.152.0,213.239.153.127,business,NL,AS15703 
213.239.153.128,213.239.155.127,hosting,NL,AS15703 
213.239.155.128,213.239.155.255,isp,NL,AS15703 
213.239.156.0,213.239.156.255,hosting,NL,AS15703 
213.239.157.0,213.239.157.255,business,NL,AS15703 
213.239.158.0,213.239.159.255,hosting,NL,AS15703 
213.239.160.0,213.239.162.255,business,NL,AS15703 
213.239.163.0,213.239.164.255,hosting,NL,AS15703 
213.239.165.0,213.239.165.255,business,NL,AS15703 
213.239.166.0,213.239.171.255,hosting,NL,AS15703 
213.239.172.0,213.239.172.255,business,NL,AS15703 
213.239.173.0,213.239.179.255,hosting,NL,AS15703 
213.239.180.0,213.239.180.255,business,GR,AS15703 
213.239.181.0,213.239.181.255,business,NL,AS15703 
213.239.182.0,213.239.184.255,hosting,NL,AS15703 
213.239.185.0,213.239.185.255,business,NL,AS15703 
213.239.186.0,213.239.187.255,hosting,NL,AS15703 
213.239.188.0,213.239.188.255,business,NL,AS15703 
213.239.189.0,213.239.189.255,hosting,GB,AS15703 
213.239.190.0,213.239.191.127,business,NL,AS15703 
213.239.191.128,213.239.191.191,hosting,NL,AS15703 
213.239.191.192,213.239.191.255,business,NL,AS15703 
213.239.192.0,213.239.202.7,hosting,DE,AS24940 
213.239.202.8,213.239.202.11,business,DE,AS24940 
213.239.202.12,213.239.203.239,hosting,DE,AS24940 
213.239.203.240,213.239.203.255,business,DE,AS24940 
213.239.204.0,213.239.208.223,hosting,DE,AS24940 
213.239.208.224,213.239.208.247,business,DE,AS24940 
213.239.208.248,213.239.208.251,hosting,DE,AS24940 
213.239.208.252,213.239.208.255,business,DE,AS24940 
213.239.209.0,213.239.225.47,hosting,DE,AS24940 
213.239.225.48,213.239.225.55,business,DE,AS24940 
213.239.225.56,213.239.225.79,hosting,DE,AS24940 
213.239.225.80,213.239.225.87,business,DE,AS24940 
213.239.225.88,213.239.225.151,hosting,DE,AS24940 
213.239.225.152,213.239.225.159,business,DE,AS24940 
213.239.225.160,213.239.225.175,hosting,DE,AS24940 
213.239.225.176,213.239.225.223,business,DE,AS24940 
213.239.225.224,213.239.226.31,hosting,DE,AS24940 
213.239.226.32,213.239.226.63,business,DE,AS24940 
213.239.226.64,213.239.226.159,hosting,DE,AS24940 
213.239.226.160,213.239.226.191,business,DE,AS24940 
213.239.226.192,213.239.230.79,hosting,DE,AS24940 
213.239.230.80,213.239.230.87,business,DE,AS24940 
213.239.230.88,213.239.230.111,hosting,DE,AS24940 
213.239.230.112,213.239.230.127,business,DE,AS24940 
