213.197.0.0,213.197.63.255,isp,NL,AS1136 
213.197.64.0,213.197.67.255,business,HU,AS47159 
213.197.68.0,213.197.71.255,hosting,HU,AS12301 
213.197.72.0,213.197.95.255,isp,HU,AS20845 
213.197.96.0,213.197.127.255,business,HU, 
213.197.128.0,213.197.128.255,hosting,LT,AS15440 
213.197.129.0,213.197.129.255,business,LT,AS15440 
213.197.130.0,213.197.134.115,hosting,LT,AS15440 
213.197.134.116,213.197.134.119,isp,LT,AS15440 
213.197.134.120,213.197.134.255,hosting,LT,AS15440 
213.197.135.0,213.197.135.255,business,LT,AS15440 
213.197.136.0,213.197.139.95,hosting,LT,AS15440 
213.197.139.96,213.197.139.111,isp,LT,AS15440 
213.197.139.112,213.197.143.255,hosting,LT,AS15440 
213.197.144.0,213.197.144.31,business,LT,AS15440 
213.197.144.32,213.197.144.47,hosting,LT,AS15440 
213.197.144.48,213.197.144.63,business,LT,AS15440 
213.197.144.64,213.197.144.127,hosting,LT,AS15440 
213.197.144.128,213.197.144.143,business,LT,AS15440 
213.197.144.144,213.197.144.159,hosting,LT,AS15440 
213.197.144.160,213.197.144.175,business,LT,AS15440 
213.197.144.176,213.197.145.255,hosting,LT,AS15440 
213.197.146.0,213.197.146.127,business,LT,AS15440 
213.197.146.128,213.197.147.63,hosting,LT,AS15440 
213.197.147.64,213.197.147.95,business,LT,AS15440 
213.197.147.96,213.197.148.115,hosting,LT,AS15440 
213.197.148.116,213.197.148.119,business,LT,AS15440 
213.197.148.120,213.197.148.167,hosting,LT,AS15440 
213.197.148.168,213.197.148.175,business,LT,AS15440 
213.197.148.176,213.197.148.195,hosting,LT,AS15440 
213.197.148.196,213.197.148.199,business,LT,AS15440 
213.197.148.200,213.197.148.207,hosting,LT,AS15440 
213.197.148.208,213.197.148.211,business,LT,AS15440 
213.197.148.212,213.197.148.223,hosting,LT,AS15440 
213.197.148.224,213.197.148.227,business,LT,AS15440 
213.197.148.228,213.197.149.255,hosting,LT,AS15440 
213.197.150.0,213.197.150.255,business,LT,AS15440 
213.197.151.0,213.197.151.151,hosting,LT,AS15440 
213.197.151.152,213.197.151.155,isp,LT,AS15440 
213.197.151.156,213.197.153.3,hosting,LT,AS15440 
213.197.153.4,213.197.153.7,business,LT,AS15440 
213.197.153.8,213.197.153.79,hosting,LT,AS15440 
213.197.153.80,213.197.153.87,business,LT,AS15440 
213.197.153.88,213.197.153.127,hosting,LT,AS15440 
213.197.153.128,213.197.153.131,business,LT,AS15440 
213.197.153.132,213.197.153.203,hosting,LT,AS15440 
213.197.153.204,213.197.153.207,business,LT,AS15440 
213.197.153.208,213.197.153.215,hosting,LT,AS15440 
213.197.153.216,213.197.153.219,business,LT,AS15440 
213.197.153.220,213.197.155.15,hosting,LT,AS15440 
213.197.155.16,213.197.155.31,business,LT,AS15440 
213.197.155.32,213.197.155.251,hosting,LT,AS15440 
213.197.155.252,213.197.155.255,business,LT,AS15440 
213.197.156.0,213.197.156.119,hosting,LT,AS15440 
213.197.156.120,213.197.156.123,business,LT,AS15440 
213.197.156.124,213.197.156.143,hosting,LT,AS15440 
213.197.156.144,213.197.156.147,business,LT,AS15440 
213.197.156.148,213.197.156.183,hosting,LT,AS15440 
213.197.156.184,213.197.156.191,business,LT,AS15440 
213.197.156.192,213.197.156.239,hosting,LT,AS15440 
213.197.156.240,213.197.157.15,business,LT,AS15440 
213.197.157.16,213.197.157.51,hosting,LT,AS15440 
213.197.157.52,213.197.157.63,business,LT,AS15440 
213.197.157.64,213.197.157.175,hosting,LT,AS15440 
213.197.157.176,213.197.157.183,business,LT,AS15440 
213.197.157.184,213.197.157.255,hosting,LT,AS15440 
213.197.158.0,213.197.158.63,business,LT,AS15440 
213.197.158.64,213.197.160.95,hosting,LT,AS15440 
213.197.160.96,213.197.160.103,business,LT,AS15440 
213.197.160.104,213.197.161.223,hosting,LT,AS15440 
213.197.161.224,213.197.161.255,business,LT,AS15440 
213.197.162.0,213.197.164.255,hosting,LT,AS15440 
213.197.165.0,213.197.165.127,isp,LT,AS15440 
213.197.165.128,213.197.191.255,hosting,LT,AS15440 
213.197.192.0,213.197.192.63,business,NL,AS15879 
213.197.192.64,213.197.192.239,isp,NL,AS15879 
213.197.192.240,213.197.192.255,business,NL,AS15879 
213.197.193.0,213.197.193.255,isp,NL,AS15879 
213.197.194.0,213.197.194.3,business,NL,AS15879 
213.197.194.4,213.197.194.23,isp,NL,AS15879 
213.197.194.24,213.197.194.27,business,NL,AS15879 
213.197.194.28,213.197.194.35,isp,NL,AS15879 
213.197.194.36,213.197.194.39,business,NL,AS15879 
213.197.194.40,213.197.194.71,isp,NL,AS15879 
213.197.194.72,213.197.194.79,business,NL,AS15879 
213.197.194.80,213.197.194.95,isp,NL,AS15879 
213.197.194.96,213.197.194.99,business,NL,AS15879 
213.197.194.100,213.197.194.103,isp,NL,AS15879 
213.197.194.104,213.197.194.107,business,NL,AS15879 
213.197.194.108,213.197.194.111,isp,NL,AS15879 
213.197.194.112,213.197.194.115,business,NL,AS15879 
213.197.194.116,213.197.194.123,isp,NL,AS15879 
213.197.194.124,213.197.194.127,business,NL,AS15879 
213.197.194.128,213.197.194.135,isp,NL,AS15879 
213.197.194.136,213.197.194.147,business,NL,AS15879 
213.197.194.148,213.197.194.151,isp,NL,AS15879 
213.197.194.152,213.197.194.155,business,NL,AS15879 
213.197.194.156,213.197.194.159,isp,NL,AS15879 
213.197.194.160,213.197.194.175,business,NL,AS15879 
213.197.194.176,213.197.194.179,isp,NL,AS15879 
213.197.194.180,213.197.194.199,business,NL,AS15879 
213.197.194.200,213.197.194.207,isp,NL,AS15879 
213.197.194.208,213.197.194.211,business,NL,AS15879 
213.197.194.212,213.197.194.227,isp,NL,AS15879 
213.197.194.228,213.197.194.235,business,NL,AS15879 
213.197.194.236,213.197.194.243,isp,NL,AS15879 
213.197.194.244,213.197.194.247,business,NL,AS15879 
213.197.194.248,213.197.195.15,isp,NL,AS15879 
213.197.195.16,213.197.195.23,business,NL,AS15879 
213.197.195.24,213.197.195.27,isp,NL,AS15879 
213.197.195.28,213.197.195.31,business,NL,AS15879 
213.197.195.32,213.197.195.51,isp,NL,AS15879 
213.197.195.52,213.197.195.55,business,NL,AS15879 
213.197.195.56,213.197.195.163,isp,NL,AS15879 
213.197.195.164,213.197.195.167,business,NL,AS15879 
213.197.195.168,213.197.195.171,isp,NL,AS15879 
213.197.195.172,213.197.195.179,business,NL,AS15879 
213.197.195.180,213.197.195.191,isp,NL,AS15879 
213.197.195.192,213.197.195.195,business,NL,AS15879 
213.197.195.196,213.197.195.203,isp,NL,AS15879 
213.197.195.204,213.197.195.207,business,NL,AS15879 
213.197.195.208,213.197.196.23,isp,NL,AS15879 
213.197.196.24,213.197.196.27,business,NL,AS15879 
213.197.196.28,213.197.196.67,isp,NL,AS15879 
213.197.196.68,213.197.196.71,business,NL,AS15879 
213.197.196.72,213.197.196.75,isp,NL,AS15879 
213.197.196.76,213.197.196.79,business,NL,AS15879 
213.197.196.80,213.197.196.83,isp,NL,AS15879 
213.197.196.84,213.197.196.87,business,NL,AS15879 
213.197.196.88,213.197.196.91,isp,NL,AS15879 
213.197.196.92,213.197.196.95,business,NL,AS15879 
213.197.196.96,213.197.196.99,isp,NL,AS15879 
213.197.196.100,213.197.196.103,business,NL,AS15879 
213.197.196.104,213.197.196.107,isp,NL,AS15879 
213.197.196.108,213.197.196.111,business,NL,AS15879 
213.197.196.112,213.197.196.119,isp,NL,AS15879 
213.197.196.120,213.197.196.131,business,NL,AS15879 
213.197.196.132,213.197.196.163,isp,NL,AS15879 
213.197.196.164,213.197.196.167,business,NL,AS15879 
213.197.196.168,213.197.196.183,isp,NL,AS15879 
213.197.196.184,213.197.196.187,business,NL,AS15879 
213.197.196.188,213.197.196.219,isp,NL,AS15879 
213.197.196.220,213.197.196.227,business,NL,AS15879 
213.197.196.228,213.197.196.243,isp,NL,AS15879 
213.197.196.244,213.197.196.251,business,NL,AS15879 
