213.122.64.0,213.122.67.255,business,GB,AS2856 
213.122.68.0,213.122.143.255,isp,GB,AS2856 
213.122.144.0,213.122.151.255,business,GB,AS2856 
213.122.152.0,213.122.155.255,isp,GB,AS2856 
213.122.156.0,213.122.159.255,business,GB,AS2856 
213.122.160.0,213.122.160.95,isp,GB,AS2856 
213.122.160.96,213.122.160.135,business,GB,AS2856 
213.122.160.136,213.122.160.151,isp,GB,AS2856 
213.122.160.152,213.122.160.159,business,GB,AS2856 
213.122.160.160,213.122.160.215,isp,GB,AS2856 
213.122.160.216,213.122.160.223,business,GB,AS2856 
213.122.160.224,213.122.162.255,isp,GB,AS2856 
213.122.163.0,213.122.163.7,business,GB,AS2856 
213.122.163.8,213.122.163.39,isp,GB,AS2856 
213.122.163.40,213.122.163.47,business,GB,AS2856 
213.122.163.48,213.122.163.95,isp,GB,AS2856 
213.122.163.96,213.122.163.103,business,GB,AS2856 
213.122.163.104,213.122.163.119,isp,GB,AS2856 
213.122.163.120,213.122.163.127,business,GB,AS2856 
213.122.163.128,213.122.163.143,isp,GB,AS2856 
213.122.163.144,213.122.163.151,business,GB,AS2856 
213.122.163.152,213.122.163.175,isp,GB,AS2856 
213.122.163.176,213.122.163.207,business,GB,AS2856 
213.122.163.208,213.122.163.255,isp,GB,AS2856 
213.122.164.0,213.122.164.15,business,GB,AS2856 
213.122.164.16,213.122.164.31,isp,GB,AS2856 
213.122.164.32,213.122.164.47,business,GB,AS2856 
213.122.164.48,213.122.164.167,isp,GB,AS2856 
213.122.164.168,213.122.164.175,business,GB,AS2856 
213.122.164.176,213.122.164.207,isp,GB,AS2856 
213.122.164.208,213.122.164.223,business,GB,AS2856 
213.122.164.224,213.122.165.15,isp,GB,AS2856 
213.122.165.16,213.122.165.31,education,GB,AS2856 
213.122.165.32,213.122.165.79,isp,GB,AS2856 
213.122.165.80,213.122.165.127,business,GB,AS2856 
213.122.165.128,213.122.166.79,isp,GB,AS2856 
213.122.166.80,213.122.166.87,business,GB,AS2856 
213.122.166.88,213.122.166.127,isp,GB,AS2856 
213.122.166.128,213.122.166.143,business,GB,AS2856 
213.122.166.144,213.122.166.159,isp,GB,AS2856 
213.122.166.160,213.122.166.207,business,GB,AS2856 
213.122.166.208,213.122.166.255,isp,GB,AS2856 
213.122.167.0,213.122.167.63,business,GB,AS2856 
213.122.167.64,213.122.167.111,isp,GB,AS2856 
213.122.167.112,213.122.167.127,business,GB,AS2856 
213.122.167.128,213.122.167.159,isp,GB,AS2856 
213.122.167.160,213.122.167.223,business,GB,AS2856 
213.122.167.224,213.122.168.39,isp,GB,AS2856 
213.122.168.40,213.122.168.55,business,GB,AS2856 
213.122.168.56,213.122.168.127,isp,GB,AS2856 
213.122.168.128,213.122.168.135,business,GB,AS2856 
213.122.168.136,213.122.168.215,isp,GB,AS2856 
213.122.168.216,213.122.168.223,business,GB,AS2856 
213.122.168.224,213.122.168.231,isp,GB,AS2856 
213.122.168.232,213.122.168.239,business,GB,AS2856 
213.122.168.240,213.122.170.31,isp,GB,AS2856 
213.122.170.32,213.122.170.47,business,GB,AS2856 
213.122.170.48,213.122.170.111,isp,GB,AS2856 
213.122.170.112,213.122.170.127,business,GB,AS2856 
213.122.170.128,213.122.170.159,isp,GB,AS2856 
213.122.170.160,213.122.170.175,business,GB,AS2856 
213.122.170.176,213.122.170.191,isp,GB,AS2856 
213.122.170.192,213.122.170.223,business,GB,AS2856 
213.122.170.224,213.122.170.231,isp,GB,AS2856 
213.122.170.232,213.122.170.239,business,GB,AS2856 
213.122.170.240,213.122.170.247,isp,GB,AS2856 
213.122.170.248,213.122.170.255,business,GB,AS2856 
213.122.171.0,213.122.171.31,isp,GB,AS2856 
213.122.171.32,213.122.171.47,business,GB,AS2856 
213.122.171.48,213.122.171.111,isp,GB,AS2856 
213.122.171.112,213.122.171.119,business,GB,AS2856 
213.122.171.120,213.122.171.127,isp,GB,AS2856 
213.122.171.128,213.122.171.159,business,GB,AS2856 
213.122.171.160,213.122.171.175,isp,GB,AS2856 
213.122.171.176,213.122.171.183,business,GB,AS2856 
213.122.171.184,213.122.171.215,isp,GB,AS2856 
213.122.171.216,213.122.171.223,business,GB,AS2856 
213.122.171.224,213.122.171.247,isp,GB,AS2856 
213.122.171.248,213.122.171.255,business,GB,AS2856 
213.122.172.0,213.122.172.55,isp,GB,AS2856 
213.122.172.56,213.122.172.63,business,GB,AS2856 
213.122.172.64,213.122.172.223,isp,GB,AS2856 
213.122.172.224,213.122.172.231,business,GB,AS2856 
213.122.172.232,213.122.173.255,isp,GB,AS2856 
213.122.174.0,213.122.174.23,business,GB,AS2856 
213.122.174.24,213.122.174.39,isp,GB,AS2856 
