213.169.0.0,213.169.31.255,isp,FI,AS719 
213.169.32.0,213.169.33.191,isp,BG,AS8717 
213.169.33.192,213.169.33.207,business,BG,AS8717 
213.169.33.208,213.169.34.127,isp,BG,AS8717 
213.169.34.128,213.169.34.175,business,BG,AS8717 
213.169.34.176,213.169.34.223,isp,BG,AS8717 
213.169.34.224,213.169.34.239,business,BG,AS8717 
213.169.34.240,213.169.35.255,isp,BG,AS8717 
213.169.36.0,213.169.36.255,isp,BG,AS206511 
213.169.37.0,213.169.37.255,business,BG,AS205526 
213.169.38.0,213.169.45.255,isp,BG,AS8717 
213.169.46.0,213.169.46.255,isp,BG,AS29580 
213.169.47.0,213.169.49.255,isp,BG,AS8717 
213.169.50.0,213.169.50.31,business,BG,AS8717 
213.169.50.32,213.169.50.127,isp,BG,AS8717 
213.169.50.128,213.169.50.191,business,BG,AS8717 
213.169.50.192,213.169.51.255,isp,BG,AS8717 
213.169.52.0,213.169.53.255,isp,BG,AS42086 
213.169.54.0,213.169.54.255,isp,BG,AS8717 
213.169.55.0,213.169.55.255,business,BG,AS8717 
213.169.56.0,213.169.57.255,isp,BG,AS8717 
213.169.58.0,213.169.58.255,business,BG,AS200422 
213.169.59.0,213.169.59.31,business,BG,AS8717 
213.169.59.32,213.169.61.255,isp,BG,AS8717 
213.169.62.0,213.169.63.255,isp,BG,AS29580 
213.169.64.0,213.169.79.255,isp,UA,AS13121 
213.169.80.0,213.169.80.255,hosting,UA,AS13121 
213.169.81.0,213.169.82.255,isp,UA,AS13121 
213.169.83.0,213.169.84.255,hosting,UA,AS13121 
213.169.85.0,213.169.95.255,business,UA,AS13121 
213.169.96.0,213.169.103.127,isp,LU,AS12684 
213.169.103.128,213.169.103.255,isp,DE,AS12684 
213.169.104.0,213.169.110.127,isp,LU,AS12684 
213.169.110.128,213.169.110.135,isp,GB,AS12684 
213.169.110.136,213.169.119.255,isp,LU,AS12684 
213.169.120.0,213.169.120.255,business,LU,AS12684 
213.169.121.0,213.169.122.255,isp,LU,AS12684 
213.169.123.0,213.169.123.255,isp,SO,AS12684 
213.169.124.0,213.169.127.255,isp,LU,AS12684 
213.169.128.0,213.169.147.255,hosting,CY,AS5504 
