213.185.0.0,213.185.31.255,isp,SE 
213.185.32.0,213.185.63.255,hosting,FI 
213.185.64.0,213.185.64.0,business,DE 
213.185.64.1,213.185.64.254,isp,DE 
213.185.64.255,213.185.77.255,business,DE 
213.185.78.0,213.185.85.255,isp,DE 
213.185.86.0,213.185.95.255,hosting,US 
213.185.96.0,213.185.97.255,isp,GB 
213.185.98.0,213.185.98.255,isp,ES 
213.185.99.0,213.185.99.255,isp,GB 
213.185.100.0,213.185.100.31,business,NO 
213.185.100.32,213.185.100.63,isp,LR 
213.185.100.64,213.185.101.255,isp,GB 
213.185.102.0,213.185.102.255,business,NO 
213.185.103.0,213.185.105.255,isp,GB 
213.185.106.0,213.185.106.255,isp,US 
213.185.107.0,213.185.107.255,isp,GB 
213.185.108.0,213.185.108.255,business,GB 
213.185.109.0,213.185.110.255,isp,GB 
213.185.111.0,213.185.111.127,business,US 
213.185.111.128,213.185.112.255,isp,GB 
213.185.113.0,213.185.113.63,business,US 
213.185.113.64,213.185.113.135,isp,GB 
213.185.113.136,213.185.113.143,business,US 
213.185.113.144,213.185.113.159,business,ZA 
213.185.113.160,213.185.113.239,isp,GB 
213.185.113.240,213.185.113.247,business,AU 
213.185.113.248,213.185.113.255,business,ZA 
213.185.114.0,213.185.114.255,business,NG 
213.185.115.0,213.185.116.255,isp,GB 
213.185.117.0,213.185.117.255,business,US 
213.185.118.0,213.185.118.63,business,MW 
213.185.118.64,213.185.118.191,isp,GB 
213.185.118.192,213.185.118.255,business,NG 
213.185.119.0,213.185.123.255,isp,GB 
213.185.124.0,213.185.124.255,isp,US 
213.185.125.0,213.185.127.7,isp,GB 
213.185.127.8,213.185.127.15,isp,YE 
213.185.127.16,213.185.127.255,isp,GB 
213.185.128.0,213.185.129.255,isp,DE 
213.185.130.0,213.185.130.15,business,DE 
213.185.130.16,213.185.130.37,isp,DE 
213.185.130.38,213.185.130.38,business,DE 
213.185.130.39,213.185.130.43,isp,DE 
213.185.130.44,213.185.130.44,business,DE 
213.185.130.45,213.185.130.46,isp,DE 
213.185.130.47,213.185.130.47,business,DE 
213.185.130.48,213.185.130.87,isp,DE 
213.185.130.88,213.185.130.95,business,DE 
213.185.130.96,213.185.130.103,isp,DE 
213.185.130.104,213.185.130.127,business,DE 
213.185.130.128,213.185.130.131,isp,DE 
213.185.130.132,213.185.130.139,business,DE 
213.185.130.140,213.185.130.143,isp,DE 
213.185.130.144,213.185.130.147,business,DE 
