192.203.0.0,192.203.0.255,isp,PR,AS63393 
192.203.1.0,192.203.5.255,government,US,AS749 
192.203.6.0,192.203.11.255,business,US, 
192.203.12.0,192.203.36.255,hosting,US,AS19255 
192.203.37.0,192.203.37.255,isp,TC,AS394311 
192.203.40.0,192.203.40.255,education,US,AS54004 
192.203.41.0,192.203.41.255,business,US,AS29721 
192.203.42.0,192.203.47.255,business,US, 
192.203.48.0,192.203.51.255,business,US,AS701 
192.203.52.0,192.203.52.191,isp,US,AS701 
192.203.52.192,192.203.55.255,business,US,AS701 
192.203.56.0,192.203.60.95,isp,US,AS701 
192.203.60.96,192.203.60.127,business,US,AS701 
192.203.60.128,192.203.60.223,isp,US,AS701 
192.203.60.224,192.203.62.31,business,US,AS701 
192.203.62.32,192.203.62.255,isp,US,AS701 
192.203.63.0,192.203.63.63,business,US,AS701 
192.203.63.64,192.203.63.135,isp,US,AS701 
192.203.63.136,192.203.63.143,business,US,AS701 
192.203.63.144,192.203.63.255,isp,US,AS701 
192.203.64.0,192.203.64.255,business,US, 
192.203.65.0,192.203.65.255,isp,US,AS701 
192.203.66.0,192.203.67.255,business,US, 
192.203.68.0,192.203.69.255,isp,US,AS701 
192.203.70.0,192.203.73.255,business,US, 
192.203.74.0,192.203.75.255,isp,US,AS701 
192.203.76.0,192.203.76.15,business,US, 
192.203.76.16,192.203.76.63,isp,US,AS701 
192.203.76.64,192.203.76.127,business,US, 
192.203.76.128,192.203.76.255,isp,US,AS701 
192.203.77.0,192.203.79.255,business,US, 
192.203.80.0,192.203.80.255,education,RU,AS58255 
192.203.96.0,192.203.96.255,business,US,AS62 
192.203.97.0,192.203.97.255,education,US,AS31967 
192.203.98.0,192.203.98.255,hosting,US,AS22890 
192.203.99.0,192.203.99.255,business,NZ, 
192.203.100.0,192.203.100.21,hosting,US,AS25843 
192.203.100.22,192.203.100.23,business,US,AS25843 
192.203.100.24,192.203.100.27,hosting,US,AS25843 
192.203.100.28,192.203.100.29,business,US,AS25843 
192.203.100.30,192.203.100.31,hosting,US,AS25843 
