192.148.0.0,192.148.32.255,business,US 
192.148.33.0,192.148.92.255,business,SE 
192.148.93.0,192.148.102.255,education,US 
192.148.103.0,192.148.103.255,business,PT 
192.148.104.0,192.148.104.255,business,US 
192.148.105.0,192.148.105.255,hosting,US 
192.148.106.0,192.148.110.255,business,US 
192.148.111.0,192.148.111.255,business,CA 
192.148.112.0,192.148.112.23,isp,CA 
192.148.112.24,192.148.112.27,business,CA 
192.148.112.28,192.148.112.35,isp,CA 
192.148.112.36,192.148.112.39,business,CA 
192.148.112.40,192.148.112.127,isp,CA 
192.148.112.128,192.148.112.135,business,CA 
192.148.112.136,192.148.114.7,isp,CA 
192.148.114.8,192.148.114.11,business,CA 
192.148.114.12,192.148.114.99,isp,CA 
192.148.114.100,192.148.114.103,business,CA 
192.148.114.104,192.148.114.167,isp,CA 
192.148.114.168,192.148.114.175,business,CA 
192.148.114.176,192.148.115.255,isp,CA 
192.148.116.0,192.148.165.255,isp,AU 
192.148.166.0,192.148.166.255,education,RU 
192.148.167.0,192.148.167.255,hosting,ES 
192.148.168.0,192.148.174.255,business,US 
192.148.175.0,192.148.175.255,business,MX 
192.148.176.0,192.148.176.255,business,US 
192.148.177.0,192.148.186.255,business,GB 
192.148.187.0,192.148.191.255,business,US 
192.148.192.0,192.148.192.255,business,NL 
192.148.193.0,192.148.193.255,business,IT 
192.148.194.0,192.148.194.255,business,GB 
192.148.195.0,192.148.195.255,government,US 
192.148.196.0,192.148.197.255,business,US 
192.148.198.0,192.148.199.255,business,GB 
192.148.200.0,192.148.200.255,education,NL 
192.148.201.0,192.148.207.255,hosting,ES 
192.148.208.0,192.148.208.255,business, 
192.148.209.0,192.148.209.131,hosting,ES 
192.148.209.132,192.148.209.223,business,ES 
192.148.209.224,192.148.209.255,hosting,ES 
192.148.210.0,192.148.215.255,business,ES 
192.148.216.0,192.148.216.255,business,GB 
192.148.217.0,192.148.217.255,business,CA 
192.148.218.0,192.148.218.255,education,US 
192.148.219.0,192.148.219.255,isp,US 
192.148.220.0,192.148.220.255,education,IT 
192.148.221.0,192.148.221.255,business,NZ 
192.148.222.0,192.148.222.255,education,US 
192.148.223.0,192.148.230.255,education,AU 
192.148.231.0,192.148.233.255,business,US 
192.148.234.0,192.148.251.255,education,US 
192.148.252.0,192.149.1.255,business,US 
