192.116.0.0,192.116.1.255,education,PS,AS15975 
192.116.2.0,192.116.2.255,isp,IL,AS15975 
192.116.3.0,192.116.3.255,education,IL,AS15975 
192.116.4.0,192.116.5.255,education,IL,AS12975 
192.116.6.0,192.116.7.255,education,PS,AS15975 
192.116.8.0,192.116.9.255,education,IL,AS15975 
192.116.10.0,192.116.11.255,education,PS,AS15975 
192.116.12.0,192.116.23.255,isp,PS,AS15975 
192.116.24.0,192.116.31.255,hosting,IL,AS8203 
192.116.32.0,192.116.43.255,isp,IL,AS1680 
192.116.44.0,192.116.44.63,business,IL,AS1680 
192.116.44.64,192.116.44.255,isp,IL,AS1680 
192.116.45.0,192.116.45.255,business,IL,AS1680 
192.116.46.0,192.116.47.255,isp,IL,AS1680 
192.116.48.0,192.116.55.255,business,IL,AS1680 
192.116.56.0,192.116.60.255,isp,IL,AS1680 
192.116.61.0,192.116.63.255,business,IL,AS1680 
192.116.64.0,192.116.72.255,isp,IL,AS12400 
192.116.73.0,192.116.73.255,isp,GB,AS12400 
192.116.74.0,192.116.84.255,isp,IL,AS12400 
192.116.85.0,192.116.85.255,isp,GB,AS12400 
192.116.86.0,192.116.87.255,isp,IL,AS12400 
192.116.88.0,192.116.88.255,isp,GB,AS12400 
192.116.89.0,192.116.94.207,isp,IL,AS12400 
192.116.94.208,192.116.94.223,business,IL,AS12400 
192.116.94.224,192.116.118.255,isp,IL,AS12400 
192.116.119.0,192.116.119.255,isp,GB,AS12400 
192.116.120.0,192.116.142.255,isp,IL,AS12400 
192.116.143.0,192.116.143.255,isp,GB,AS12400 
192.116.144.0,192.116.193.191,isp,IL,AS12400 
192.116.193.192,192.116.193.207,business,IL,AS12400 
192.116.193.208,192.116.194.39,isp,IL,AS12400 
192.116.194.40,192.116.194.47,business,IL,AS12400 
192.116.194.48,192.116.194.55,isp,IL,AS12400 
192.116.194.56,192.116.194.63,business,IL,AS12400 
192.116.194.64,192.116.194.87,isp,IL,AS12400 
192.116.194.88,192.116.194.91,business,IL,AS12400 
192.116.194.92,192.116.194.103,isp,IL,AS12400 
192.116.194.104,192.116.194.111,business,IL,AS12400 
192.116.194.112,192.116.194.151,isp,IL,AS12400 
192.116.194.152,192.116.194.159,business,IL,AS12400 
192.116.194.160,192.116.194.231,isp,IL,AS12400 
192.116.194.232,192.116.194.239,business,IL,AS12400 
192.116.194.240,192.116.195.255,isp,IL,AS12400 
192.116.196.0,192.116.196.255,business,IL,AS12400 
192.116.197.0,192.116.197.255,isp,IL,AS12400 
192.116.198.0,192.116.198.23,business,IL,AS12400 
192.116.198.24,192.116.198.95,isp,IL,AS12400 
192.116.198.96,192.116.198.111,business,IL,AS12400 
192.116.198.112,192.116.198.127,isp,IL,AS12400 
192.116.198.128,192.116.198.255,education,IL,AS12400 
192.116.199.0,192.116.199.19,isp,IL,AS12400 
192.116.199.20,192.116.199.23,business,IL,AS12400 
192.116.199.24,192.116.199.55,isp,IL,AS12400 
192.116.199.56,192.116.199.59,business,IL,AS12400 
192.116.199.60,192.116.199.63,isp,IL,AS12400 
192.116.199.64,192.116.199.71,business,IL,AS12400 
192.116.199.72,192.116.199.107,isp,IL,AS12400 
192.116.199.108,192.116.199.111,business,IL,AS12400 
192.116.199.112,192.116.199.151,isp,IL,AS12400 
192.116.199.152,192.116.199.191,business,IL,AS12400 
192.116.199.192,192.116.200.39,isp,IL,AS12400 
192.116.200.40,192.116.200.47,business,IL,AS12400 
192.116.200.48,192.116.201.255,isp,IL,AS12400 
192.116.202.0,192.116.203.127,business,IL,AS12400 
192.116.203.128,192.116.205.191,isp,IL,AS12400 
