192.252.0.0,192.252.7.255,business,US,AS21521 
192.252.8.0,192.252.15.255,government,US,AS393661 
192.252.16.0,192.252.63.255,business,US, 
192.252.64.0,192.252.127.255,business,US,AS3465 
192.252.128.0,192.252.128.159,hosting,CA,AS22652 
192.252.128.160,192.252.128.175,business,CA,AS22652 
192.252.128.176,192.252.131.255,hosting,CA,AS22652 
192.252.132.0,192.252.132.255,hosting,CA,AS1824 
192.252.133.0,192.252.133.191,hosting,CA,AS22652 
192.252.133.192,192.252.133.255,business,CA,AS22652 
192.252.134.0,192.252.143.255,hosting,CA,AS22652 
192.252.144.0,192.252.159.255,hosting,US,AS8739 
192.252.160.0,192.252.175.255,isp,CA,AS36493 
192.252.176.0,192.252.191.255,hosting,US,AS152194 
192.252.192.0,192.252.207.255,isp,US,AS13490 
192.252.208.0,192.252.212.255,hosting,US,AS46562 
192.252.213.0,192.252.213.255,business,CA,AS46562 
192.252.214.0,192.252.219.255,hosting,US,AS46562 
192.252.220.0,192.252.220.255,business,US,AS46562 
192.252.221.0,192.252.221.255,hosting,US,AS46562 
192.252.222.0,192.252.222.255,business,US,AS46562 
192.252.223.0,192.252.223.255,hosting,US,AS46562 
192.252.224.0,192.252.239.255,isp,CA,AS5645 
192.252.240.0,192.252.255.255,business,US, 
