192.120.0.0,192.120.0.255,isp,CA 
192.120.1.0,192.120.3.255,business,US 
192.120.4.0,192.120.4.255,education,US 
192.120.5.0,192.120.7.255,business,US 
192.120.8.0,192.120.8.255,hosting,US 
192.120.9.0,192.120.10.255,business,AU 
192.120.11.0,192.120.11.255,hosting,AU 
192.120.12.0,192.120.13.255,business,AU 
192.120.14.0,192.120.14.255,hosting,AU 
192.120.15.0,192.120.15.255,business,AU 
192.120.16.0,192.120.39.255,hosting,US 
192.120.40.0,192.120.58.255,business,US 
192.120.59.0,192.120.59.255,business,ES 
192.120.60.0,192.120.90.255,business,US 
192.120.91.0,192.120.91.255,education,US 
192.120.92.0,192.120.106.255,business,US 
192.120.107.0,192.120.107.255,education,US 
192.120.108.0,192.120.119.255,business,US 
192.120.120.0,192.120.120.255,business,SE 
192.120.121.0,192.120.240.255,business,US 
192.120.241.0,192.120.241.255,business,SE 
192.120.242.0,192.120.243.255,business,US 
192.120.244.0,192.120.245.255,business,DE 
192.120.246.0,192.120.251.255,education,US 
192.120.252.0,192.120.255.255,business,US 
