192.122.0.0,192.122.0.255,business,US,AS393825 
192.122.1.0,192.122.1.255,isp,FR, 
192.122.2.0,192.122.11.255,business,GB, 
192.122.12.0,192.122.13.255,isp,GB, 
192.122.14.0,192.122.95.255,business,GB, 
192.122.96.0,192.122.100.255,business,US, 
192.122.101.0,192.122.116.255,business,GB, 
192.122.117.0,192.122.117.255,business,US, 
192.122.118.0,192.122.130.255,business,GB, 
192.122.131.0,192.122.140.255,education,SG,AS23767 
192.122.141.0,192.122.146.255,business,GB, 
192.122.147.0,192.122.148.255,business,US, 
192.122.149.0,192.122.149.255,business,US,AS32746 
192.122.150.0,192.122.150.255,business,US,AS393849 
192.122.151.0,192.122.170.255,business,GB, 
192.122.171.0,192.122.171.255,government,NZ,AS38079 
192.122.172.0,192.122.174.255,business,US, 
192.122.175.0,192.122.175.255,education,US,AS40220 
192.122.176.0,192.122.176.255,education,AU, 
192.122.177.0,192.122.177.255,education,US, 
192.122.178.0,192.122.178.255,business,US,AS395591 
192.122.179.0,192.122.179.255,business,US, 
192.122.180.0,192.122.180.255,business,NZ,AS4768 
192.122.181.0,192.122.191.255,education,US,AS237 
192.122.192.0,192.122.199.255,business,US, 
192.122.200.0,192.122.200.255,education,US,AS237 
192.122.201.0,192.122.201.255,isp,US,AS22180 
192.122.202.0,192.122.203.255,business,US,AS27001 
192.122.204.0,192.122.205.255,business,US,AS12168 
192.122.206.0,192.122.206.255,isp,CA,AS33044 
192.122.207.0,192.122.207.255,isp,US, 
192.122.208.0,192.122.208.255,business,US, 
192.122.209.0,192.122.209.255,hosting,US,AS393507 
192.122.211.0,192.122.211.255,business,US, 
192.122.212.0,192.122.212.255,isp,US,AS397672 
192.122.213.0,192.122.213.255,business,US, 
192.122.214.0,192.122.214.255,education,GB, 
192.122.215.0,192.122.215.255,business,US,AS36191 
192.122.216.0,192.122.216.255,business,IE, 
192.122.217.0,192.122.231.255,isp,GB,AS49182 
192.122.232.0,192.122.232.255,isp,GB, 
192.122.233.0,192.122.234.255,isp,GB,AS49182 
192.122.235.0,192.122.236.255,education,US,AS26 
192.122.237.0,192.122.237.255,education,US,AS33629 
192.122.238.0,192.122.242.255,hosting,PT,AS1930 
192.122.243.0,192.122.247.255,business,US,AS21718 
192.122.248.0,192.122.249.255,business,US, 
192.122.250.0,192.122.250.255,business,US,AS23167 
192.122.251.0,192.122.252.255,business,US, 
192.122.253.0,192.122.253.255,business,GE,AS208097 
192.122.254.0,192.122.254.255,hosting,CH,AS210346 
192.122.255.0,192.122.255.255,hosting,US,AS16509 
