192.172.18.0,192.172.18.255,government,US 
192.172.19.0,192.172.20.255,business,US 
192.172.21.0,192.172.220.255,government,US 
192.172.221.0,192.172.221.255,hosting,US 
192.172.222.0,192.172.224.255,business,US 
192.172.225.0,192.172.225.255,isp,US 
192.172.226.0,192.172.226.255,hosting,US 
192.172.227.0,192.172.227.255,isp,JP 
192.172.228.0,192.172.231.255,business,JP 
192.172.232.0,192.172.232.255,hosting,IT 
192.172.233.0,192.172.233.255,business,US 
192.172.235.0,192.172.235.255,business,JP 
192.172.236.0,192.172.236.255,education,JP 
192.172.237.0,192.172.237.255,hosting,JP 
192.172.240.0,192.172.240.255,business,US 
192.172.241.0,192.172.243.255,business,JP 
192.172.244.0,192.172.244.255,business,US 
192.172.247.0,192.172.247.255,isp,US 
192.172.248.0,192.172.248.255,business,US 
192.172.249.0,192.172.249.255,government,US 
192.172.250.0,192.172.250.255,hosting,CA 
192.172.251.0,192.172.252.255,business,US 
192.172.253.0,192.172.253.255,education,LU 
192.172.254.0,192.172.254.255,business,CA 
192.172.255.0,192.172.255.255,business,US 
