192.186.0.0,192.186.63.255,government,US,AS395776 
192.186.64.0,192.186.108.15,isp,CA,AS7992 
192.186.108.16,192.186.108.23,business,CA,AS7992 
192.186.108.24,192.186.127.255,isp,CA,AS7992 
192.186.128.0,192.186.132.47,hosting,US,AS55286 
192.186.132.48,192.186.132.55,isp,US,AS55286 
192.186.132.56,192.186.132.159,hosting,US,AS55286 
192.186.132.160,192.186.132.175,hosting,CA,AS55286 
192.186.132.176,192.186.134.31,hosting,US,AS55286 
192.186.134.32,192.186.134.47,hosting,CA,AS55286 
192.186.134.48,192.186.140.255,hosting,US,AS55286 
192.186.141.0,192.186.141.255,hosting,CA,AS55286 
192.186.142.0,192.186.147.111,hosting,US,AS55286 
192.186.147.112,192.186.147.127,hosting,CA,AS55286 
192.186.147.128,192.186.149.127,hosting,US,AS55286 
192.186.149.128,192.186.149.143,hosting,CA,AS55286 
192.186.149.144,192.186.150.79,hosting,US,AS55286 
192.186.150.80,192.186.150.95,hosting,CA,AS55286 
192.186.150.96,192.186.150.153,hosting,US,AS55286 
192.186.150.154,192.186.150.154,education,US,AS55286 
192.186.150.155,192.186.153.31,hosting,US,AS55286 
192.186.153.32,192.186.153.63,hosting,CA,AS55286 
192.186.153.64,192.186.155.127,hosting,US,AS55286 
192.186.155.128,192.186.155.159,hosting,CN,AS55286 
192.186.155.160,192.186.161.63,hosting,US,AS55286 
192.186.161.64,192.186.161.127,hosting,CN,AS55286 
192.186.161.128,192.186.161.159,hosting,US,AS55286 
192.186.161.160,192.186.161.191,hosting,IN,AS55286 
192.186.161.192,192.186.169.255,hosting,US,AS55286 
192.186.170.0,192.186.170.255,business,US,AS36352 
192.186.171.0,192.186.171.63,hosting,US,AS55286 
192.186.171.64,192.186.171.127,hosting,IN,AS55286 
192.186.171.128,192.186.175.255,hosting,US,AS55286 
192.186.176.0,192.186.176.255,hosting,US,AS55081 
192.186.177.0,192.186.177.255,hosting,US,AS55286 
192.186.178.0,192.186.178.255,hosting,CA,AS55286 
192.186.179.0,192.186.179.47,hosting,US,AS55286 
192.186.179.48,192.186.179.63,hosting,IN,AS55286 
192.186.179.64,192.186.184.255,hosting,US,AS55286 
192.186.185.0,192.186.185.255,hosting,US,AS55081 
192.186.186.0,192.186.186.255,business,US,AS55081 
192.186.187.0,192.186.187.255,business,US, 
192.186.188.0,192.186.189.95,hosting,US,AS55286 
192.186.189.96,192.186.189.111,hosting,CN,AS55286 
192.186.189.112,192.186.189.255,hosting,US,AS55286 
192.186.190.0,192.186.191.255,hosting,CA,AS55286 
192.186.192.0,192.186.255.255,hosting,US,AS26496 
