192.117.0.224,192.117.0.255,business,IL,AS12400 
192.117.1.0,192.117.15.255,isp,IL,AS12400 
192.117.16.0,192.117.23.255,business,IL,AS12400 
192.117.24.0,192.117.63.255,isp,IL,AS12400 
192.117.64.0,192.117.79.255,business,IL, 
192.117.80.0,192.117.95.255,education,IL,AS378 
192.117.96.0,192.117.127.255,isp,IL,AS8551 
192.117.128.0,192.117.128.55,isp,IL,AS12400 
192.117.128.56,192.117.128.63,business,IL,AS12400 
192.117.128.64,192.117.128.191,isp,IL,AS12400 
192.117.128.192,192.117.128.199,business,IL,AS12400 
192.117.128.200,192.117.128.203,isp,IL,AS12400 
192.117.128.204,192.117.128.223,business,IL,AS12400 
192.117.128.224,192.117.128.231,isp,IL,AS12400 
192.117.128.232,192.117.128.235,business,IL,AS12400 
192.117.128.236,192.117.129.255,isp,IL,AS12400 
192.117.130.0,192.117.130.127,business,IL,AS12400 
192.117.130.128,192.117.133.255,isp,IL,AS12400 
192.117.134.0,192.117.135.15,business,IL,AS12400 
192.117.135.16,192.117.135.63,isp,IL,AS12400 
192.117.135.64,192.117.135.223,business,IL,AS12400 
192.117.135.224,192.117.135.247,isp,IL,AS12400 
192.117.135.248,192.117.135.251,business,IL,AS12400 
192.117.135.252,192.117.135.255,isp,IL,AS12400 
192.117.136.0,192.117.136.31,business,IL,AS12400 
192.117.136.32,192.117.136.79,isp,IL,AS12400 
192.117.136.80,192.117.136.95,business,IL,AS12400 
192.117.136.96,192.117.136.135,isp,IL,AS12400 
192.117.136.136,192.117.136.191,business,IL,AS12400 
192.117.136.192,192.117.136.207,isp,IL,AS12400 
192.117.136.208,192.117.136.215,business,IL,AS12400 
192.117.136.216,192.117.136.227,isp,IL,AS12400 
192.117.136.228,192.117.136.239,business,IL,AS12400 
192.117.136.240,192.117.137.31,isp,IL,AS12400 
192.117.137.32,192.117.137.63,business,IL,AS12400 
192.117.137.64,192.117.137.147,isp,IL,AS12400 
192.117.137.148,192.117.137.151,business,IL,AS12400 
192.117.137.152,192.117.137.191,isp,IL,AS12400 
192.117.137.192,192.117.137.255,business,IL,AS12400 
192.117.138.0,192.117.138.31,isp,IL,AS12400 
192.117.138.32,192.117.138.43,business,IL,AS12400 
192.117.138.44,192.117.138.71,isp,IL,AS12400 
192.117.138.72,192.117.138.79,business,IL,AS12400 
192.117.138.80,192.117.138.207,isp,IL,AS12400 
192.117.138.208,192.117.138.215,business,IL,AS12400 
192.117.138.216,192.117.139.15,isp,IL,AS12400 
192.117.139.16,192.117.139.23,business,IL,AS12400 
192.117.139.24,192.117.139.27,isp,IL,AS12400 
192.117.139.28,192.117.139.31,business,IL,AS12400 
192.117.139.32,192.117.139.47,isp,IL,AS12400 
192.117.139.48,192.117.139.51,business,IL,AS12400 
192.117.139.52,192.117.139.63,isp,IL,AS12400 
192.117.139.64,192.117.139.79,business,IL,AS12400 
192.117.139.80,192.117.139.83,isp,IL,AS12400 
192.117.139.84,192.117.139.87,business,IL,AS12400 
192.117.139.88,192.117.140.23,isp,IL,AS12400 
192.117.140.24,192.117.140.31,business,IL,AS12400 
192.117.140.32,192.117.140.191,isp,IL,AS12400 
192.117.140.192,192.117.140.223,business,IL,AS12400 
192.117.140.224,192.117.140.255,isp,IL,AS12400 
192.117.141.0,192.117.141.31,business,IL,AS12400 
192.117.141.32,192.117.141.55,isp,IL,AS12400 
192.117.141.56,192.117.141.95,business,IL,AS12400 
192.117.141.96,192.117.141.103,isp,IL,AS12400 
192.117.141.104,192.117.141.111,business,IL,AS12400 
192.117.141.112,192.117.141.143,isp,IL,AS12400 
192.117.141.144,192.117.141.159,business,IL,AS12400 
192.117.141.160,192.117.141.167,isp,IL,AS12400 
192.117.141.168,192.117.141.175,business,IL,AS12400 
192.117.141.176,192.117.142.127,isp,IL,AS12400 
192.117.142.128,192.117.142.135,business,IL,AS12400 
192.117.142.136,192.117.142.191,isp,IL,AS12400 
192.117.142.192,192.117.142.207,business,IL,AS12400 
192.117.142.208,192.117.142.223,isp,IL,AS12400 
192.117.142.224,192.117.142.254,business,IL,AS12400 
192.117.142.255,192.117.142.255,isp,IL,AS12400 
192.117.143.0,192.117.143.7,business,IL,AS12400 
192.117.143.8,192.117.143.15,isp,IL,AS12400 
192.117.143.16,192.117.143.31,business,IL,AS12400 
192.117.143.32,192.117.143.51,isp,IL,AS12400 
192.117.143.52,192.117.143.55,business,IL,AS12400 
192.117.143.56,192.117.143.79,isp,IL,AS12400 
192.117.143.80,192.117.143.87,business,IL,AS12400 
192.117.143.88,192.117.143.127,isp,IL,AS12400 
192.117.143.128,192.117.143.159,business,IL,AS12400 
192.117.143.160,192.117.143.167,isp,IL,AS12400 
192.117.143.168,192.117.143.191,business,IL,AS12400 
192.117.143.192,192.117.145.79,isp,IL,AS12400 
192.117.145.80,192.117.145.87,business,IL,AS12400 
192.117.145.88,192.117.145.207,isp,IL,AS12400 
192.117.145.208,192.117.145.215,business,IL,AS12400 
192.117.145.216,192.117.145.247,isp,IL,AS12400 
192.117.145.248,192.117.145.255,business,IL,AS12400 
192.117.146.0,192.117.147.135,isp,IL,AS12400 
192.117.147.136,192.117.147.143,business,IL,AS12400 
192.117.147.144,192.117.149.47,isp,IL,AS12400 
192.117.149.48,192.117.149.63,business,IL,AS12400 
192.117.149.64,192.117.149.83,isp,IL,AS12400 
192.117.149.84,192.117.149.91,business,IL,AS12400 
192.117.149.92,192.117.149.255,isp,IL,AS12400 
192.117.150.0,192.117.150.63,business,IL,AS12400 
192.117.150.64,192.117.150.151,isp,IL,AS12400 
192.117.150.152,192.117.150.159,business,IL,AS12400 
192.117.150.160,192.117.150.223,isp,IL,AS12400 
192.117.150.224,192.117.150.255,business,IL,AS12400 
192.117.151.0,192.117.152.255,isp,IL,AS12400 
192.117.153.0,192.117.153.63,business,IL,AS12400 
192.117.153.64,192.117.153.207,isp,IL,AS12400 
192.117.153.208,192.117.153.223,business,IL,AS12400 
192.117.153.224,192.117.154.255,isp,IL,AS12400 
192.117.155.0,192.117.156.255,business,IL,AS12400 
192.117.157.0,192.117.159.23,isp,IL,AS12400 
192.117.159.24,192.117.159.31,business,IL,AS12400 
192.117.159.32,192.117.159.47,isp,IL,AS12400 
192.117.159.48,192.117.159.55,business,IL,AS12400 
192.117.159.56,192.117.159.75,isp,IL,AS12400 
192.117.159.76,192.117.159.79,business,IL,AS12400 
192.117.159.80,192.117.160.99,isp,IL,AS12400 
192.117.160.100,192.117.160.111,business,IL,AS12400 
192.117.160.112,192.117.160.119,isp,IL,AS12400 
192.117.160.120,192.117.160.127,business,IL,AS12400 
192.117.160.128,192.117.160.227,isp,IL,AS12400 
192.117.160.228,192.117.160.231,business,IL,AS12400 
192.117.160.232,192.117.161.63,isp,IL,AS12400 
192.117.161.64,192.117.161.79,business,IL,AS12400 
192.117.161.80,192.117.161.167,isp,IL,AS12400 
192.117.161.168,192.117.161.183,business,IL,AS12400 
192.117.161.184,192.117.161.191,isp,IL,AS12400 
192.117.161.192,192.117.161.223,business,IL,AS12400 
192.117.161.224,192.117.162.255,isp,IL,AS12400 
192.117.163.0,192.117.163.15,business,IL,AS12400 
192.117.163.16,192.117.163.255,isp,IL,AS12400 
