192.151.26.0,192.151.29.255,hosting,US 
192.151.30.0,192.151.108.255,business,US 
192.151.109.0,192.151.109.255,business,CA 
192.151.110.0,192.151.128.255,business,US 
192.151.130.0,192.151.131.255,business,US 
192.151.132.0,192.151.135.255,isp,CA 
192.151.136.0,192.151.153.215,hosting,US 
192.151.153.216,192.151.153.223,education,US 
192.151.153.224,192.151.157.215,hosting,US 
192.151.157.216,192.151.157.223,isp,US 
192.151.157.224,192.151.159.127,hosting,US 
192.151.159.128,192.151.159.135,isp,US 
192.151.159.136,192.151.159.255,hosting,US 
192.151.160.0,192.151.175.255,isp,US 
192.151.176.0,192.151.191.255,business,US 
192.151.192.0,192.151.207.255,hosting,US 
192.151.208.0,192.151.223.255,hosting,CN 
192.151.224.0,192.151.255.255,hosting,US 
