192.163.0.0,192.163.0.255,government,US,AS394438 
192.163.1.0,192.163.4.255,business,US, 
192.163.5.0,192.163.5.255,hosting,US,AS136806 
192.163.6.0,192.163.10.255,business,US, 
192.163.11.0,192.163.11.255,business,US,AS9929 
192.163.12.0,192.163.13.255,business,US, 
192.163.14.0,192.163.15.255,hosting,US,AS137220 
192.163.16.0,192.163.16.255,business,US, 
192.163.17.0,192.163.17.255,hosting,US,AS137220 
192.163.18.0,192.163.20.255,business,US, 
192.163.21.0,192.163.21.255,business,US,AS399017 
192.163.22.0,192.163.23.255,hosting,US,AS12025 
192.163.24.0,192.163.27.255,isp,MQ, 
192.163.28.0,192.163.31.255,hosting,US,AS11805 
192.163.32.0,192.163.85.255,isp,FI,AS719 
192.163.86.0,192.163.87.255,business,FI,AS719 
192.163.88.0,192.163.144.255,isp,FI,AS719 
192.163.145.0,192.163.145.255,business,FI,AS375 
192.163.146.0,192.163.159.255,isp,FI,AS719 
192.163.160.0,192.163.175.255,hosting,US,AS395954 
192.163.176.0,192.163.191.255,hosting,US,AS132839 
192.163.192.0,192.163.192.11,hosting,US,AS46606 
192.163.192.12,192.163.192.12,hosting,,AS46606 
192.163.192.13,192.163.192.24,hosting,US,AS46606 
192.163.192.25,192.163.192.25,hosting,,AS46606 
192.163.192.26,192.163.192.30,hosting,US,AS46606 
192.163.192.31,192.163.192.31,hosting,,AS46606 
192.163.192.32,192.163.192.61,hosting,US,AS46606 
192.163.192.62,192.163.192.62,hosting,,AS46606 
192.163.192.63,192.163.192.69,hosting,US,AS46606 
192.163.192.70,192.163.192.70,hosting,,AS46606 
192.163.192.71,192.163.192.84,hosting,US,AS46606 
192.163.192.85,192.163.192.85,hosting,,AS46606 
192.163.192.86,192.163.192.87,hosting,US,AS46606 
192.163.192.88,192.163.192.88,hosting,,AS46606 
192.163.192.89,192.163.192.103,hosting,US,AS46606 
192.163.192.104,192.163.192.104,hosting,,AS46606 
192.163.192.105,192.163.192.116,hosting,US,AS46606 
192.163.192.117,192.163.192.117,hosting,,AS46606 
192.163.192.118,192.163.192.123,hosting,US,AS46606 
192.163.192.124,192.163.192.124,hosting,,AS46606 
192.163.192.125,192.163.192.126,hosting,US,AS46606 
