192.106.0.0,192.106.0.255,isp,IT 
192.106.1.0,192.106.4.255,education,IT 
192.106.5.0,192.106.5.255,business,IT 
192.106.6.0,192.106.31.255,education,IT 
192.106.32.0,192.106.63.255,business,IT 
192.106.64.0,192.106.94.255,education,IT 
192.106.95.0,192.106.97.255,business,IT 
192.106.98.0,192.106.99.63,education,IT 
192.106.99.64,192.106.99.95,business,IT 
192.106.99.96,192.106.99.191,education,IT 
192.106.99.192,192.106.99.223,business,IT 
192.106.99.224,192.106.105.255,education,IT 
192.106.106.0,192.106.106.127,business,IT 
192.106.106.128,192.106.106.191,education,IT 
192.106.106.192,192.106.107.127,business,IT 
192.106.107.128,192.106.113.63,education,IT 
192.106.113.64,192.106.113.95,business,IT 
192.106.113.96,192.106.113.127,education,IT 
192.106.113.128,192.106.113.159,isp,IT 
192.106.113.160,192.106.113.191,business,IT 
192.106.113.192,192.106.113.223,education,IT 
192.106.113.224,192.106.113.255,business,IT 
192.106.114.0,192.106.114.63,education,IT 
192.106.114.64,192.106.114.127,business,IT 
192.106.114.128,192.106.114.191,education,IT 
192.106.114.192,192.106.114.255,isp,IT 
192.106.115.0,192.106.115.255,business,IT 
192.106.116.0,192.106.116.255,education,IT 
192.106.117.0,192.106.117.15,business,IT 
192.106.117.16,192.106.117.31,education,IT 
192.106.117.32,192.106.117.47,business,IT 
192.106.117.48,192.106.117.95,education,IT 
192.106.117.96,192.106.117.127,business,IT 
192.106.117.128,192.106.117.175,education,IT 
192.106.117.176,192.106.117.191,business,IT 
192.106.117.192,192.106.117.207,education,IT 
192.106.117.208,192.106.117.233,business,IT 
192.106.117.234,192.106.117.239,education,IT 
192.106.117.240,192.106.117.255,isp,IT 
192.106.118.0,192.106.118.127,education,IT 
192.106.118.128,192.106.118.255,business,IT 
192.106.119.0,192.106.119.255,education,IT 
192.106.120.0,192.106.120.47,business,IT 
192.106.120.48,192.106.120.63,education,IT 
192.106.120.64,192.106.120.159,business,IT 
192.106.120.160,192.106.120.191,education,IT 
192.106.120.192,192.106.121.127,business,IT 
192.106.121.128,192.106.122.31,education,IT 
192.106.122.32,192.106.122.63,business,IT 
192.106.122.64,192.106.122.95,education,IT 
192.106.122.96,192.106.122.159,business,IT 
192.106.122.160,192.106.122.191,education,IT 
192.106.122.192,192.106.122.226,isp,IT 
192.106.122.227,192.106.122.255,education,IT 
192.106.123.0,192.106.123.127,business,IT 
192.106.123.128,192.106.124.127,education,IT 
192.106.124.128,192.106.124.255,business,IT 
192.106.125.0,192.106.125.255,education,IT 
192.106.126.0,192.106.126.63,business,IT 
192.106.126.64,192.106.126.127,education,IT 
192.106.126.128,192.106.126.191,business,IT 
192.106.126.192,192.106.126.255,education,IT 
192.106.127.0,192.106.127.127,business,IT 
192.106.127.128,192.106.127.255,education,IT 
192.106.128.0,192.106.135.255,isp,IT 
192.106.136.0,192.106.136.15,education,IT 
192.106.136.16,192.106.136.31,business,IT 
192.106.136.32,192.106.143.255,education,IT 
192.106.144.0,192.106.150.255,business,IT 
192.106.151.0,192.106.151.255,education,IT 
192.106.152.0,192.106.153.255,business,IT 
192.106.154.0,192.106.154.255,isp,IT 
192.106.155.0,192.106.157.255,education,IT 
192.106.158.0,192.106.159.255,business,IT 
192.106.160.0,192.106.160.255,education,IT 
192.106.161.0,192.106.161.255,business,IT 
192.106.162.0,192.106.162.255,education,IT 
192.106.163.0,192.106.164.255,business,IT 
192.106.165.0,192.106.165.255,education,IT 
192.106.166.0,192.106.166.255,isp,IT 
192.106.167.0,192.106.168.255,business,IT 
192.106.169.0,192.106.169.255,isp,IT 
192.106.170.0,192.106.172.255,business,IT 
192.106.173.0,192.106.173.255,education,IT 
192.106.174.0,192.106.174.255,isp,IT 
192.106.175.0,192.106.175.255,education,IT 
192.106.176.0,192.106.176.255,business,IT 
192.106.177.0,192.106.187.255,education,IT 
192.106.188.0,192.106.188.255,business,IT 
192.106.189.0,192.106.189.255,isp,IT 
192.106.190.0,192.106.191.255,education,IT 
192.106.192.0,192.106.193.255,business,IT 
192.106.194.0,192.106.194.255,education,IT 
192.106.195.0,192.106.197.255,business,IT 
192.106.198.0,192.106.198.255,education,IT 
192.106.199.0,192.106.202.255,business,IT 
192.106.203.0,192.106.205.255,education,IT 
192.106.206.0,192.106.210.255,business,IT 
192.106.211.0,192.106.212.255,education,IT 
192.106.213.0,192.106.214.255,business,IT 
192.106.215.0,192.106.216.255,education,IT 
192.106.217.0,192.106.217.255,business,IT 
192.106.218.0,192.106.218.255,isp,IT 
192.106.219.0,192.106.220.255,business,IT 
192.106.221.0,192.106.221.255,isp,IT 
192.106.222.0,192.106.225.255,business,IT 
192.106.226.0,192.106.227.255,education,IT 
192.106.228.0,192.106.228.255,business,IT 
192.106.229.0,192.106.229.255,isp,IT 
192.106.230.0,192.106.230.255,business,IT 
192.106.231.0,192.106.231.255,education,IT 
192.106.232.0,192.106.234.255,business,IT 
192.106.235.0,192.106.239.255,education,IT 
192.106.240.0,192.106.240.255,business,IT 
192.106.241.0,192.106.241.255,education,IT 
192.106.242.0,192.106.242.255,business,IT 
192.106.243.0,192.106.243.255,isp,IT 
192.106.244.0,192.106.244.255,education,IT 
192.106.245.0,192.106.250.255,business,IT 
192.106.251.0,192.106.251.255,education,IT 
192.106.252.0,192.106.253.255,business,IT 
192.106.254.0,192.106.255.255,education,IT 
