192.210.0.0,192.210.0.255,hosting,US 
192.210.1.0,192.210.10.255,business,CA 
192.210.11.0,192.210.15.255,isp,US 
192.210.16.0,192.210.41.255,business,US 
192.210.42.0,192.210.43.255,isp,US 
192.210.44.0,192.210.63.255,business,US 
192.210.64.0,192.210.127.255,business,CA 
192.210.128.0,192.210.130.255,hosting,US 
192.210.131.0,192.210.131.255,hosting,CA 
192.210.132.0,192.210.133.255,hosting,US 
192.210.134.0,192.210.134.7,hosting,IN 
192.210.134.8,192.210.134.47,hosting,US 
192.210.134.48,192.210.134.55,hosting,IN 
192.210.134.56,192.210.134.79,hosting,US 
192.210.134.80,192.210.134.95,hosting,GB 
192.210.134.96,192.210.134.223,hosting,US 
192.210.134.224,192.210.134.231,hosting,IN 
192.210.134.232,192.210.140.103,hosting,US 
192.210.140.104,192.210.140.111,hosting,IN 
192.210.140.112,192.210.140.175,hosting,US 
192.210.140.176,192.210.140.191,hosting,IN 
192.210.140.192,192.210.141.143,hosting,US 
192.210.141.144,192.210.141.159,hosting,IN 
192.210.141.160,192.210.141.175,hosting,US 
192.210.141.176,192.210.141.191,hosting,IN 
192.210.141.192,192.210.144.143,hosting,US 
192.210.144.144,192.210.144.159,hosting,IN 
192.210.144.160,192.210.144.167,hosting,US 
192.210.144.168,192.210.144.175,hosting,CN 
192.210.144.176,192.210.144.207,hosting,US 
192.210.144.208,192.210.144.215,hosting,CN 
192.210.144.216,192.210.144.223,hosting,US 
192.210.144.224,192.210.144.239,hosting,IN 
192.210.144.240,192.210.145.255,hosting,US 
192.210.146.0,192.210.146.31,business,US 
192.210.146.32,192.210.146.39,hosting,CN 
192.210.146.40,192.210.146.107,hosting,US 
192.210.146.108,192.210.146.111,hosting,EE 
192.210.146.112,192.210.146.119,hosting,US 
192.210.146.120,192.210.146.127,hosting,CN 
192.210.146.128,192.210.148.191,hosting,US 
192.210.148.192,192.210.148.207,hosting,IN 
192.210.148.208,192.210.151.159,hosting,US 
192.210.151.160,192.210.151.167,hosting,CN 
192.210.151.168,192.210.151.239,hosting,US 
192.210.151.240,192.210.151.255,hosting,IN 
192.210.152.0,192.210.152.255,hosting,US 
192.210.153.0,192.210.153.255,business,US 
192.210.154.0,192.210.154.255,hosting,IL 
192.210.155.0,192.210.161.127,hosting,US 
192.210.161.128,192.210.161.159,business,US 
192.210.161.160,192.210.161.191,hosting,US 
192.210.161.192,192.210.161.255,business,US 
192.210.162.0,192.210.166.63,hosting,US 
192.210.166.64,192.210.166.79,hosting,IN 
192.210.166.80,192.210.167.127,hosting,US 
192.210.167.128,192.210.167.191,hosting,EE 
192.210.167.192,192.210.172.127,hosting,US 
192.210.172.128,192.210.172.143,hosting,IN 
192.210.172.144,192.210.172.191,hosting,US 
192.210.172.192,192.210.172.255,hosting,IN 
192.210.173.0,192.210.173.207,hosting,US 
192.210.173.208,192.210.173.223,hosting,IN 
192.210.173.224,192.210.173.255,hosting,US 
192.210.174.0,192.210.174.63,hosting,EE 
192.210.174.64,192.210.180.255,hosting,US 
192.210.181.0,192.210.181.63,hosting,EE 
192.210.181.64,192.210.184.63,hosting,US 
192.210.184.64,192.210.184.127,business,US 
192.210.184.128,192.210.184.255,hosting,US 
192.210.185.0,192.210.185.7,hosting,IN 
192.210.185.8,192.210.185.15,hosting,CN 
192.210.185.16,192.210.189.255,hosting,US 
192.210.190.0,192.210.190.63,hosting,EE 
192.210.190.64,192.210.194.63,hosting,US 
192.210.194.64,192.210.194.127,hosting,IN 
192.210.194.128,192.210.198.183,hosting,US 
192.210.198.184,192.210.198.191,hosting,CN 
192.210.198.192,192.210.198.199,hosting,US 
192.210.198.200,192.210.198.207,hosting,PH 
192.210.198.208,192.210.198.247,hosting,US 
192.210.198.248,192.210.198.255,hosting,PK 
192.210.199.0,192.210.199.23,hosting,US 
192.210.199.24,192.210.199.31,hosting,IN 
192.210.199.32,192.210.199.63,hosting,US 
192.210.199.64,192.210.199.71,hosting,CN 
192.210.199.72,192.210.199.79,hosting,US 
192.210.199.80,192.210.199.87,hosting,CN 
192.210.199.88,192.210.199.111,hosting,US 
192.210.199.112,192.210.199.127,hosting,IN 
192.210.199.128,192.210.200.127,hosting,US 
192.210.200.128,192.210.200.191,hosting,EE 
192.210.200.192,192.210.212.63,hosting,US 
192.210.212.64,192.210.212.127,hosting,IN 
192.210.212.128,192.210.217.19,hosting,US 
192.210.217.20,192.210.217.23,hosting,PH 
192.210.217.24,192.210.220.31,hosting,US 
192.210.220.32,192.210.220.39,hosting,BD 
192.210.220.40,192.210.220.47,hosting,US 
192.210.220.48,192.210.220.55,hosting,IN 
192.210.220.56,192.210.220.95,hosting,US 
192.210.220.96,192.210.220.103,hosting,BD 
192.210.220.104,192.210.221.159,hosting,US 
192.210.221.160,192.210.221.175,hosting,IN 
192.210.221.176,192.210.223.95,hosting,US 
192.210.223.96,192.210.223.127,hosting,AE 
192.210.223.128,192.210.227.175,hosting,US 
192.210.227.176,192.210.227.191,hosting,GB 
192.210.227.192,192.210.228.63,hosting,US 
192.210.228.64,192.210.228.95,hosting,IN 
192.210.228.96,192.210.229.127,hosting,US 
192.210.229.128,192.210.229.159,hosting,IN 
192.210.229.160,192.210.232.7,hosting,US 
192.210.232.8,192.210.232.11,hosting,NO 
192.210.232.12,192.210.232.15,hosting,CN 
192.210.232.16,192.210.233.63,hosting,US 
192.210.233.64,192.210.233.95,hosting,IN 
192.210.233.96,192.210.233.175,hosting,US 
192.210.233.176,192.210.233.191,hosting,IN 
192.210.233.192,192.210.233.207,hosting,US 
192.210.233.208,192.210.233.223,hosting,IN 
192.210.233.224,192.210.233.255,hosting,US 
192.210.234.0,192.210.234.15,hosting,GB 
192.210.234.16,192.210.234.79,hosting,US 
192.210.234.80,192.210.234.83,hosting,CN 
192.210.234.84,192.210.234.91,hosting,US 
192.210.234.92,192.210.234.95,hosting,AU 
192.210.234.96,192.210.234.111,hosting,CN 
192.210.234.112,192.210.234.239,hosting,US 
192.210.234.240,192.210.234.255,hosting,IN 
192.210.235.0,192.210.235.255,business,US 
192.210.236.0,192.210.243.255,hosting,US 
192.210.244.0,192.210.245.255,isp,IN 
192.210.246.0,192.210.246.255,hosting,IN 
192.210.247.0,192.210.247.255,isp,IN 
192.210.248.0,192.210.248.255,hosting,US 
192.210.249.0,192.210.249.255,isp,IN 
192.210.250.0,192.210.250.255,hosting,US 
192.210.251.0,192.210.251.255,business,US 
192.210.252.0,192.210.252.255,hosting,US 
192.210.253.0,192.210.253.255,isp,IN 
192.210.254.0,192.210.255.255,hosting,US 
