192.156.0.0,192.156.80.255,business,US 
192.156.81.0,192.156.96.255,government,US 
192.156.97.0,192.156.101.255,business,US 
192.156.102.0,192.156.102.255,hosting,US 
192.156.103.0,192.156.111.255,business,US 
192.156.112.0,192.156.112.255,hosting,US 
192.156.113.0,192.156.131.255,business,US 
192.156.132.0,192.156.132.255,business,BE 
192.156.133.0,192.156.133.255,business,US 
192.156.134.0,192.156.135.255,education,US 
192.156.136.0,192.156.139.255,business,US 
192.156.141.0,192.156.141.255,education,JP 
192.156.143.0,192.156.143.255,business,JP 
192.156.144.0,192.156.144.255,hosting,HK 
192.156.145.0,192.156.145.255,education,JP 
192.156.146.0,192.156.146.255,business,JP 
192.156.147.0,192.156.149.255,education,JP 
192.156.150.0,192.156.150.255,isp,JP 
192.156.151.0,192.156.151.255,education,JP 
192.156.154.0,192.156.154.255,business,JP 
192.156.157.0,192.156.157.255,business,US 
192.156.158.0,192.156.158.255,education,JP 
192.156.159.0,192.156.159.255,isp,JP 
192.156.160.0,192.156.161.255,business,US 
192.156.162.0,192.156.162.255,education,GB 
192.156.163.0,192.156.164.255,business,US 
192.156.166.0,192.156.166.255,business,US 
192.156.167.0,192.156.167.255,business,GB 
192.156.168.0,192.156.168.255,business,US 
192.156.169.0,192.156.169.255,hosting,GB 
192.156.170.0,192.156.171.255,business,US 
192.156.172.0,192.156.172.255,isp,US 
192.156.173.0,192.156.173.255,business,US 
192.156.174.0,192.156.174.255,business,CH 
192.156.175.0,192.156.179.255,business,US 
192.156.180.0,192.156.180.255,isp,US 
192.156.181.0,192.156.183.255,business,US 
192.156.184.0,192.156.184.255,education,US 
192.156.185.0,192.156.191.255,business,US 
192.156.192.0,192.156.195.255,isp,US 
192.156.196.0,192.156.198.255,business,US 
192.156.199.0,192.156.199.255,business,BM 
192.156.200.0,192.156.205.255,business,US 
192.156.206.0,192.156.206.255,education,US 
192.156.209.0,192.156.209.255,education,US 
192.156.210.0,192.156.210.255,business,PT 
192.156.211.0,192.156.212.255,business,US 
192.156.213.0,192.156.213.255,business,IT 
192.156.214.0,192.156.215.255,education,US 
192.156.216.0,192.156.216.255,business,US 
192.156.217.0,192.156.217.255,hosting,SC 
192.156.218.0,192.156.218.255,isp,US 
192.156.219.0,192.156.219.255,hosting,US 
192.156.220.0,192.156.220.255,hosting,HK 
192.156.221.0,192.156.224.255,business,US 
192.156.225.0,192.156.225.255,business,NZ 
192.156.226.0,192.156.226.255,isp,US 
192.156.227.0,192.156.227.255,education,BE 
192.156.228.0,192.156.233.255,business,US 
192.156.234.0,192.156.234.255,education,US 
192.156.235.0,192.156.235.255,isp,US 
192.156.236.0,192.156.237.255,education,US 
192.156.238.0,192.156.238.255,business,US 
192.156.239.0,192.156.239.255,business,GB 
192.156.240.0,192.156.247.255,business,US 
192.156.248.0,192.156.248.255,business,LU 
192.156.250.0,192.156.250.255,business,US 
192.156.251.0,192.156.251.255,isp,US 
192.156.252.0,192.156.254.255,business,US 
192.156.255.0,192.156.255.255,isp,US 
