192.38.0.0,192.38.3.255,education,GL,AS1835 
192.38.4.0,192.38.9.255,education,DK,AS1835 
192.38.10.0,192.38.10.119,isp,DK,AS1835 
192.38.10.120,192.38.10.191,education,DK,AS1835 
192.38.10.192,192.38.10.207,isp,DK,AS1835 
192.38.10.208,192.38.10.223,education,DK,AS1835 
192.38.10.224,192.38.10.231,isp,DK,AS1835 
192.38.10.232,192.38.10.239,business,DK,AS1835 
192.38.10.240,192.38.127.255,education,DK,AS1835 
192.38.128.0,192.38.255.255,isp,DK,AS9158 
