222.189.33.0,222.189.33.3,business,CN 
222.189.33.4,222.189.33.255,isp,CN 
222.189.34.0,222.189.34.3,education,CN 
222.189.34.4,222.189.36.255,isp,CN 
222.189.37.0,222.189.37.91,business,CN 
222.189.37.92,222.189.39.255,isp,CN 
222.189.40.0,222.189.40.3,business,CN 
222.189.40.4,222.189.40.255,isp,CN 
222.189.41.0,222.189.41.11,business,CN 
222.189.41.12,222.189.41.255,isp,CN 
222.189.42.0,222.189.42.3,business,CN 
222.189.42.4,222.189.139.255,isp,CN 
222.189.140.0,222.189.140.67,business,CN 
222.189.140.68,222.189.140.71,education,CN 
222.189.140.72,222.189.140.75,business,CN 
222.189.140.76,222.189.140.79,isp,CN 
222.189.140.80,222.189.140.99,business,CN 
222.189.140.100,222.189.140.103,isp,CN 
222.189.140.104,222.189.140.127,business,CN 
222.189.140.128,222.189.140.135,isp,CN 
222.189.140.136,222.189.140.139,business,CN 
222.189.140.140,222.189.140.143,isp,CN 
222.189.140.144,222.189.140.167,business,CN 
222.189.140.168,222.189.140.179,isp,CN 
222.189.140.180,222.189.140.219,business,CN 
222.189.140.220,222.189.140.223,isp,CN 
222.189.140.224,222.189.140.231,business,CN 
222.189.140.232,222.189.140.235,isp,CN 
222.189.140.236,222.189.140.243,business,CN 
222.189.140.244,222.189.140.247,isp,CN 
222.189.140.248,222.189.140.255,business,CN 
222.189.141.0,222.189.151.255,isp,CN 
222.189.152.0,222.189.152.7,business,CN 
222.189.152.8,222.189.152.15,isp,CN 
222.189.152.16,222.189.152.63,business,CN 
222.189.152.64,222.189.152.71,isp,CN 
222.189.152.72,222.189.152.79,business,CN 
222.189.152.80,222.189.152.91,isp,CN 
222.189.152.92,222.189.152.111,business,CN 
222.189.152.112,222.189.152.119,isp,CN 
222.189.152.120,222.189.152.123,business,CN 
222.189.152.124,222.189.152.151,isp,CN 
222.189.152.152,222.189.152.159,business,CN 
222.189.152.160,222.189.153.15,isp,CN 
222.189.153.16,222.189.153.31,business,CN 
222.189.153.32,222.189.153.35,isp,CN 
222.189.153.36,222.189.153.39,business,CN 
222.189.153.40,222.189.153.47,isp,CN 
222.189.153.48,222.189.153.71,business,CN 
222.189.153.72,222.189.153.75,isp,CN 
222.189.153.76,222.189.153.95,business,CN 
222.189.153.96,222.189.153.111,isp,CN 
222.189.153.112,222.189.153.119,business,CN 
222.189.153.120,222.189.153.127,isp,CN 
222.189.153.128,222.189.153.135,business,CN 
222.189.153.136,222.189.153.143,isp,CN 
222.189.153.144,222.189.153.159,business,CN 
222.189.153.160,222.189.153.175,isp,CN 
222.189.153.176,222.189.153.191,education,CN 
222.189.153.192,222.189.153.239,business,CN 
222.189.153.240,222.189.153.255,isp,CN 
222.189.154.0,222.189.154.15,business,CN 
222.189.154.16,222.189.156.11,isp,CN 
222.189.156.12,222.189.156.39,business,CN 
222.189.156.40,222.189.162.255,isp,CN 
222.189.163.0,222.189.163.23,business,CN 
222.189.163.24,222.189.163.27,isp,CN 
222.189.163.28,222.189.163.31,business,CN 
222.189.163.32,222.189.185.255,isp,CN 
222.189.186.0,222.189.186.7,business,CN 
222.189.186.8,222.189.186.15,isp,CN 
222.189.186.16,222.189.186.31,business,CN 
222.189.186.32,222.189.186.35,isp,CN 
222.189.186.36,222.189.186.39,business,CN 
222.189.186.40,222.189.186.47,isp,CN 
222.189.186.48,222.189.186.55,business,CN 
222.189.186.56,222.189.186.63,isp,CN 
222.189.186.64,222.189.186.71,business,CN 
222.189.186.72,222.189.187.3,isp,CN 
222.189.187.4,222.189.187.7,business,CN 
222.189.187.8,222.189.187.11,isp,CN 
222.189.187.12,222.189.187.31,business,CN 
222.189.187.32,222.189.187.43,isp,CN 
222.189.187.44,222.189.187.51,business,CN 
222.189.187.52,222.189.187.55,isp,CN 
222.189.187.56,222.189.187.115,business,CN 
222.189.187.116,222.189.187.123,isp,CN 
222.189.187.124,222.189.187.131,business,CN 
222.189.187.132,222.189.187.135,isp,CN 
222.189.187.136,222.189.187.147,business,CN 
222.189.187.148,222.189.187.155,isp,CN 
222.189.187.156,222.189.187.175,business,CN 
222.189.187.176,222.189.187.179,isp,CN 
222.189.187.180,222.189.187.227,business,CN 
222.189.187.228,222.189.187.239,isp,CN 
222.189.187.240,222.189.187.255,business,CN 
222.189.188.0,222.189.205.255,isp,CN 
222.189.206.0,222.189.206.23,business,CN 
222.189.206.24,222.189.206.31,isp,CN 
