222.243.0.0,222.243.31.255,business,CN,AS4134 
222.243.32.0,222.243.95.255,isp,CN,AS4134 
222.243.96.0,222.243.111.255,business,CN,AS4134 
222.243.112.0,222.243.128.49,isp,CN,AS4134 
222.243.128.50,222.243.128.62,business,CN,AS4134 
222.243.128.63,222.243.159.255,isp,CN,AS4134 
222.243.160.0,222.243.191.255,business,CN,AS4134 
222.243.192.0,222.243.203.19,isp,CN,AS4134 
222.243.203.20,222.243.203.46,business,CN,AS4134 
222.243.203.47,222.243.204.1,isp,CN,AS4134 
222.243.204.2,222.243.204.26,education,CN,AS4134 
222.243.204.27,222.243.209.128,isp,CN,AS4134 
222.243.209.129,222.243.209.254,business,CN,AS4134 
222.243.209.255,222.243.255.255,isp,CN,AS4134 
