222.185.27.48,222.185.27.55,business,CN,AS4134 
222.185.27.56,222.185.230.191,isp,CN,AS4134 
222.185.230.192,222.185.230.199,business,CN,AS4134 
222.185.230.200,222.185.230.231,isp,CN,AS4134 
222.185.230.232,222.185.230.239,business,CN,AS4134 
222.185.230.240,222.185.231.87,isp,CN,AS4134 
222.185.231.88,222.185.231.95,business,CN,AS4134 
222.185.231.96,222.185.231.231,isp,CN,AS4134 
222.185.231.232,222.185.231.239,business,CN,AS4134 
222.185.231.240,222.185.232.111,isp,CN,AS4134 
222.185.232.112,222.185.232.119,business,CN,AS4134 
222.185.232.120,222.185.233.7,isp,CN,AS4134 
222.185.233.8,222.185.233.15,business,CN,AS4134 
222.185.233.16,222.185.233.55,isp,CN,AS4134 
222.185.233.56,222.185.233.79,business,CN,AS4134 
222.185.233.80,222.185.233.159,isp,CN,AS4134 
222.185.233.160,222.185.233.167,education,CN,AS4134 
222.185.233.168,222.185.233.223,isp,CN,AS4134 
222.185.233.224,222.185.233.231,business,CN,AS4134 
222.185.233.232,222.185.234.31,isp,CN,AS4134 
222.185.234.32,222.185.234.39,business,CN,AS4134 
222.185.234.40,222.185.234.55,isp,CN,AS4134 
222.185.234.56,222.185.234.63,business,CN,AS4134 
222.185.234.64,222.185.234.111,isp,CN,AS4134 
222.185.234.112,222.185.234.119,business,CN,AS4134 
222.185.234.120,222.185.235.47,isp,CN,AS4134 
222.185.235.48,222.185.235.55,business,CN,AS4134 
222.185.235.56,222.185.235.151,isp,CN,AS4134 
222.185.235.152,222.185.235.159,business,CN,AS4134 
222.185.235.160,222.185.235.247,isp,CN,AS4134 
222.185.235.248,222.185.235.255,education,CN,AS4134 
222.185.236.0,222.185.236.127,isp,CN,AS4134 
222.185.236.128,222.185.236.135,business,CN,AS4134 
222.185.236.136,222.185.237.55,isp,CN,AS4134 
222.185.237.56,222.185.237.63,business,CN,AS4134 
222.185.237.64,222.185.237.175,isp,CN,AS4134 
222.185.237.176,222.185.237.183,business,CN,AS4134 
222.185.237.184,222.185.237.199,isp,CN,AS4134 
222.185.237.200,222.185.237.207,business,CN,AS4134 
222.185.237.208,222.185.237.239,isp,CN,AS4134 
222.185.237.240,222.185.237.247,business,CN,AS4134 
222.185.237.248,222.185.238.7,isp,CN,AS4134 
222.185.238.8,222.185.238.15,business,CN,AS4134 
222.185.238.16,222.185.238.151,isp,CN,AS4134 
222.185.238.152,222.185.238.159,business,CN,AS4134 
222.185.238.160,222.185.241.7,isp,CN,AS4134 
222.185.241.8,222.185.241.15,business,CN,AS4134 
222.185.241.16,222.185.241.111,isp,CN,AS4134 
222.185.241.112,222.185.241.119,business,CN,AS4134 
222.185.241.120,222.185.241.215,isp,CN,AS4134 
222.185.241.216,222.185.241.223,business,CN,AS4134 
222.185.241.224,222.185.242.55,isp,CN,AS4134 
222.185.242.56,222.185.242.63,business,CN,AS4134 
222.185.242.64,222.185.242.223,isp,CN,AS4134 
222.185.242.224,222.185.242.231,business,CN,AS4134 
222.185.242.232,222.185.243.71,isp,CN,AS4134 
222.185.243.72,222.185.243.79,business,CN,AS4134 
222.185.243.80,222.185.244.151,isp,CN,AS4134 
222.185.244.152,222.185.244.159,business,CN,AS4134 
222.185.244.160,222.185.244.247,isp,CN,AS4134 
222.185.244.248,222.185.244.255,business,CN,AS4134 
222.185.245.0,222.185.246.39,isp,CN,AS4134 
222.185.246.40,222.185.246.47,business,CN,AS4134 
222.185.246.48,222.185.246.127,isp,CN,AS4134 
222.185.246.128,222.185.246.135,education,CN,AS4134 
222.185.246.136,222.185.247.71,isp,CN,AS4134 
222.185.247.72,222.185.247.79,business,CN,AS4134 
222.185.247.80,222.185.247.199,isp,CN,AS4134 
222.185.247.200,222.185.247.207,business,CN,AS4134 
222.185.247.208,222.185.248.39,isp,CN,AS4134 
222.185.248.40,222.185.248.47,business,CN,AS4134 
222.185.248.48,222.185.248.119,isp,CN,AS4134 
222.185.248.120,222.185.248.127,business,CN,AS4134 
222.185.248.128,222.185.248.215,isp,CN,AS4134 
222.185.248.216,222.185.248.223,business,CN,AS4134 
222.185.248.224,222.185.249.167,isp,CN,AS4134 
222.185.249.168,222.185.249.171,business,CN,AS4134 
222.185.249.172,222.185.249.255,isp,CN,AS4134 
222.185.250.0,222.185.250.7,business,CN,AS4134 
222.185.250.8,222.185.250.255,isp,CN,AS4134 
222.185.251.0,222.185.251.7,business,CN,AS4134 
222.185.251.8,222.185.251.51,isp,CN,AS4134 
222.185.251.52,222.185.251.55,business,CN,AS4134 
222.185.251.56,222.185.251.127,isp,CN,AS4134 
222.185.251.128,222.185.251.135,business,CN,AS4134 
222.185.251.136,222.185.251.207,isp,CN,AS4134 
222.185.251.208,222.185.251.215,business,CN,AS4134 
222.185.251.216,222.185.251.223,isp,CN,AS4134 
222.185.251.224,222.185.251.231,business,CN,AS4134 
222.185.251.232,222.185.252.135,isp,CN,AS4134 
222.185.252.136,222.185.252.143,business,CN,AS4134 
222.185.252.144,222.185.254.23,isp,CN,AS4134 
222.185.254.24,222.185.254.31,business,CN,AS4134 
222.185.254.32,222.185.254.79,isp,CN,AS4134 
222.185.254.80,222.185.254.95,business,CN,AS4134 
222.185.254.96,222.185.254.151,isp,CN,AS4134 
222.185.254.152,222.185.254.159,business,CN,AS4134 
222.185.254.160,222.185.255.39,isp,CN,AS4134 
222.185.255.40,222.185.255.47,business,CN,AS4134 
222.185.255.48,222.185.255.119,isp,CN,AS4134 
222.185.255.120,222.185.255.127,business,CN,AS4134 
222.185.255.128,222.185.255.223,isp,CN,AS4134 
222.185.255.224,222.185.255.231,business,CN,AS4134 
222.185.255.232,222.186.63.255,isp,CN,AS4134 
