168.220.0.0,168.220.79.255,business,US,AS8131 
168.220.80.0,168.220.95.255,hosting,US,AS40509 
168.220.96.0,168.220.97.31,isp,US,AS62642 
168.220.97.32,168.220.97.63,education,US,AS62642 
168.220.97.64,168.220.106.135,isp,US,AS62642 
168.220.106.136,168.220.106.143,business,US,AS62642 
168.220.106.144,168.220.108.71,isp,US,AS62642 
168.220.108.72,168.220.108.79,business,CA,AS62642 
168.220.108.80,168.220.108.111,isp,US,AS62642 
168.220.108.112,168.220.108.115,business,CA,AS62642 
168.220.108.116,168.220.110.255,isp,US,AS62642 
168.220.111.0,168.220.111.15,business,DE,AS62642 
168.220.111.16,168.220.111.31,isp,DE,AS62642 
168.220.111.32,168.220.111.67,business,DE,AS62642 
168.220.111.68,168.220.111.71,isp,US,AS62642 
168.220.111.72,168.220.111.79,business,DE,AS62642 
168.220.111.80,168.220.111.95,isp,DE,AS62642 
168.220.111.96,168.220.116.15,isp,US,AS62642 
168.220.116.16,168.220.116.31,business,US,AS62642 
168.220.116.32,168.220.116.115,isp,US,AS62642 
168.220.116.116,168.220.116.119,education,US,AS62642 
168.220.116.120,168.220.124.31,isp,US,AS62642 
168.220.124.32,168.220.124.47,education,US,AS62642 
168.220.124.48,168.220.125.95,isp,US,AS62642 
168.220.125.96,168.220.125.111,business,US,AS62642 
168.220.125.112,168.220.127.15,isp,US,AS62642 
168.220.127.16,168.220.127.31,business,US,AS62642 
168.220.127.32,168.220.127.255,isp,US,AS62642 
168.220.128.0,168.220.143.255,business,FR,AS16347 
168.220.144.0,168.220.159.255,hosting,FR,AS16347 
168.220.160.0,168.220.191.255,isp,US,AS398210 
168.220.192.0,168.220.223.255,isp,US,AS398156 
168.220.224.0,168.220.255.255,business,IN,AS17439 
