168.196.180.64,168.196.180.71,business,BR,AS53184 
168.196.180.72,168.196.181.23,isp,BR,AS53184 
168.196.181.24,168.196.181.31,business,BR,AS53184 
168.196.181.32,168.196.181.39,isp,BR,AS53184 
168.196.181.40,168.196.181.47,business,BR,AS53184 
168.196.181.48,168.196.181.63,isp,BR,AS53184 
168.196.181.64,168.196.181.71,business,BR,AS53184 
168.196.181.72,168.196.181.87,isp,BR,AS53184 
168.196.181.88,168.196.181.95,business,BR,AS53184 
168.196.181.96,168.196.181.111,isp,BR,AS53184 
168.196.181.112,168.196.181.127,business,BR,AS53184 
168.196.181.128,168.196.183.255,isp,BR,AS53184 
168.196.184.0,168.196.187.255,business,CL,AS10778 
168.196.188.0,168.196.191.255,business,BR,AS52848 
168.196.192.0,168.196.193.159,isp,BR,AS265457 
168.196.193.160,168.196.193.191,business,BR,AS265457 
168.196.193.192,168.196.195.255,isp,BR,AS265457 
168.196.196.0,168.196.199.255,isp,BR,AS270980 
168.196.200.0,168.196.203.255,isp,CL,AS52341 
168.196.204.0,168.196.207.255,isp,BR,AS268786 
168.196.208.0,168.196.209.255,isp,AR,AS270101 
168.196.210.0,168.196.211.255,isp,BR,AS265471 
168.196.212.0,168.196.214.13,isp,BR,AS265472 
168.196.214.14,168.196.214.14,business,BR,AS265472 
168.196.214.15,168.196.214.175,isp,BR,AS265472 
168.196.214.176,168.196.214.191,business,BR,AS265472 
168.196.214.192,168.196.215.255,isp,BR,AS265472 
168.196.216.0,168.196.219.255,isp,BR,AS265473 
168.196.220.0,168.196.221.83,business,BR,AS265462 
168.196.221.84,168.196.221.87,isp,BR,AS265462 
168.196.221.88,168.196.221.119,business,BR,AS265462 
168.196.221.120,168.196.221.127,isp,BR,AS265462 
168.196.221.128,168.196.221.195,business,BR,AS265462 
168.196.221.196,168.196.221.199,isp,BR,AS265462 
168.196.221.200,168.196.223.255,business,BR,AS265462 
168.196.224.0,168.196.227.255,isp,AR,AS264765 
168.196.228.0,168.196.231.255,isp,BR,AS270941 
168.196.232.0,168.196.235.255,isp,BR,AS265467 
168.196.236.0,168.196.236.255,isp,US,AS52485 
168.196.237.0,168.196.239.255,isp,CA,AS52485 
168.196.240.0,168.196.240.255,business,US,AS263744 
168.196.241.0,168.196.243.255,business,CH,AS263744 
168.196.244.0,168.196.247.255,isp,AR,AS263801 
168.196.248.0,168.196.251.255,isp,BR,AS265474 
168.196.252.0,168.196.255.255,isp,AR,AS27976 
