168.253.0.0,168.253.31.255,isp,LR 
168.253.32.0,168.253.43.255,isp,ZW 
168.253.44.0,168.253.48.255,isp,AE 
168.253.49.0,168.253.55.255,isp,ZW 
168.253.56.0,168.253.63.255,business,ZW 
168.253.64.0,168.253.95.255,isp,ZA 
168.253.96.0,168.253.111.255,isp,DZ 
168.253.112.0,168.253.112.96,isp,NG 
168.253.112.97,168.253.112.97,business,NG 
168.253.112.98,168.253.113.22,isp,NG 
168.253.113.23,168.253.113.23,business,NG 
168.253.113.24,168.253.113.52,isp,NG 
168.253.113.53,168.253.113.53,isp,NI 
168.253.113.54,168.253.113.54,isp,NG 
168.253.113.55,168.253.113.56,business,NG 
168.253.113.57,168.253.113.61,isp,NG 
168.253.113.62,168.253.113.62,business,NG 
168.253.113.63,168.253.113.63,isp,NG 
168.253.113.64,168.253.113.86,business,NG 
168.253.113.87,168.253.113.87,isp,NG 
168.253.113.88,168.253.113.110,business,NG 
168.253.113.111,168.253.113.143,isp,NG 
168.253.113.144,168.253.113.155,business,NG 
168.253.113.156,168.253.114.38,isp,NG 
168.253.114.39,168.253.114.39,business,NG 
168.253.114.40,168.253.116.1,isp,NG 
168.253.116.2,168.253.116.2,business,NG 
168.253.116.3,168.253.116.3,business,NE 
168.253.116.4,168.253.116.9,business,NG 
168.253.116.10,168.253.116.10,isp,NG 
168.253.116.11,168.253.116.53,business,NG 
168.253.116.54,168.253.116.54,isp,NG 
168.253.116.55,168.253.116.185,business,NG 
168.253.116.186,168.253.116.186,isp,NG 
168.253.116.187,168.253.116.241,business,NG 
168.253.116.242,168.253.116.242,isp,NG 
168.253.116.243,168.253.116.251,business,NG 
168.253.116.252,168.253.117.1,isp,NG 
168.253.117.2,168.253.117.14,business,NG 
168.253.117.15,168.253.117.15,isp,NG 
168.253.117.16,168.253.117.16,business,NG 
168.253.117.17,168.253.117.17,isp,NG 
168.253.117.18,168.253.117.33,business,NG 
168.253.117.34,168.253.117.34,isp,NG 
168.253.117.35,168.253.117.39,business,NG 
168.253.117.40,168.253.117.40,isp,NG 
168.253.117.41,168.253.117.55,business,NG 
168.253.117.56,168.253.117.56,isp,NG 
168.253.117.57,168.253.117.72,business,NG 
168.253.117.73,168.253.117.74,isp,NG 
168.253.117.75,168.253.117.75,business,NG 
168.253.117.76,168.253.117.76,isp,NG 
168.253.117.77,168.253.117.97,business,NG 
168.253.117.98,168.253.117.98,isp,NG 
168.253.117.99,168.253.117.175,business,NG 
168.253.117.176,168.253.117.176,isp,NG 
168.253.117.177,168.253.117.210,business,NG 
168.253.117.211,168.253.117.211,isp,NG 
168.253.117.212,168.253.117.220,business,NG 
168.253.117.221,168.253.117.221,isp,NG 
168.253.117.222,168.253.117.249,business,NG 
168.253.117.250,168.253.117.250,isp,NG 
168.253.117.251,168.253.117.254,business,NG 
168.253.117.255,168.253.118.1,isp,NG 
168.253.118.2,168.253.118.33,business,NG 
168.253.118.34,168.253.118.34,isp,NG 
168.253.118.35,168.253.118.99,business,NG 
168.253.118.100,168.253.118.100,isp,NG 
168.253.118.101,168.253.118.165,business,NG 
168.253.118.166,168.253.118.166,isp,NG 
168.253.118.167,168.253.118.204,business,NG 
168.253.118.205,168.253.119.216,isp,NG 
168.253.119.217,168.253.119.220,business,NG 
168.253.119.221,168.253.119.255,isp,NG 
168.253.120.0,168.253.120.255,hosting,ZA 
168.253.121.0,168.253.123.255,business,ZA 
168.253.124.0,168.253.125.255,isp,ZA 
168.253.126.0,168.253.127.255,business,ZA 
168.253.128.0,168.253.191.255,business,RE 
168.253.192.0,168.253.207.255,isp,ZA 
168.253.208.0,168.253.215.255,isp,NG 
168.253.216.0,168.253.223.255,business,ZA 
168.253.224.0,168.253.235.255,business,MW 
168.253.236.0,168.253.244.255,isp,MW 
168.253.245.0,168.253.245.255,business,MW 
168.253.246.0,168.253.247.255,isp,MW 
168.253.248.0,168.253.251.255,business,MW 
168.253.252.0,168.253.255.255,isp,MW 
