91.190.198.192,91.190.199.15,isp,FI,AS51728 
91.190.199.16,91.190.199.31,business,FI,AS51728 
91.190.199.32,91.190.199.55,isp,FI,AS51728 
91.190.199.56,91.190.199.71,business,FI,AS51728 
91.190.199.72,91.190.199.95,isp,FI,AS51728 
91.190.199.96,91.190.199.111,business,FI,AS51728 
91.190.199.112,91.190.199.115,isp,FI,AS51728 
91.190.199.116,91.190.199.119,business,FI,AS51728 
91.190.199.120,91.190.199.127,isp,FI,AS51728 
91.190.199.128,91.190.199.135,business,FI,AS51728 
91.190.199.136,91.190.199.143,isp,FI,AS51728 
91.190.199.144,91.190.199.147,business,FI,AS51728 
91.190.199.148,91.190.199.159,isp,FI,AS51728 
91.190.199.160,91.190.199.175,business,FI,AS51728 
91.190.199.176,91.190.199.187,isp,FI,AS51728 
91.190.199.188,91.190.199.207,business,FI,AS51728 
91.190.199.208,91.190.199.227,isp,FI,AS51728 
91.190.199.228,91.190.199.235,business,FI,AS51728 
91.190.199.236,91.190.199.255,isp,FI,AS51728 
91.190.200.0,91.190.200.31,business,DE,AS15451 
91.190.200.32,91.190.200.47,isp,DE,AS15451 
91.190.200.48,91.190.207.255,business,DE,AS15451 
91.190.208.0,91.190.208.255,business,BE,AS28704 
91.190.209.0,91.190.215.255,isp,BE,AS28704 
91.190.216.0,91.190.217.255,business,LU, 
91.190.218.0,91.190.220.255,business,IE, 
91.190.221.0,91.190.223.255,business,LU, 
91.190.224.0,91.190.224.31,hosting,DE,AS42184 
91.190.224.32,91.190.224.63,business,DE,AS42184 
91.190.224.64,91.190.224.87,hosting,DE,AS42184 
91.190.224.88,91.190.224.91,business,DE,AS42184 
91.190.224.92,91.190.224.95,hosting,DE,AS42184 
91.190.224.96,91.190.224.99,business,DE,AS42184 
91.190.224.100,91.190.224.103,hosting,DE,AS42184 
91.190.224.104,91.190.224.127,business,DE,AS42184 
91.190.224.128,91.190.224.191,hosting,DE,AS42184 
91.190.224.192,91.190.224.199,isp,DE,AS42184 
91.190.224.200,91.190.224.207,hosting,DE,AS42184 
91.190.224.208,91.190.224.223,isp,DE,AS42184 
91.190.224.224,91.190.224.239,hosting,DE,AS42184 
91.190.224.240,91.190.225.31,business,DE,AS42184 
91.190.225.32,91.190.225.95,hosting,DE,AS42184 
91.190.225.96,91.190.225.107,isp,DE,AS42184 
91.190.225.108,91.190.225.111,hosting,DE,AS42184 
91.190.225.112,91.190.225.119,business,DE,AS42184 
91.190.225.120,91.190.225.127,hosting,DE,AS42184 
91.190.225.128,91.190.225.135,business,DE,AS42184 
91.190.225.136,91.190.225.143,isp,DE,AS42184 
91.190.225.144,91.190.225.191,hosting,DE,AS42184 
91.190.225.192,91.190.225.223,business,DE,AS42184 
91.190.225.224,91.190.225.247,hosting,DE,AS42184 
91.190.225.248,91.190.226.7,business,DE,AS42184 
91.190.226.8,91.190.226.15,isp,DE,AS42184 
91.190.226.16,91.190.226.39,business,DE,AS42184 
91.190.226.40,91.190.226.47,isp,DE,AS42184 
91.190.226.48,91.190.226.55,business,DE,AS42184 
91.190.226.56,91.190.226.63,hosting,DE,AS42184 
91.190.226.64,91.190.226.71,business,DE,AS42184 
91.190.226.72,91.190.226.79,isp,DE,AS42184 
91.190.226.80,91.190.226.103,business,DE,AS42184 
91.190.226.104,91.190.226.111,isp,DE,AS42184 
91.190.226.112,91.190.226.119,hosting,DE,AS42184 
91.190.226.120,91.190.226.135,business,DE,AS42184 
91.190.226.136,91.190.226.159,hosting,DE,AS42184 
91.190.226.160,91.190.226.167,isp,DE,AS42184 
91.190.226.168,91.190.226.183,hosting,DE,AS42184 
91.190.226.184,91.190.226.199,business,DE,AS42184 
91.190.226.200,91.190.226.207,isp,DE,AS42184 
91.190.226.208,91.190.226.215,hosting,DE,AS42184 
91.190.226.216,91.190.226.239,business,DE,AS42184 
91.190.226.240,91.190.226.247,isp,DE,AS42184 
91.190.226.248,91.190.227.39,business,DE,AS42184 
91.190.227.40,91.190.227.63,hosting,DE,AS42184 
91.190.227.64,91.190.227.71,business,DE,AS42184 
91.190.227.72,91.190.227.79,hosting,DE,AS42184 
91.190.227.80,91.190.227.87,business,DE,AS42184 
91.190.227.88,91.190.227.95,hosting,DE,AS42184 
91.190.227.96,91.190.227.103,business,DE,AS42184 
91.190.227.104,91.190.227.111,isp,DE,AS42184 
91.190.227.112,91.190.227.127,hosting,DE,AS42184 
91.190.227.128,91.190.227.199,business,DE,AS42184 
91.190.227.200,91.190.227.215,hosting,DE,AS42184 
91.190.227.216,91.190.227.223,isp,DE,AS42184 
91.190.227.224,91.190.227.239,business,DE,AS42184 
91.190.227.240,91.190.228.15,hosting,DE,AS42184 
91.190.228.16,91.190.228.63,isp,DE,AS42184 
91.190.228.64,91.190.228.191,hosting,DE,AS42184 
91.190.228.192,91.190.228.199,business,DE,AS42184 
91.190.228.200,91.190.228.207,hosting,DE,AS42184 
91.190.228.208,91.190.228.215,isp,DE,AS42184 
91.190.228.216,91.190.228.223,hosting,DE,AS42184 
91.190.228.224,91.190.228.231,isp,DE,AS42184 
91.190.228.232,91.190.228.239,hosting,DE,AS42184 
91.190.228.240,91.190.228.255,isp,DE,AS42184 
91.190.229.0,91.190.229.15,hosting,DE,AS42184 
91.190.229.16,91.190.229.23,business,DE,AS42184 
91.190.229.24,91.190.229.39,isp,DE,AS42184 
91.190.229.40,91.190.229.47,business,DE,AS42184 
91.190.229.48,91.190.229.55,hosting,DE,AS42184 
91.190.229.56,91.190.229.71,business,DE,AS42184 
91.190.229.72,91.190.229.87,hosting,DE,AS42184 
91.190.229.88,91.190.229.95,isp,DE,AS42184 
91.190.229.96,91.190.229.127,business,DE,AS42184 
91.190.229.128,91.190.229.135,isp,DE,AS42184 
91.190.229.136,91.190.229.143,hosting,DE,AS42184 
91.190.229.144,91.190.229.151,business,DE,AS42184 
91.190.229.152,91.190.229.167,isp,DE,AS42184 
91.190.229.168,91.190.229.175,business,DE,AS42184 
91.190.229.176,91.190.229.191,hosting,DE,AS42184 
91.190.229.192,91.190.229.255,business,DE,AS42184 
91.190.230.0,91.190.230.47,hosting,DE,AS42184 
91.190.230.48,91.190.230.63,business,DE,AS42184 
91.190.230.64,91.190.230.79,education,DE,AS42184 
91.190.230.80,91.190.230.127,business,DE,AS42184 
91.190.230.128,91.190.230.143,hosting,DE,AS42184 
91.190.230.144,91.190.230.151,business,DE,AS42184 
91.190.230.152,91.190.230.159,hosting,DE,AS42184 
91.190.230.160,91.190.230.167,business,DE,AS42184 
91.190.230.168,91.190.230.183,hosting,DE,AS42184 
91.190.230.184,91.190.230.207,business,DE,AS42184 
91.190.230.208,91.190.230.211,hosting,DE,AS42184 
91.190.230.212,91.190.230.215,isp,DE,AS42184 
91.190.230.216,91.190.230.255,hosting,DE,AS42184 
91.190.231.0,91.190.231.15,business,DE,AS42184 
91.190.231.16,91.190.231.19,hosting,DE,AS42184 
91.190.231.20,91.190.231.23,business,DE,AS42184 
91.190.231.24,91.190.231.31,hosting,DE,AS42184 
91.190.231.32,91.190.231.47,business,DE,AS42184 
91.190.231.48,91.190.231.87,hosting,DE,AS42184 
91.190.231.88,91.190.231.95,isp,DE,AS42184 
91.190.231.96,91.190.231.111,business,DE,AS42184 
91.190.231.112,91.190.231.143,hosting,DE,AS42184 
91.190.231.144,91.190.231.151,isp,DE,AS42184 
91.190.231.152,91.190.231.159,education,DE,AS42184 
91.190.231.160,91.190.231.167,hosting,DE,AS42184 
91.190.231.168,91.190.231.175,business,DE,AS42184 
91.190.231.176,91.190.231.183,hosting,DE,AS42184 
91.190.231.184,91.190.231.199,business,DE,AS42184 
91.190.231.200,91.190.231.223,hosting,DE,AS42184 
91.190.231.224,91.190.231.231,business,DE,AS42184 
91.190.231.232,91.190.231.239,isp,DE,AS42184 
91.190.231.240,91.190.231.255,hosting,DE,AS42184 
91.190.232.0,91.190.233.255,isp,RU,AS42187 
91.190.234.0,91.190.234.31,business,RU,AS42187 
91.190.234.32,91.190.234.63,isp,RU,AS42187 
91.190.234.64,91.190.234.127,business,RU,AS42187 
91.190.234.128,91.190.235.255,isp,RU,AS42187 
91.190.236.0,91.190.239.255,isp,RU,AS196695 
91.190.240.0,91.190.247.255,business,DE,AS24940 
91.190.248.0,91.190.255.255,isp,EU, 
