91.138.0.0,91.138.47.255,isp,CH,AS15600 
91.138.48.0,91.138.55.255,business,CH,AS15600 
91.138.56.0,91.138.95.255,isp,CH,AS15600 
91.138.96.0,91.138.103.255,business,CH,AS15600 
91.138.104.0,91.138.109.255,isp,CH,AS15600 
91.138.110.0,91.138.127.127,business,CH,AS15600 
91.138.127.128,91.138.127.159,isp,CH,AS15600 
91.138.127.160,91.138.127.255,business,CH,AS15600 
91.138.128.0,91.138.161.239,isp,GR,AS3329 
91.138.161.240,91.138.161.247,business,GR,AS3329 
91.138.161.248,91.138.162.191,isp,GR,AS3329 
91.138.162.192,91.138.162.207,business,GR,AS3329 
91.138.162.208,91.138.164.15,isp,GR,AS3329 
91.138.164.16,91.138.164.23,business,GR,AS3329 
91.138.164.24,91.138.164.135,isp,GR,AS3329 
91.138.164.136,91.138.164.143,business,GR,AS3329 
91.138.164.144,91.138.165.151,isp,GR,AS3329 
91.138.165.152,91.138.165.159,business,GR,AS3329 
91.138.165.160,91.138.172.47,isp,GR,AS3329 
91.138.172.48,91.138.172.55,business,GR,AS3329 
91.138.172.56,91.138.172.63,isp,GR,AS3329 
91.138.172.64,91.138.172.79,business,GR,AS3329 
91.138.172.80,91.138.173.255,isp,GR,AS3329 
91.138.174.0,91.138.174.63,business,GR,AS3329 
91.138.174.64,91.138.255.255,isp,GR,AS3329 
