91.244.0.0,91.244.63.255,isp,UA 
91.244.64.0,91.244.67.255,isp,RU 
91.244.68.0,91.244.68.255,business,NL 
91.244.69.0,91.244.69.255,isp,UA 
91.244.70.0,91.244.71.255,business,PL 
91.244.72.0,91.244.79.255,isp,RU 
91.244.80.0,91.244.95.255,hosting,RU 
91.244.96.0,91.244.111.255,isp,KZ 
91.244.112.0,91.244.115.255,isp,RU 
91.244.116.0,91.244.116.255,business,TR 
91.244.117.0,91.244.117.255,hosting,GB 
91.244.118.0,91.244.119.255,business,UA 
91.244.120.0,91.244.123.255,isp,IR 
91.244.124.0,91.244.124.255,business,UA 
91.244.125.0,91.244.125.255,business,DE 
91.244.126.0,91.244.126.255,business,FI 
91.244.127.0,91.244.127.255,business,UA 
91.244.128.0,91.244.159.255,business,RU 
91.244.160.0,91.244.167.255,isp,RU 
91.244.168.0,91.244.179.255,business,RU 
91.244.180.0,91.244.180.255,hosting,DE 
91.244.181.0,91.244.181.255,business,GB 
91.244.182.0,91.244.182.255,business,PL 
91.244.183.0,91.244.183.255,hosting,RU 
91.244.184.0,91.244.191.255,isp,PL 
91.244.192.0,91.244.192.71,hosting,GB 
91.244.192.72,91.244.192.79,business,GB 
91.244.192.80,91.244.192.87,hosting,GB 
91.244.192.88,91.244.192.103,business,GB 
91.244.192.104,91.244.192.111,hosting,GB 
91.244.192.112,91.244.192.119,business,GB 
91.244.192.120,91.244.193.7,hosting,GB 
91.244.193.8,91.244.193.15,business,GB 
91.244.193.16,91.244.193.39,hosting,GB 
91.244.193.40,91.244.193.47,education,GB 
91.244.193.48,91.244.193.63,hosting,GB 
91.244.193.64,91.244.193.95,business,GB 
91.244.193.96,91.244.193.255,hosting,GB 
91.244.194.0,91.244.194.255,business,GB 
91.244.195.0,91.244.195.255,hosting,GB 
91.244.196.0,91.244.196.127,isp,GB 
91.244.196.128,91.244.196.255,hosting,GB 
91.244.197.0,91.244.197.255,hosting,LT 
91.244.198.0,91.244.198.255,hosting,GB 
91.244.199.0,91.244.199.255,business,US 
91.244.200.0,91.244.203.255,business,FR 
91.244.204.0,91.244.207.255,business,NL 
91.244.208.0,91.244.223.255,isp,PL 
91.244.224.0,91.244.224.255,business,NL 
91.244.225.0,91.244.225.255,hosting,PL 
91.244.226.0,91.244.227.255,isp,TR 
91.244.228.0,91.244.228.255,isp,NL 
91.244.229.0,91.244.229.255,government,GB 
91.244.230.0,91.244.231.255,isp,PL 
91.244.232.0,91.244.235.255,business,RU 
91.244.236.0,91.244.237.255,isp,GB 
91.244.238.0,91.244.238.255,hosting,FR 
91.244.239.0,91.244.239.255,business,GB 
91.244.240.0,91.244.242.255,isp,RU 
91.244.243.0,91.244.244.255,business,RU 
91.244.245.0,91.244.245.255,hosting,GB 
91.244.246.0,91.244.246.255,business,ES 
91.244.247.0,91.244.247.255,hosting,RO 
91.244.248.0,91.244.251.255,business,PL 
91.244.252.0,91.244.255.255,isp,RU 
