91.133.0.0,91.133.31.255,isp,RU,AS48166 
91.133.32.0,91.133.63.255,business,DK,AS196976 
91.133.64.0,91.133.64.15,isp,AT,AS8445 
91.133.64.16,91.133.64.31,business,AT,AS8445 
91.133.64.32,91.133.66.79,isp,AT,AS8445 
91.133.66.80,91.133.66.95,business,AT,AS8445 
91.133.66.96,91.133.67.223,isp,AT,AS8445 
91.133.67.224,91.133.67.255,business,AT,AS8445 
91.133.68.0,91.133.68.31,isp,AT,AS8445 
91.133.68.32,91.133.68.47,business,AT,AS8445 
91.133.68.48,91.133.70.47,isp,AT,AS8445 
91.133.70.48,91.133.70.111,business,AT,AS8445 
91.133.70.112,91.133.71.47,isp,AT,AS8445 
91.133.71.48,91.133.71.63,business,AT,AS8445 
91.133.71.64,91.133.74.127,isp,AT,AS8445 
91.133.74.128,91.133.74.159,business,AT,AS8445 
91.133.74.160,91.133.75.63,isp,AT,AS8445 
91.133.75.64,91.133.75.79,business,AT,AS8445 
91.133.75.80,91.133.75.191,isp,AT,AS8445 
91.133.75.192,91.133.75.207,business,AT,AS8445 
91.133.75.208,91.133.76.79,isp,AT,AS8445 
91.133.76.80,91.133.76.94,business,AT,AS8445 
91.133.76.95,91.133.80.143,isp,AT,AS8445 
91.133.80.144,91.133.80.159,business,AT,AS8445 
91.133.80.160,91.133.81.207,isp,AT,AS8445 
91.133.81.208,91.133.81.223,business,AT,AS8445 
91.133.81.224,91.133.84.127,isp,AT,AS8445 
91.133.84.128,91.133.84.159,business,AT,AS8445 
91.133.84.160,91.133.127.255,isp,AT,AS8445 
91.133.128.0,91.133.255.255,isp,IR,AS197207 
