138.128.0.0,138.128.36.255,business,US, 
138.128.37.0,138.128.37.255,business,GB, 
138.128.38.0,138.128.127.255,business,US, 
138.128.128.0,138.128.129.255,isp,US, 
138.128.130.0,138.128.131.255,isp,US,AS7459 
138.128.132.0,138.128.135.255,hosting,PA,AS136787 
138.128.136.0,138.128.136.255,hosting,US,AS49544 
138.128.137.0,138.128.137.31,hosting,NL,AS49544 
138.128.137.32,138.128.137.47,hosting,US,AS49544 
138.128.137.48,138.128.137.63,hosting,NL,AS49544 
138.128.137.64,138.128.137.95,hosting,US,AS49544 
138.128.137.96,138.128.137.127,hosting,NL,AS49544 
138.128.137.128,138.128.137.191,hosting,US,AS49544 
138.128.137.192,138.128.137.223,hosting,NL,AS49544 
138.128.137.224,138.128.137.255,hosting,US,AS49544 
138.128.138.0,138.128.138.31,hosting,NL,AS49544 
138.128.138.32,138.128.138.127,hosting,US,AS49544 
138.128.138.128,138.128.138.191,hosting,NL,AS49544 
138.128.138.192,138.128.138.223,hosting,US,AS49544 
138.128.138.224,138.128.138.255,hosting,NL,AS49544 
138.128.139.0,138.128.139.143,hosting,US,AS49544 
138.128.139.144,138.128.139.151,hosting,NL,AS49544 
138.128.139.152,138.128.140.191,hosting,US,AS49544 
138.128.140.192,138.128.140.223,hosting,NL,AS49544 
138.128.140.224,138.128.141.15,hosting,US,AS49544 
138.128.141.16,138.128.141.23,hosting,NL,AS49544 
138.128.141.24,138.128.141.31,hosting,US,AS49544 
138.128.141.32,138.128.141.63,hosting,NL,AS49544 
138.128.141.64,138.128.141.223,hosting,US,AS49544 
138.128.141.224,138.128.142.191,hosting,NL,AS49544 
138.128.142.192,138.128.142.255,hosting,US,AS49544 
138.128.143.0,138.128.143.63,hosting,NL,AS49544 
138.128.143.64,138.128.143.95,hosting,US,AS49544 
138.128.143.96,138.128.143.255,hosting,NL,AS49544 
138.128.144.0,138.128.144.255,hosting,US,AS13886 
138.128.145.0,138.128.145.255,hosting,AT,AS133944 
138.128.146.0,138.128.147.255,hosting,ES,AS13886 
138.128.148.0,138.128.148.255,business,DE,AS202044 
138.128.149.0,138.128.149.255,hosting,ES,AS13886 
138.128.150.0,138.128.150.255,business,US,AS13886 
138.128.151.0,138.128.151.255,hosting,GB,AS212238 
138.128.152.0,138.128.159.255,business,GB,AS7029 
138.128.160.0,138.128.162.15,hosting,US,AS33182 
138.128.162.16,138.128.162.23,education,US,AS33182 
138.128.162.24,138.128.162.191,hosting,US,AS33182 
138.128.162.192,138.128.162.199,hosting,LK,AS33182 
138.128.162.200,138.128.162.255,hosting,US,AS33182 
138.128.163.0,138.128.163.7,hosting,MX,AS33182 
138.128.163.8,138.128.163.63,hosting,US,AS33182 
138.128.163.64,138.128.163.71,hosting,AF,AS33182 
138.128.163.72,138.128.167.71,hosting,US,AS33182 
138.128.167.72,138.128.167.79,hosting,MX,AS33182 
138.128.167.80,138.128.167.87,hosting,US,AS33182 
138.128.167.88,138.128.167.95,education,US,AS33182 
138.128.167.96,138.128.167.167,hosting,US,AS33182 
138.128.167.168,138.128.167.175,hosting,SA,AS33182 
138.128.167.176,138.128.168.151,hosting,US,AS33182 
138.128.168.152,138.128.168.159,education,US,AS33182 
138.128.168.160,138.128.169.255,hosting,US,AS33182 
138.128.170.0,138.128.170.7,hosting,AF,AS33182 
138.128.170.8,138.128.170.63,hosting,US,AS33182 
138.128.170.64,138.128.170.71,education,US,AS33182 
138.128.170.72,138.128.170.135,hosting,US,AS33182 
138.128.170.136,138.128.170.143,hosting,AE,AS33182 
138.128.170.144,138.128.173.215,hosting,US,AS33182 
138.128.173.216,138.128.173.223,education,US,AS33182 
138.128.173.224,138.128.174.111,hosting,US,AS33182 
138.128.174.112,138.128.174.119,education,US,AS33182 
138.128.174.120,138.128.175.23,hosting,US,AS33182 
138.128.175.24,138.128.175.31,education,US,AS33182 
138.128.175.32,138.128.175.119,hosting,US,AS33182 
138.128.175.120,138.128.175.127,hosting,AF,AS33182 
138.128.175.128,138.128.176.255,hosting,US,AS33182 
138.128.177.0,138.128.177.35,business,US,AS33182 
138.128.177.36,138.128.178.39,hosting,US,AS33182 
138.128.178.40,138.128.178.47,hosting,LK,AS33182 
138.128.178.48,138.128.179.143,hosting,US,AS33182 
138.128.179.144,138.128.179.151,education,US,AS33182 
138.128.179.152,138.128.180.91,hosting,US,AS33182 
138.128.180.92,138.128.180.95,hosting,IN,AS33182 
138.128.180.96,138.128.180.183,hosting,US,AS33182 
138.128.180.184,138.128.180.191,hosting,IN,AS33182 
138.128.180.192,138.128.181.207,hosting,US,AS33182 
138.128.181.208,138.128.181.215,hosting,SA,AS33182 
138.128.181.216,138.128.183.103,hosting,US,AS33182 
138.128.183.104,138.128.183.111,isp,US,AS33182 
138.128.183.112,138.128.184.63,hosting,US,AS33182 
138.128.184.64,138.128.184.127,business,US,AS33182 
138.128.184.128,138.128.185.127,hosting,US,AS33182 
138.128.185.128,138.128.185.255,hosting,BR,AS33182 
138.128.186.0,138.128.186.39,hosting,US,AS33182 
138.128.186.40,138.128.186.47,education,US,AS33182 
138.128.186.48,138.128.188.71,hosting,US,AS33182 
138.128.188.72,138.128.188.79,education,US,AS33182 
138.128.188.80,138.128.189.23,hosting,US,AS33182 
