31.184.0.0,31.184.63.255,isp,DE,AS9145 
31.184.64.0,31.184.127.255,isp,NL,AS50266 
31.184.128.0,31.184.129.255,hosting,IR,AS51074 
31.184.130.0,31.184.131.255,education,IR,AS57292 
31.184.132.0,31.184.163.255,hosting,IR,AS51074 
31.184.164.0,31.184.164.255,business,IR,AS21170 
31.184.165.0,31.184.173.255,hosting,IR,AS51074 
31.184.174.0,31.184.174.255,business,IR,AS51074 
31.184.175.0,31.184.191.255,hosting,IR,AS51074 
31.184.192.0,31.184.199.255,hosting,RU,AS34665 
31.184.200.0,31.184.203.255,business,RU,AS210756 
31.184.204.0,31.184.204.255,hosting,RU,AS210756 
31.184.205.0,31.184.205.255,business,RU, 
31.184.206.0,31.184.206.255,hosting,NL,AS202422 
31.184.207.0,31.184.207.255,hosting,JP,AS199524 
31.184.208.0,31.184.209.255,hosting,RU,AS49505 
31.184.210.0,31.184.211.255,business,RU,AS49505 
31.184.212.0,31.184.212.255,business,RU,AS50340 
31.184.213.0,31.184.213.255,hosting,RU,AS50340 
31.184.214.0,31.184.214.255,business,RU,AS49505 
31.184.215.0,31.184.215.255,hosting,RU,AS49505 
31.184.216.0,31.184.216.255,business,RU,AS50340 
31.184.217.0,31.184.227.255,hosting,RU,AS49505 
31.184.228.0,31.184.229.255,hosting,RU,AS34665 
31.184.230.0,31.184.230.255,isp,RU,AS43696 
31.184.231.0,31.184.231.255,hosting,RU,AS34665 
31.184.232.0,31.184.235.255,hosting,AM,AS201589 
31.184.236.0,31.184.236.255,hosting,CZ,AS198620 
31.184.237.0,31.184.237.255,business,RU,AS47528 
31.184.238.0,31.184.239.255,business,RU,AS34665 
31.184.240.0,31.184.241.255,business,RU,AS202984 
31.184.242.0,31.184.242.255,hosting,NL,AS52000 
31.184.243.0,31.184.243.255,business,RU,AS34665 
31.184.244.0,31.184.247.255,business,LU, 
31.184.248.0,31.184.255.255,hosting,RU,AS49505 
