31.130.0.0,31.130.31.255,isp,RU,AS51032 
31.130.32.0,31.130.63.255,isp,RU,AS49583 
31.130.64.0,31.130.95.255,isp,RU,AS15673 
31.130.96.0,31.130.111.255,isp,PL,AS56709 
31.130.112.0,31.130.119.255,isp,RU,AS52043 
31.130.120.0,31.130.127.255,isp,RU,AS56676 
31.130.128.0,31.130.135.255,isp,RU,AS34602 
31.130.136.0,31.130.136.255,hosting,KZ,AS215947 
31.130.137.0,31.130.137.255,isp,RU,AS56701 
31.130.138.0,31.130.138.255,hosting,RU,AS215455 
31.130.139.0,31.130.139.255,hosting,RU,AS215394 
31.130.140.0,31.130.143.255,hosting,RU,AS207986 
31.130.144.0,31.130.151.255,isp,RU,AS34602 
31.130.152.0,31.130.155.255,business,RU, 
31.130.156.0,31.130.157.255,isp,RU,AS49107 
31.130.158.0,31.130.158.255,hosting,RU,AS204898 
31.130.159.0,31.130.159.255,business,RU,AS199866 
31.130.160.0,31.130.167.255,isp,SK,AS56747 
31.130.168.0,31.130.175.255,business,CZ,AS214945 
31.130.176.0,31.130.191.255,business,IR,AS49100 
31.130.192.0,31.130.199.255,isp,RU,AS57123 
31.130.200.0,31.130.207.255,hosting,BY,AS56740 
31.130.208.0,31.130.215.255,business,GB,AS201284 
31.130.216.0,31.130.223.255,business,PL,AS39507 
31.130.224.0,31.130.239.255,business,CH,AS56554 
31.130.240.0,31.130.241.255,business,GB,AS2856 
31.130.242.0,31.130.243.255,isp,IT,AS206273 
31.130.244.0,31.130.244.255,business,IT,AS209854 
31.130.245.0,31.130.245.255,hosting,IT,AS209854 
31.130.246.0,31.130.247.255,isp,IT,AS206273 
31.130.248.0,31.130.255.255,isp,RU,AS51158 
