31.223.0.0,31.223.34.39,isp,TR 
31.223.34.40,31.223.34.47,business,TR 
31.223.34.48,31.223.47.7,isp,TR 
31.223.47.8,31.223.47.11,business,TR 
31.223.47.12,31.223.113.255,isp,TR 
31.223.114.0,31.223.114.31,business,TR 
31.223.114.32,31.223.117.71,isp,TR 
31.223.117.72,31.223.117.95,business,TR 
31.223.117.96,31.223.117.103,isp,TR 
31.223.117.104,31.223.117.111,business,TR 
31.223.117.112,31.223.117.143,isp,TR 
31.223.117.144,31.223.117.159,business,TR 
31.223.117.160,31.223.127.255,isp,TR 
31.223.128.0,31.223.159.255,isp,BA 
31.223.160.0,31.223.160.95,isp,NL 
31.223.160.96,31.223.160.103,business,NL 
31.223.160.104,31.223.160.191,isp,NL 
31.223.160.192,31.223.160.199,business,NL 
31.223.160.200,31.223.160.223,isp,NL 
31.223.160.224,31.223.160.231,business,NL 
31.223.160.232,31.223.161.71,isp,NL 
31.223.161.72,31.223.161.103,business,NL 
31.223.161.104,31.223.161.111,isp,NL 
31.223.161.112,31.223.161.119,business,NL 
31.223.161.120,31.223.161.183,isp,NL 
31.223.161.184,31.223.161.191,business,NL 
31.223.161.192,31.223.162.207,isp,NL 
31.223.162.208,31.223.162.215,business,NL 
31.223.162.216,31.223.163.95,isp,NL 
31.223.163.96,31.223.163.111,business,NL 
31.223.163.112,31.223.163.127,isp,NL 
31.223.163.128,31.223.163.147,business,NL 
31.223.163.148,31.223.163.175,isp,NL 
31.223.163.176,31.223.163.183,business,NL 
31.223.163.184,31.223.163.215,isp,NL 
31.223.163.216,31.223.163.223,business,NL 
31.223.163.224,31.223.164.87,isp,NL 
31.223.164.88,31.223.164.95,business,NL 
31.223.164.96,31.223.165.39,isp,NL 
31.223.165.40,31.223.165.47,business,NL 
31.223.165.48,31.223.165.79,isp,NL 
31.223.165.80,31.223.165.95,business,NL 
31.223.165.96,31.223.165.175,isp,NL 
31.223.165.176,31.223.165.191,business,NL 
31.223.165.192,31.223.165.239,isp,NL 
31.223.165.240,31.223.165.247,business,NL 
31.223.165.248,31.223.166.7,isp,NL 
31.223.166.8,31.223.166.15,business,NL 
31.223.166.16,31.223.166.47,isp,NL 
31.223.166.48,31.223.166.55,business,NL 
31.223.166.56,31.223.166.223,isp,NL 
31.223.166.224,31.223.166.231,business,NL 
31.223.166.232,31.223.168.255,isp,NL 
31.223.169.0,31.223.169.63,business,NL 
31.223.169.64,31.223.169.111,isp,NL 
31.223.169.112,31.223.169.191,business,NL 
31.223.169.192,31.223.169.223,isp,NL 
31.223.169.224,31.223.169.231,business,NL 
31.223.169.232,31.223.169.255,isp,NL 
31.223.170.0,31.223.170.31,business,NL 
31.223.170.32,31.223.170.47,isp,NL 
31.223.170.48,31.223.170.51,business,NL 
31.223.170.52,31.223.170.111,isp,NL 
31.223.170.112,31.223.170.127,business,NL 
31.223.170.128,31.223.170.183,isp,NL 
31.223.170.184,31.223.170.191,business,NL 
31.223.170.192,31.223.170.255,isp,NL 
31.223.171.0,31.223.171.255,business,NL 
31.223.172.0,31.223.173.127,isp,NL 
31.223.173.128,31.223.173.143,business,NL 
