31.171.8.0,31.171.15.255,business,AZ 
31.171.16.0,31.171.95.255,isp,AZ 
31.171.96.0,31.171.103.255,hosting,AZ 
31.171.104.0,31.171.111.255,isp,AZ 
31.171.112.0,31.171.127.255,hosting,AZ 
31.171.128.0,31.171.128.255,hosting,NL 
31.171.129.0,31.171.129.255,hosting,JP 
31.171.130.0,31.171.130.255,hosting,GB 
31.171.131.0,31.171.131.255,hosting,NL 
31.171.132.0,31.171.135.255,isp,GB 
31.171.136.0,31.171.143.255,isp,IT 
31.171.144.0,31.171.144.255,isp,CH 
31.171.145.0,31.171.146.55,business,CH 
31.171.146.56,31.171.146.63,education,CH 
31.171.146.64,31.171.147.47,business,CH 
31.171.147.48,31.171.147.51,isp,CH 
31.171.147.52,31.171.147.59,business,CH 
31.171.147.60,31.171.147.63,isp,CH 
31.171.147.64,31.171.147.99,business,CH 
31.171.147.100,31.171.147.103,isp,CH 
31.171.147.104,31.171.147.119,business,CH 
31.171.147.120,31.171.147.127,isp,CH 
31.171.147.128,31.171.151.255,business,CH 
31.171.152.0,31.171.152.231,isp,AL 
31.171.152.232,31.171.152.247,business,AL 
31.171.152.248,31.171.154.15,isp,AL 
31.171.154.16,31.171.154.31,business,AL 
31.171.154.32,31.171.159.255,isp,AL 
31.171.160.0,31.171.161.255,business,KZ 
31.171.162.0,31.171.163.255,isp,KZ 
31.171.164.0,31.171.172.255,business,KZ 
31.171.173.0,31.171.180.255,isp,KZ 
31.171.181.0,31.171.182.255,business,KZ 
31.171.183.0,31.171.183.255,isp,KZ 
31.171.184.0,31.171.187.255,business,KZ 
31.171.188.0,31.171.190.255,isp,KZ 
31.171.191.0,31.171.191.255,business,KZ 
31.171.192.0,31.171.199.255,business,RU 
31.171.200.0,31.171.201.255,hosting,NL 
31.171.202.0,31.171.202.255,business,NL 
31.171.203.0,31.171.204.255,hosting,NL 
31.171.205.0,31.171.205.255,business,NL 
31.171.206.0,31.171.206.255,hosting,NL 
31.171.207.0,31.171.207.159,business,NL 
31.171.207.160,31.171.207.191,hosting,NL 
31.171.207.192,31.171.207.207,business,NL 
31.171.207.208,31.171.207.255,hosting,NL 
31.171.208.0,31.171.214.255,business,NL 
31.171.215.0,31.171.215.255,business,US 
31.171.216.0,31.171.223.255,isp,IR 
31.171.224.0,31.171.239.255,isp,HU 
31.171.240.0,31.171.255.255,hosting,CH 
