31.134.0.0,31.134.15.255,business,US,AS43444 
31.134.16.0,31.134.31.255,isp,RU,AS56592 
31.134.32.0,31.134.47.255,isp,RU,AS51428 
31.134.48.0,31.134.63.255,isp,PL,AS50467 
31.134.64.0,31.134.95.255,isp,UA,AS202103 
31.134.96.0,31.134.103.255,isp,SK,AS56656 
31.134.104.0,31.134.111.255,isp,UA,AS48323 
31.134.112.0,31.134.119.255,isp,UA,AS49561 
31.134.120.0,31.134.127.255,isp,UA,AS56668 
31.134.128.0,31.134.191.255,isp,RU,AS42668 
31.134.192.0,31.134.199.255,isp,RU,AS35539 
31.134.200.0,31.134.207.255,hosting,NL,AS51088 
31.134.208.0,31.134.215.255,isp,UA,AS56823 
31.134.216.0,31.134.223.255,isp,CZ,AS41030 
31.134.224.0,31.134.255.255,isp,RU,AS20485 
