82.210.0.0,82.210.63.255,hosting,FR 
82.210.64.0,82.210.95.255,isp,BE 
82.210.96.0,82.210.127.255,isp,NL 
82.210.128.0,82.210.191.255,business,RO 
82.210.192.0,82.210.201.255,isp,DE 
82.210.202.0,82.210.202.127,hosting,DE 
82.210.202.128,82.210.202.255,isp,DE 
82.210.203.0,82.210.203.255,hosting,DE 
82.210.204.0,82.210.204.255,isp,DE 
82.210.205.0,82.210.205.255,hosting,DE 
82.210.206.0,82.210.206.127,isp,DE 
82.210.206.128,82.210.208.127,hosting,DE 
82.210.208.128,82.210.210.255,isp,DE 
82.210.211.0,82.210.212.255,hosting,DE 
82.210.213.0,82.210.213.127,isp,DE 
82.210.213.128,82.210.213.159,hosting,DE 
82.210.213.160,82.210.213.175,isp,DE 
82.210.213.176,82.210.213.191,hosting,DE 
82.210.213.192,82.210.213.255,business,BE 
82.210.214.0,82.210.214.255,hosting,DE 
82.210.215.0,82.210.216.131,isp,DE 
82.210.216.132,82.210.216.255,hosting,DE 
82.210.217.0,82.210.218.255,isp,DE 
82.210.219.0,82.210.220.255,hosting,DE 
82.210.221.0,82.210.222.255,isp,DE 
82.210.223.0,82.210.227.63,business,DE 
82.210.227.64,82.210.227.159,hosting,DE 
82.210.227.160,82.210.227.175,business,DE 
82.210.227.176,82.210.227.223,hosting,DE 
82.210.227.224,82.210.227.255,business,DE 
82.210.228.0,82.210.228.63,hosting,DE 
82.210.228.64,82.210.228.95,business,DE 
82.210.228.96,82.210.228.103,business,FR 
82.210.228.104,82.210.228.143,business,DE 
82.210.228.144,82.210.228.151,hosting,DE 
82.210.228.152,82.210.228.175,business,DE 
82.210.228.176,82.210.228.183,hosting,DE 
82.210.228.184,82.210.229.31,business,DE 
82.210.229.32,82.210.229.63,hosting,DE 
82.210.229.64,82.210.229.207,business,DE 
82.210.229.208,82.210.229.215,hosting,DE 
82.210.229.216,82.210.230.127,business,DE 
82.210.230.128,82.210.230.191,hosting,DE 
82.210.230.192,82.210.231.63,business,DE 
82.210.231.64,82.210.231.127,hosting,DE 
82.210.231.128,82.210.231.255,business,DE 
82.210.232.0,82.210.232.7,hosting,DE 
82.210.232.8,82.210.232.15,business,DE 
82.210.232.16,82.210.232.23,hosting,DE 
82.210.232.24,82.210.232.31,business,DE 
82.210.232.32,82.210.232.127,hosting,DE 
82.210.232.128,82.210.232.151,business,DE 
82.210.232.152,82.210.233.255,hosting,DE 
82.210.234.0,82.210.235.255,business,DE 
82.210.236.0,82.210.236.255,hosting,DE 
82.210.237.0,82.210.237.15,business,DE 
82.210.237.16,82.210.237.23,hosting,DE 
82.210.237.24,82.210.237.31,business,DE 
82.210.237.32,82.210.237.255,hosting,DE 
82.210.238.0,82.210.238.63,business,DE 
82.210.238.64,82.210.238.127,business,AT 
82.210.238.128,82.210.238.215,hosting,DE 
82.210.238.216,82.210.238.223,business,DE 
82.210.238.224,82.210.242.255,hosting,DE 
82.210.243.0,82.210.243.191,business,DE 
82.210.243.192,82.210.246.111,hosting,DE 
82.210.246.112,82.210.246.119,business,DE 
82.210.246.120,82.210.246.191,hosting,DE 
82.210.246.192,82.210.246.199,business,DE 
82.210.246.200,82.210.247.255,hosting,DE 
82.210.248.0,82.210.248.255,business,AT 
82.210.249.0,82.210.249.63,business,DE 
82.210.249.64,82.210.250.103,hosting,DE 
82.210.250.104,82.210.250.111,business,DE 
82.210.250.112,82.210.252.255,hosting,DE 
82.210.253.0,82.210.253.63,business,DE 
82.210.253.64,82.210.254.143,hosting,DE 
82.210.254.144,82.210.254.151,business,DE 
82.210.254.152,82.210.254.183,hosting,DE 
82.210.254.184,82.210.254.191,business,DE 
82.210.254.192,82.210.255.127,hosting,DE 
82.210.255.128,82.210.255.191,business,DE 
82.210.255.192,82.211.7.255,hosting,DE 
