82.139.0.0,82.139.63.255,isp,PL,AS29314 
82.139.64.0,82.139.127.255,isp,NL,AS12414 
82.139.128.0,82.139.145.255,education,PL,AS8865 
82.139.146.0,82.139.146.31,education,PL,AS29414 
82.139.146.32,82.139.146.63,business,PL,AS29414 
82.139.146.64,82.139.146.255,education,PL,AS29414 
82.139.147.0,82.139.147.255,business,PL,AS29414 
82.139.148.0,82.139.159.255,education,PL,AS8865 
82.139.160.0,82.139.166.255,education,PL,AS29414 
82.139.167.0,82.139.167.255,business,PL,AS29414 
82.139.168.0,82.139.183.255,education,PL,AS8865 
82.139.184.0,82.139.191.255,education,PL,AS29414 
82.139.192.0,82.139.193.191,business,DE,AS8820 
82.139.193.192,82.139.193.255,hosting,DE,AS8820 
82.139.194.0,82.139.195.255,business,DE,AS8820 
82.139.196.0,82.139.200.3,hosting,DE,AS8820 
82.139.200.4,82.139.200.7,business,DE,AS8820 
82.139.200.8,82.139.200.23,hosting,DE,AS8820 
82.139.200.24,82.139.200.35,business,DE,AS8820 
82.139.200.36,82.139.200.55,hosting,DE,AS8820 
82.139.200.56,82.139.200.63,business,DE,AS8820 
82.139.200.64,82.139.200.79,hosting,DE,AS8820 
82.139.200.80,82.139.200.83,business,DE,AS8820 
82.139.200.84,82.139.200.87,hosting,DE,AS8820 
82.139.200.88,82.139.200.95,business,DE,AS8820 
82.139.200.96,82.139.200.99,hosting,DE,AS8820 
82.139.200.100,82.139.200.103,business,DE,AS8820 
82.139.200.104,82.139.200.111,hosting,DE,AS8820 
82.139.200.112,82.139.200.119,business,DE,AS8820 
82.139.200.120,82.139.200.127,hosting,DE,AS8820 
82.139.200.128,82.139.200.183,business,DE,AS8820 
82.139.200.184,82.139.200.191,hosting,DE,AS8820 
82.139.200.192,82.139.200.199,business,DE,AS8820 
82.139.200.200,82.139.200.215,hosting,DE,AS8820 
82.139.200.216,82.139.200.231,business,DE,AS8820 
82.139.200.232,82.139.200.255,hosting,DE,AS8820 
82.139.201.0,82.139.201.7,education,DE,AS8820 
82.139.201.8,82.139.201.31,hosting,DE,AS8820 
82.139.201.32,82.139.201.39,business,DE,AS8820 
82.139.201.40,82.139.201.67,hosting,DE,AS8820 
82.139.201.68,82.139.201.71,business,DE,AS8820 
82.139.201.72,82.139.201.75,hosting,DE,AS8820 
82.139.201.76,82.139.201.95,business,DE,AS8820 
82.139.201.96,82.139.201.127,hosting,DE,AS8820 
82.139.201.128,82.139.201.135,business,DE,AS8820 
82.139.201.136,82.139.201.143,hosting,DE,AS8820 
82.139.201.144,82.139.201.159,business,DE,AS8820 
82.139.201.160,82.139.201.167,hosting,DE,AS8820 
82.139.201.168,82.139.201.183,business,DE,AS8820 
82.139.201.184,82.139.201.219,hosting,DE,AS8820 
82.139.201.220,82.139.201.239,business,DE,AS8820 
82.139.201.240,82.139.201.255,hosting,DE,AS8820 
82.139.202.0,82.139.202.127,isp,DE,AS8820 
82.139.202.128,82.139.202.143,business,DE,AS8820 
82.139.202.144,82.139.202.151,education,DE,AS8820 
82.139.202.152,82.139.202.191,business,DE,AS8820 
82.139.202.192,82.139.202.207,hosting,DE,AS8820 
82.139.202.208,82.139.202.215,business,DE,AS8820 
82.139.202.216,82.139.202.223,hosting,DE,AS8820 
82.139.202.224,82.139.202.231,business,DE,AS8820 
82.139.202.232,82.139.202.235,hosting,DE,AS8820 
82.139.202.236,82.139.202.239,business,DE,AS8820 
82.139.202.240,82.139.203.7,hosting,DE,AS8820 
82.139.203.8,82.139.203.15,business,DE,AS8820 
82.139.203.16,82.139.203.31,hosting,DE,AS8820 
82.139.203.32,82.139.203.95,business,DE,AS8820 
82.139.203.96,82.139.203.103,hosting,DE,AS8820 
82.139.203.104,82.139.203.107,business,DE,AS8820 
82.139.203.108,82.139.203.111,hosting,DE,AS8820 
82.139.203.112,82.139.203.115,business,DE,AS8820 
82.139.203.116,82.139.203.119,hosting,DE,AS8820 
82.139.203.120,82.139.203.143,business,DE,AS8820 
82.139.203.144,82.139.203.147,hosting,DE,AS8820 
82.139.203.148,82.139.203.159,business,DE,AS8820 
82.139.203.160,82.139.203.175,hosting,DE,AS8820 
82.139.203.176,82.139.203.183,business,DE,AS8820 
82.139.203.184,82.139.203.187,hosting,DE,AS8820 
82.139.203.188,82.139.203.223,business,DE,AS8820 
82.139.203.224,82.139.203.239,hosting,DE,AS8820 
82.139.203.240,82.139.203.255,business,DE,AS8820 
82.139.204.0,82.139.206.255,hosting,DE,AS8820 
82.139.207.0,82.139.207.255,business,DE,AS8820 
82.139.208.0,82.139.209.63,hosting,DE,AS8820 
82.139.209.64,82.139.209.127,business,DE,AS8820 
82.139.209.128,82.139.210.15,hosting,DE,AS8820 
82.139.210.16,82.139.210.79,business,DE,AS8820 
82.139.210.80,82.139.211.63,hosting,DE,AS8820 
82.139.211.64,82.139.211.95,business,DE,AS8820 
82.139.211.96,82.139.211.127,hosting,DE,AS8820 
82.139.211.128,82.139.211.255,business,DE,AS8820 
82.139.212.0,82.139.213.239,hosting,DE,AS8820 
82.139.213.240,82.139.216.255,business,DE,AS8820 
82.139.217.0,82.139.217.127,hosting,DE,AS8820 
