82.146.0.0,82.146.3.255,isp,BG 
82.146.4.0,82.146.4.255,business,BG 
82.146.5.0,82.146.11.255,isp,BG 
82.146.12.0,82.146.13.255,isp,PL 
82.146.14.0,82.146.14.255,isp,BG 
82.146.15.0,82.146.19.255,business,BG 
82.146.20.0,82.146.31.255,isp,BG 
82.146.32.0,82.146.63.255,hosting,RU 
82.146.64.0,82.146.95.255,business,NO 
82.146.96.0,82.146.102.47,isp,BE 
82.146.102.48,82.146.102.55,business,BE 
82.146.102.56,82.146.102.211,isp,BE 
82.146.102.212,82.146.102.215,education,BE 
82.146.102.216,82.146.103.255,isp,BE 
82.146.104.0,82.146.104.255,business,BE 
82.146.105.0,82.146.115.255,isp,BE 
82.146.116.0,82.146.116.255,business,BE 
82.146.117.0,82.146.117.255,isp,BE 
82.146.118.0,82.146.118.31,business,BE 
82.146.118.32,82.146.118.79,isp,BE 
82.146.118.80,82.146.118.95,business,BE 
82.146.118.96,82.146.118.111,isp,BE 
82.146.118.112,82.146.118.119,business,LU 
82.146.118.120,82.146.118.239,isp,BE 
82.146.118.240,82.146.118.255,business,BE 
82.146.119.0,82.146.119.15,isp,BE 
82.146.119.16,82.146.119.23,business,BE 
82.146.119.24,82.146.119.63,isp,BE 
82.146.119.64,82.146.119.95,business,BE 
82.146.119.96,82.146.119.127,isp,BE 
82.146.119.128,82.146.119.175,business,BE 
82.146.119.176,82.146.119.191,isp,BE 
82.146.119.192,82.146.119.223,business,BE 
82.146.119.224,82.146.119.243,isp,BE 
82.146.119.244,82.146.119.247,business,BE 
82.146.119.248,82.146.122.159,isp,BE 
82.146.122.160,82.146.122.191,business,BE 
82.146.122.192,82.146.123.95,isp,BE 
82.146.123.96,82.146.123.127,business,BE 
82.146.123.128,82.146.123.183,isp,BE 
82.146.123.184,82.146.123.199,business,BE 
82.146.123.200,82.146.123.207,isp,BE 
82.146.123.208,82.146.123.215,business,BE 
82.146.123.216,82.146.124.7,isp,BE 
82.146.124.8,82.146.124.15,business,BE 
82.146.124.16,82.146.124.47,isp,BE 
82.146.124.48,82.146.124.63,business,BE 
82.146.124.64,82.146.124.183,isp,BE 
82.146.124.184,82.146.124.191,business,BE 
82.146.124.192,82.146.125.159,isp,BE 
82.146.125.160,82.146.125.191,business,BE 
82.146.125.192,82.146.126.255,isp,BE 
82.146.127.0,82.146.127.255,business,BE 
82.146.128.0,82.146.128.199,hosting,GB 
82.146.128.200,82.146.128.207,business,GB 
82.146.128.208,82.146.128.211,hosting,GB 
82.146.128.212,82.146.128.215,business,GB 
82.146.128.216,82.146.128.231,hosting,GB 
82.146.128.232,82.146.128.235,business,GB 
82.146.128.236,82.146.145.39,hosting,GB 
82.146.145.40,82.146.145.63,business,GB 
82.146.145.64,82.146.145.99,hosting,GB 
82.146.145.100,82.146.145.103,business,GB 
82.146.145.104,82.146.145.115,hosting,GB 
82.146.145.116,82.146.145.119,business,GB 
82.146.145.120,82.146.145.159,hosting,GB 
82.146.145.160,82.146.145.163,business,GB 
82.146.145.164,82.146.145.175,hosting,GB 
82.146.145.176,82.146.145.191,business,GB 
82.146.145.192,82.146.145.239,hosting,GB 
82.146.145.240,82.146.145.247,business,GB 
82.146.145.248,82.146.146.23,hosting,GB 
82.146.146.24,82.146.146.31,business,GB 
82.146.146.32,82.146.146.39,hosting,GB 
82.146.146.40,82.146.146.47,business,GB 
82.146.146.48,82.146.146.95,hosting,GB 
82.146.146.96,82.146.146.143,business,GB 
82.146.146.144,82.146.146.167,hosting,GB 
82.146.146.168,82.146.146.171,isp,GB 
82.146.146.172,82.146.146.195,hosting,GB 
82.146.146.196,82.146.146.199,business,GB 
82.146.146.200,82.146.146.223,hosting,GB 
82.146.146.224,82.146.146.231,business,GB 
82.146.146.232,82.146.146.255,hosting,GB 
82.146.147.0,82.146.147.7,business,GB 
82.146.147.8,82.146.147.47,hosting,GB 
82.146.147.48,82.146.147.63,education,GB 
82.146.147.64,82.146.147.71,hosting,GB 
82.146.147.72,82.146.147.79,business,GB 
82.146.147.80,82.146.147.87,hosting,GB 
82.146.147.88,82.146.147.95,business,GB 
82.146.147.96,82.146.147.143,hosting,GB 
82.146.147.144,82.146.147.191,business,GB 
82.146.147.192,82.146.147.195,hosting,GB 
82.146.147.196,82.146.147.199,business,GB 
82.146.147.200,82.146.147.207,hosting,GB 
82.146.147.208,82.146.147.223,business,GB 
82.146.147.224,82.146.148.23,hosting,GB 
82.146.148.24,82.146.148.47,business,GB 
82.146.148.48,82.146.148.111,hosting,GB 
82.146.148.112,82.146.148.119,business,GB 
82.146.148.120,82.146.148.127,isp,GB 
82.146.148.128,82.146.148.203,hosting,GB 
82.146.148.204,82.146.148.207,business,GB 
82.146.148.208,82.146.148.255,hosting,GB 
82.146.149.0,82.146.149.23,business,GB 
82.146.149.24,82.146.149.35,hosting,GB 
82.146.149.36,82.146.149.39,business,GB 
82.146.149.40,82.146.149.63,hosting,GB 
82.146.149.64,82.146.149.67,business,GB 
82.146.149.68,82.146.149.127,hosting,GB 
82.146.149.128,82.146.149.135,business,GB 
82.146.149.136,82.146.149.151,hosting,GB 
82.146.149.152,82.146.149.159,business,GB 
82.146.149.160,82.146.150.35,hosting,GB 
82.146.150.36,82.146.150.39,business,GB 
82.146.150.40,82.146.159.255,hosting,GB 
82.146.160.0,82.146.191.255,isp,LB 
82.146.192.0,82.146.193.255,business,CH 
82.146.194.0,82.146.220.255,isp,CH 
82.146.221.0,82.146.221.7,business,CH 
82.146.221.8,82.146.221.47,isp,CH 
82.146.221.48,82.146.221.63,business,CH 
82.146.221.64,82.146.221.95,isp,CH 
