82.198.0.0,82.198.12.255,business,LT,AS30721 
82.198.132.244,82.198.132.247,isp,,AS15502 
82.198.132.248,82.198.132.255,business,IE,AS15502 
82.198.133.0,82.198.133.63,isp,,AS15502 
82.198.133.64,82.198.133.83,isp,IE,AS15502 
82.198.133.84,82.198.133.95,isp,,AS15502 
82.198.133.96,82.198.133.123,business,IE,AS15502 
82.198.133.124,82.198.133.135,isp,IE,AS15502 
82.198.133.136,82.198.133.179,business,IE,AS15502 
82.198.133.180,82.198.133.183,isp,,AS15502 
82.198.133.184,82.198.133.191,isp,IE,AS15502 
82.198.133.192,82.198.133.255,business,IE,AS15502 
82.198.134.0,82.198.134.191,isp,,AS15502 
82.198.134.192,82.198.134.223,business,IE,AS15502 
82.198.134.224,82.198.135.63,isp,,AS15502 
82.198.135.64,82.198.135.79,business,IE,AS15502 
82.198.135.80,82.198.135.159,isp,,AS15502 
82.198.135.160,82.198.135.175,business,IE,AS15502 
82.198.135.176,82.198.136.63,isp,,AS15502 
82.198.136.64,82.198.136.75,business,IE,AS15502 
82.198.136.76,82.198.136.79,business,IR,AS15502 
82.198.136.80,82.198.136.139,business,IE,AS15502 
82.198.136.140,82.198.136.191,isp,,AS15502 
82.198.136.192,82.198.136.255,business,IE,AS15502 
82.198.137.0,82.198.137.95,isp,IE,AS15502 
82.198.137.96,82.198.137.111,business,IE,AS15502 
82.198.137.112,82.198.137.131,isp,IE,AS15502 
82.198.137.132,82.198.137.135,business,IE,AS15502 
82.198.137.136,82.198.137.143,isp,IE,AS15502 
82.198.137.144,82.198.137.159,business,IE,AS15502 
82.198.137.160,82.198.137.175,isp,IE,AS15502 
82.198.137.176,82.198.137.187,isp,,AS15502 
82.198.137.188,82.198.138.171,business,IE,AS15502 
82.198.138.172,82.198.138.183,isp,IE,AS15502 
82.198.138.184,82.198.138.191,business,IE,AS15502 
82.198.138.192,82.198.138.207,isp,IE,AS15502 
82.198.138.208,82.198.138.255,business,IE,AS15502 
82.198.139.0,82.198.139.11,isp,IE,AS15502 
82.198.139.12,82.198.139.19,business,IE,AS15502 
82.198.139.20,82.198.139.27,isp,IE,AS15502 
82.198.139.28,82.198.139.131,business,IE,AS15502 
82.198.139.132,82.198.139.135,isp,IE,AS15502 
82.198.139.136,82.198.139.147,business,IE,AS15502 
82.198.139.148,82.198.139.179,isp,IE,AS15502 
82.198.139.180,82.198.139.183,business,GB,AS15502 
82.198.139.184,82.198.139.191,isp,,AS15502 
82.198.139.192,82.198.139.195,business,IE,AS15502 
82.198.139.196,82.198.139.226,isp,IE,AS15502 
82.198.139.227,82.198.139.227,isp,GB,AS15502 
82.198.139.228,82.198.139.255,isp,IE,AS15502 
82.198.140.0,82.198.141.111,business,IE,AS15502 
82.198.141.112,82.198.141.119,isp,IE,AS15502 
82.198.141.120,82.198.141.143,business,GB,AS15502 
82.198.141.144,82.198.141.151,business,IE,AS15502 
82.198.141.152,82.198.141.159,isp,IE,AS15502 
82.198.141.160,82.198.141.191,business,IE,AS15502 
82.198.141.192,82.198.141.207,isp,GB,AS15502 
82.198.141.208,82.198.142.7,business,IE,AS15502 
82.198.142.8,82.198.142.15,isp,IE,AS15502 
82.198.142.16,82.198.142.227,business,IE,AS15502 
82.198.142.228,82.198.142.231,isp,IE,AS15502 
82.198.142.232,82.198.143.235,business,IE,AS15502 
82.198.143.236,82.198.143.239,business,GB,AS15502 
82.198.143.240,82.198.144.255,business,IE,AS15502 
82.198.145.0,82.198.145.159,isp,IE,AS15502 
82.198.145.160,82.198.145.175,business,IE,AS15502 
82.198.145.176,82.198.145.183,isp,IE,AS15502 
82.198.145.184,82.198.145.195,business,IE,AS15502 
82.198.145.196,82.198.145.199,isp,IE,AS15502 
82.198.145.200,82.198.145.255,business,IE,AS15502 
82.198.146.0,82.198.146.127,isp,IE,AS15502 
82.198.146.128,82.198.147.23,business,IE,AS15502 
82.198.147.24,82.198.147.63,isp,IE,AS15502 
82.198.147.64,82.198.147.87,business,IE,AS15502 
82.198.147.88,82.198.147.91,isp,IE,AS15502 
82.198.147.92,82.198.147.159,business,IE,AS15502 
82.198.147.160,82.198.147.171,isp,IE,AS15502 
82.198.147.172,82.198.147.199,business,IE,AS15502 
82.198.147.200,82.198.147.211,isp,,AS15502 
82.198.147.212,82.198.147.255,isp,IE,AS15502 
82.198.148.0,82.198.148.183,business,IE,AS15502 
82.198.148.184,82.198.148.187,isp,IE,AS15502 
82.198.148.188,82.198.148.191,business,IE,AS15502 
82.198.148.192,82.198.148.203,isp,IE,AS15502 
82.198.148.204,82.198.148.223,business,IE,AS15502 
82.198.148.224,82.198.148.231,isp,IE,AS15502 
82.198.148.232,82.198.149.171,business,IE,AS15502 
82.198.149.172,82.198.149.175,isp,IE,AS15502 
82.198.149.176,82.198.149.239,business,IE,AS15502 
82.198.149.240,82.198.150.23,isp,IE,AS15502 
82.198.150.24,82.198.150.31,isp,,AS15502 
82.198.150.32,82.198.150.111,isp,IE,AS15502 
82.198.150.112,82.198.150.159,business,IE,AS15502 
82.198.150.160,82.198.150.255,isp,,AS15502 
82.198.151.0,82.198.151.175,business,IE,AS15502 
82.198.151.176,82.198.151.179,isp,,AS15502 
82.198.151.180,82.198.151.207,business,IE,AS15502 
82.198.151.208,82.198.151.215,business,GB,AS15502 
82.198.151.216,82.198.151.231,business,IE,AS15502 
82.198.151.232,82.198.151.255,isp,IE,AS15502 
82.198.152.0,82.198.152.63,business,IE,AS15502 
82.198.152.64,82.198.152.79,isp,IE,AS15502 
82.198.152.80,82.198.152.111,isp,,AS15502 
82.198.152.112,82.198.152.207,business,IE,AS15502 
82.198.152.208,82.198.152.215,isp,IE,AS15502 
82.198.152.216,82.198.152.223,isp,GB,AS15502 
82.198.152.224,82.198.153.79,business,IE,AS15502 
82.198.153.80,82.198.153.95,isp,IE,AS15502 
82.198.153.96,82.198.153.103,business,IE,AS15502 
82.198.153.104,82.198.153.127,isp,,AS15502 
82.198.153.128,82.198.155.23,business,IE,AS15502 
82.198.155.24,82.198.155.27,isp,IE,AS15502 
82.198.155.28,82.198.155.31,business,IE,AS15502 
82.198.155.32,82.198.155.35,isp,IE,AS15502 
82.198.155.36,82.198.155.55,business,IE,AS15502 
82.198.155.56,82.198.155.63,isp,IE,AS15502 
82.198.155.64,82.198.155.79,business,GB,AS15502 
82.198.155.80,82.198.155.95,business,IE,AS15502 
82.198.155.96,82.198.155.103,isp,IE,AS15502 
82.198.155.104,82.198.155.109,business,IE,AS15502 
82.198.155.110,82.198.155.111,isp,,AS15502 
82.198.155.112,82.198.155.127,isp,IE,AS15502 
82.198.155.128,82.198.155.247,business,IE,AS15502 
82.198.155.248,82.198.155.255,isp,IE,AS15502 
82.198.156.0,82.198.156.7,business,IE,AS15502 
82.198.156.8,82.198.156.15,isp,IE,AS15502 
82.198.156.16,82.198.156.71,business,IE,AS15502 
82.198.156.72,82.198.156.79,isp,IE,AS15502 
82.198.156.80,82.198.156.83,business,IE,AS15502 
82.198.156.84,82.198.156.99,isp,IE,AS15502 
82.198.156.100,82.198.157.255,business,IE,AS15502 
82.198.158.0,82.198.158.7,isp,IE,AS15502 
82.198.158.8,82.198.158.15,business,IE,AS15502 
82.198.158.16,82.198.158.61,isp,IE,AS15502 
82.198.158.62,82.198.158.63,isp,,AS15502 
82.198.158.64,82.198.159.119,business,IE,AS15502 
82.198.159.120,82.198.159.123,isp,,AS15502 
82.198.159.124,82.198.159.247,business,IE,AS15502 
82.198.159.248,82.198.159.251,isp,,AS15502 
82.198.159.252,82.198.159.255,business,IE,AS15502 
82.198.160.0,82.198.164.159,isp,RU,AS30733 
82.198.164.160,82.198.164.191,business,RU,AS30733 
82.198.164.192,82.198.165.223,isp,RU,AS30733 
82.198.165.224,82.198.165.255,business,RU,AS30733 
82.198.166.0,82.198.167.255,isp,RU,AS30733 
82.198.168.0,82.198.168.30,business,RU,AS30733 
82.198.168.31,82.198.168.63,isp,RU,AS30733 
82.198.168.64,82.198.168.95,business,RU,AS30733 
82.198.168.96,82.198.168.111,isp,RU,AS30733 
82.198.168.112,82.198.168.127,business,RU,AS30733 
82.198.168.128,82.198.168.255,isp,RU,AS30733 
82.198.169.0,82.198.169.63,business,RU,AS30733 
82.198.169.64,82.198.169.71,isp,RU,AS30733 
82.198.169.72,82.198.169.79,business,RU,AS30733 
82.198.169.80,82.198.169.95,isp,RU,AS30733 
82.198.169.96,82.198.169.111,business,RU,AS30733 
82.198.169.112,82.198.170.255,isp,RU,AS30733 
82.198.171.0,82.198.171.127,business,RU,AS30733 
82.198.171.128,82.198.171.135,isp,RU,AS30733 
82.198.171.136,82.198.171.143,business,RU,AS30733 
82.198.171.144,82.198.171.175,isp,RU,AS30733 
82.198.171.176,82.198.171.191,business,RU,AS30733 
82.198.171.192,82.198.171.255,isp,RU,AS30733 
82.198.172.0,82.198.172.255,business,RU,AS30733 
82.198.173.0,82.198.175.7,isp,RU,AS30733 
82.198.175.8,82.198.175.15,business,RU,AS30733 
82.198.175.16,82.198.175.31,isp,RU,AS30733 
82.198.175.32,82.198.175.39,business,RU,AS30733 
82.198.175.40,82.198.175.47,isp,RU,AS30733 
82.198.175.48,82.198.175.55,business,RU,AS30733 
82.198.175.56,82.198.175.63,isp,RU,AS30733 
82.198.175.64,82.198.175.71,business,RU,AS30733 
82.198.175.72,82.198.175.79,isp,RU,AS30733 
82.198.175.80,82.198.175.95,business,RU,AS30733 
82.198.175.96,82.198.175.143,isp,RU,AS30733 
82.198.175.144,82.198.175.159,business,RU,AS30733 
82.198.175.160,82.198.175.183,isp,RU,AS30733 
82.198.175.184,82.198.175.191,business,RU,AS30733 
82.198.175.192,82.198.175.223,isp,RU,AS30733 
82.198.175.224,82.198.175.239,business,RU,AS30733 
82.198.175.240,82.198.175.247,isp,RU,AS30733 
82.198.175.248,82.198.175.255,business,RU,AS30733 
82.198.176.0,82.198.176.15,isp,RU,AS30733 
82.198.176.16,82.198.176.23,business,RU,AS30733 
82.198.176.24,82.198.176.63,isp,RU,AS30733 
82.198.176.64,82.198.176.79,business,RU,AS30733 
82.198.176.80,82.198.176.95,isp,RU,AS30733 
82.198.176.96,82.198.176.127,business,RU,AS30733 
82.198.176.128,82.198.176.135,isp,RU,AS30733 
82.198.176.136,82.198.176.151,business,RU,AS30733 
82.198.176.152,82.198.176.207,isp,RU,AS30733 
82.198.176.208,82.198.176.215,business,RU,AS30733 
82.198.176.216,82.198.176.223,isp,RU,AS30733 
82.198.176.224,82.198.176.239,business,RU,AS30733 
82.198.176.240,82.198.176.247,isp,RU,AS30733 
82.198.176.248,82.198.176.255,business,RU,AS30733 
82.198.177.0,82.198.179.255,isp,RU,AS30733 
82.198.180.0,82.198.180.255,business,RU,AS30733 
82.198.181.0,82.198.186.255,isp,RU,AS30733 
82.198.187.0,82.198.187.255,business,RU,AS30733 
82.198.188.0,82.198.188.31,isp,RU,AS30733 
82.198.188.32,82.198.188.39,business,RU,AS30733 
82.198.188.40,82.198.188.95,isp,RU,AS30733 
82.198.188.96,82.198.188.103,business,RU,AS30733 
82.198.188.104,82.198.188.127,isp,RU,AS30733 
82.198.188.128,82.198.188.135,business,RU,AS30733 
82.198.188.136,82.198.188.143,isp,RU,AS30733 
82.198.188.144,82.198.188.151,business,RU,AS30733 
82.198.188.152,82.198.189.47,isp,RU,AS30733 
82.198.189.48,82.198.189.79,business,RU,AS30733 
82.198.189.80,82.198.189.127,isp,RU,AS30733 
